audit_subset,true_class,pred_class,n_samples,confidence_mean,rare_mean,raw_true_frac_mean,raw_pred_frac_mean,token_true_frac_mean,token_pred_frac_mean,cls_true_frac_mean,cls_pred_frac_mean
all_wrong_high_conf,Benign,Ransomware,1,0.99961996,0.0,0.48,0.04,0.88,0.04,0.0,1.0
all_wrong_high_conf,Benign,Spyware,3,0.9894098666666666,0.0,0.3466666666666667,0.32,0.10666666666666667,0.17333333333333334,0.02666666666666667,0.9733333333333333
all_wrong_high_conf,Ransomware,Spyware,80,0.9829321372500001,0.4625,0.3715,0.43550000000000005,0.362,0.44800000000000006,0.016,0.9804999999999999
all_wrong_high_conf,Ransomware,Trojan,45,0.980369386,0.022222222222222223,0.34044444444444444,0.416,0.35644444444444445,0.4435555555555556,0.015111111111111112,0.9822222222222223
all_wrong_high_conf,Spyware,Benign,1,0.9998789,9.0,0.28,0.0,0.04,0.0,0.0,1.0
all_wrong_high_conf,Spyware,Ransomware,42,0.989221776904762,0.6428571428571429,0.3628571428571429,0.42000000000000004,0.3857142857142857,0.3838095238095238,0.0038095238095238095,0.9923809523809524
all_wrong_high_conf,Spyware,Trojan,63,0.9843883163492063,0.06349206349206349,0.2971428571428571,0.4298412698412698,0.28190476190476194,0.4184126984126984,0.019047619047619046,0.9784126984126984
all_wrong_high_conf,Trojan,Ransomware,60,0.9818539865000001,0.08333333333333333,0.33999999999999997,0.37533333333333335,0.32933333333333337,0.4086666666666667,0.011333333333333334,0.9866666666666667
all_wrong_high_conf,Trojan,Spyware,25,0.9769350912,0.4,0.3024,0.43520000000000003,0.2816,0.39840000000000003,0.0256,0.9712000000000001
cls_ood_confident,Benign,Spyware,1,0.8953145,1.0,0.4,0.4,0.12,0.28,0.0,0.92
cls_ood_confident,Ransomware,Spyware,39,0.8365158205128205,0.4358974358974359,0.37846153846153846,0.3394871794871795,0.38256410256410256,0.28717948717948716,0.09333333333333334,0.8666666666666666
cls_ood_confident,Ransomware,Trojan,60,0.8439001755,0.13333333333333333,0.38266666666666665,0.36933333333333335,0.3846666666666667,0.33066666666666666,0.09066666666666667,0.8633333333333333
cls_ood_confident,Spyware,Benign,1,0.9998789,9.0,0.28,0.0,0.04,0.0,0.0,1.0
cls_ood_confident,Spyware,Ransomware,53,0.8389652930188679,0.4716981132075472,0.3841509433962264,0.3215094339622641,0.3516981132075472,0.38716981132075473,0.09962264150943397,0.8181132075471698
cls_ood_confident,Spyware,Trojan,63,0.8559479623809524,0.14285714285714285,0.33968253968253964,0.36317460317460315,0.347936507936508,0.35809523809523813,0.0946031746031746,0.8692063492063492
cls_ood_confident,Trojan,Ransomware,61,0.8377933118032788,0.08196721311475409,0.3954098360655738,0.3357377049180328,0.38426229508196724,0.34819672131147544,0.1383606557377049,0.820327868852459
cls_ood_confident,Trojan,Spyware,42,0.8243320723809524,0.0,0.3895238095238095,0.320952380952381,0.3628571428571429,0.3304761904761905,0.13142857142857145,0.8428571428571429
correct_high_conf_control,Benign,Benign,80,1.0,0.025,1.0,1.0,1.0,1.0,1.0,1.0
