sample_idx,true_class,pred_class,correct,confidence,rare_cell_count,unseen_cell_count,raw_scaled_category,raw_scaled_knn_true_frac,raw_scaled_knn_pred_frac,raw_scaled_is_ood95,raw_scaled_knn_mean_dist,token_bin_offset_category,token_bin_offset_knn_true_frac,token_bin_offset_knn_pred_frac,token_bin_offset_is_ood95,token_bin_offset_knn_mean_dist,cls_classifier_input_category,cls_classifier_input_knn_true_frac,cls_classifier_input_knn_pred_frac,cls_classifier_input_is_ood95,cls_classifier_input_knn_mean_dist,audit_subset,true_id,pred_id
3607,Ransomware,Spyware,False,0.9999728,0,0,mixed_neighbors_ambiguous,0.48,0.2,False,0.971005563735962,mixed_neighbors_ambiguous,0.28,0.32,False,6.049112224578858,feature_space_overlap_with_pred_class,0.0,1.0,False,4.282023534774781,model_amplification,1,2
3868,Spyware,Trojan,False,0.99994695,0,0,mixed_neighbors_ambiguous,0.32,0.36,False,0.4079019212722778,feature_space_overlap_with_pred_class,0.16,0.64,False,5.184981746673584,feature_space_overlap_with_pred_class,0.0,1.0,False,3.2772975730896,model_amplification,2,3
7277,Ransomware,Trojan,False,0.9999423,0,0,mixed_neighbors_ambiguous,0.48,0.36,False,0.5347364840656519,feature_space_overlap_with_pred_class,0.2,0.68,False,4.51153470993042,feature_space_overlap_with_pred_class,0.0,1.0,False,4.954983654022217,model_amplification,1,3
8375,Benign,Spyware,False,0.9999293,0,0,mixed_neighbors_ambiguous,0.44,0.4,False,1.3893771004676818,mixed_neighbors_ambiguous,0.0,0.16,False,5.6519591331481935,feature_space_overlap_with_pred_class,0.0,1.0,False,6.490491104125977,model_amplification,0,2
8188,Spyware,Trojan,False,0.99992645,0,0,mixed_neighbors_ambiguous,0.4,0.44,False,0.7232071757316589,mixed_neighbors_ambiguous,0.24,0.44,False,4.677020721435547,feature_space_overlap_with_pred_class,0.0,1.0,False,4.332600202560425,model_amplification,2,3
2326,Ransomware,Trojan,False,0.99992585,0,0,model_boundary_failure_knn_true_neighbors,0.52,0.4,False,0.9339735889434816,mixed_neighbors_ambiguous,0.48,0.36,False,5.982443389892578,feature_space_overlap_with_pred_class,0.0,1.0,False,4.075477857589721,model_amplification,1,3
9624,Spyware,Ransomware,False,0.9999188,0,0,mixed_neighbors_ambiguous,0.24,0.08,False,0.5551349723339081,mixed_neighbors_ambiguous,0.24,0.32,False,4.699491243362427,feature_space_overlap_with_pred_class,0.0,1.0,False,5.892836380004883,model_amplification,2,1
4276,Benign,Spyware,False,0.9999132,0,0,OOD_or_distribution_shift,0.4,0.36,True,1.4692510676383972,mixed_neighbors_ambiguous,0.0,0.24,False,5.418822345733642,feature_space_overlap_with_pred_class,0.0,1.0,False,7.40269546508789,model_amplification,0,2
1552,Spyware,Ransomware,False,0.99991095,0,0,mixed_neighbors_ambiguous,0.36,0.4,False,0.833565776348114,mixed_neighbors_ambiguous,0.24,0.48,False,5.625332717895508,feature_space_overlap_with_pred_class,0.0,1.0,False,4.724558610916137,model_amplification,2,1
1542,Spyware,Ransomware,False,0.99986553,0,0,feature_space_overlap_with_pred_class,0.2,0.56,False,1.2513128471374513,mixed_neighbors_ambiguous,0.24,0.48,False,5.557076454162598,feature_space_overlap_with_pred_class,0.0,1.0,False,4.845547132492065,model_amplification,2,1
7976,Trojan,Ransomware,False,0.9998505,0,0,feature_space_overlap_with_pred_class,0.24,0.52,False,0.6676828563213348,mixed_neighbors_ambiguous,0.24,0.48,False,5.088892021179199,feature_space_overlap_with_pred_class,0.0,1.0,False,5.166683788299561,model_amplification,3,1
8950,Ransomware,Trojan,False,0.99984896,0,0,mixed_neighbors_ambiguous,0.48,0.24,False,0.9742301559448242,feature_space_overlap_with_pred_class,0.28,0.56,False,4.618727569580078,feature_space_overlap_with_pred_class,0.0,1.0,False,5.9670713424682615,model_amplification,1,3
7590,Spyware,Trojan,False,0.9998325,0,0,mixed_neighbors_ambiguous,0.16,0.36,False,0.1100424610078334,mixed_neighbors_ambiguous,0.24,0.4,False,4.34619707107544,feature_space_overlap_with_pred_class,0.0,1.0,False,5.360557508468628,model_amplification,2,3
5737,Trojan,Ransomware,False,0.99979705,0,0,mixed_neighbors_ambiguous,0.32,0.48,False,0.2211352145671844,mixed_neighbors_ambiguous,0.28,0.48,False,4.294332151412964,feature_space_overlap_with_pred_class,0.0,1.0,False,6.147576732635498,model_amplification,3,1
9098,Ransomware,Trojan,False,0.9997776,0,0,feature_space_overlap_with_pred_class,0.2,0.56,False,0.7745247864723206,mixed_neighbors_ambiguous,0.44,0.36,False,5.443074722290039,feature_space_overlap_with_pred_class,0.0,1.0,False,4.757503890991211,model_amplification,1,3
3937,Ransomware,Spyware,False,0.9997403,1,0,feature_space_overlap_with_pred_class,0.44,0.56,False,0.1948050630092621,model_boundary_failure_knn_true_neighbors,0.88,0.12,False,4.919903125762939,OOD_or_distribution_shift,0.0,1.0,True,8.791691360473633,model_amplification,1,2
10014,Ransomware,Trojan,False,0.9997348,0,0,mixed_neighbors_ambiguous,0.28,0.44,False,0.6030278587341309,mixed_neighbors_ambiguous,0.08,0.44,False,5.779308280944824,feature_space_overlap_with_pred_class,0.0,1.0,False,6.036769008636474,model_amplification,1,3
2894,Spyware,Trojan,False,0.99972755,0,0,mixed_neighbors_ambiguous,0.36,0.36,False,0.1918929505348205,feature_space_overlap_with_pred_class,0.36,0.52,False,4.505822944641113,feature_space_overlap_with_pred_class,0.0,1.0,False,5.497920379638672,model_amplification,2,3
1545,Ransomware,Trojan,False,0.9996915,0,0,mixed_neighbors_ambiguous,0.24,0.32,False,0.4969278901815414,mixed_neighbors_ambiguous,0.24,0.2,False,5.241471576690674,feature_space_overlap_with_pred_class,0.0,1.0,False,4.75518027305603,model_amplification,1,3
11015,Spyware,Ransomware,False,0.99967015,0,0,model_boundary_failure_knn_true_neighbors,0.52,0.44,False,0.2838111013174057,model_boundary_failure_knn_true_neighbors,0.64,0.36,False,5.812980480194092,feature_space_overlap_with_pred_class,0.0,1.0,False,5.627607364654541,model_amplification,2,1
9723,Trojan,Ransomware,False,0.9996407,0,0,mixed_neighbors_ambiguous,0.48,0.28,False,0.5524426126480102,mixed_neighbors_ambiguous,0.24,0.44,False,5.029499473571778,feature_space_overlap_with_pred_class,0.0,1.0,False,4.703759574890137,model_amplification,3,1
