scope,audit_subset,pair,feature_idx,n_samples,delta_margin_mean,delta_margin_median,delta_margin_positive_frac,delta_target_a_logit_mean,delta_target_b_logit_mean,abs_delta_margin_mean,feature,strategy,rare_cell_ratio_trainref_le5,rare_used_bin_ratio_le5,entropy_norm,dominant_bin_ratio
subset,all_wrong_high_conf,ALL,0,320,-0.07260540872812271,-0.018666982650756836,0.353125,-0.04971398040652275,0.022891420871019363,0.25942668318748474,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
subset,cls_ood_confident,ALL,0,320,-0.039425138384103775,0.0,0.4,-0.012800456956028938,0.026624685153365135,0.3998505175113678,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
subset,correct_high_conf_control,ALL,0,320,-0.004614800214767456,-0.008420944213867188,0.29375,-0.004205937497317791,0.0004088967980351299,0.09706060588359833,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
subset,feature_space_overlap,ALL,0,320,-0.046754829585552216,-0.005292654037475586,0.33125,-0.015900198370218277,0.030854642391204834,0.151852548122406,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
subset,model_amplification,ALL,0,320,-0.0357484444975853,-0.002164483070373535,0.371875,-0.02622225508093834,0.00952618382871151,0.2651645839214325,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Benign→Ransomware,0,1,0.8333511352539062,0.8333511352539062,1.0,0.1918954849243164,-0.6414556503295898,0.8333511352539062,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Benign→Spyware,0,6,0.2457164078950882,0.2905869483947754,0.8333333333333334,-0.08573106676340103,-0.3314476013183594,0.2457164078950882,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Ransomware→Spyware,0,261,-0.1768031269311905,-0.07326555252075195,0.19923371647509577,-0.08722584694623947,0.08957727998495102,0.26807475090026855,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Ransomware→Trojan,0,197,-0.00011958083632634953,0.0008935928344726562,0.5177664974619289,-0.02573903650045395,-0.02561943233013153,0.31290891766548157,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Spyware→Benign,0,2,-1.2093515396118164,-1.2093515396118164,0.0,-1.0997848510742188,0.10956692695617676,1.2093515396118164,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Spyware→Ransomware,0,152,-0.05973777547478676,0.0,0.4144736842105263,-0.01598481833934784,0.04375293478369713,0.27015700936317444,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Spyware→Trojan,0,246,-0.04749148339033127,-0.01817607879638672,0.33739837398373984,-0.028111759573221207,0.01937972754240036,0.31419146060943604,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Trojan→Ransomware,0,268,0.012984703294932842,0.0,0.373134328358209,0.007215029560029507,-0.005769684445112944,0.19270597398281097,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Trojan→Spyware,0,147,0.008928913623094559,0.0,0.40816326530612246,0.029158836230635643,0.02022993005812168,0.25902804732322693,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
subset,all_wrong_high_conf,ALL,1,320,0.21388253569602966,0.0,0.45625,0.16442064940929413,-0.04946191981434822,0.4872002601623535,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
subset,cls_ood_confident,ALL,1,320,0.17606548964977264,0.0,0.478125,0.156187504529953,-0.01987798884510994,0.7010012865066528,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
subset,correct_high_conf_control,ALL,1,320,0.18464753031730652,0.06583881378173828,0.6375,0.060994453728199005,-0.12365312874317169,0.37613171339035034,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
subset,feature_space_overlap,ALL,1,320,0.11200183629989624,0.0,0.328125,0.07632347196340561,-0.03567834943532944,0.17331266403198242,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
subset,model_amplification,ALL,1,320,0.23231443762779236,0.0,0.45625,0.18776753544807434,-0.04454692080616951,0.529883861541748,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Benign→Ransomware,1,1,-0.1415081024169922,-0.1415081024169922,0.0,-0.03363752365112305,0.10787200927734375,0.1415081024169922,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Benign→Spyware,1,6,-0.12102985382080078,-0.021205902099609375,0.3333333333333333,0.0015861192950978875,0.12261549383401871,0.13777954876422882,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Ransomware→Spyware,1,261,0.17259205877780914,0.0,0.46360153256704983,0.09721086919307709,-0.07538121193647385,0.44999539852142334,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Ransomware→Trojan,1,197,0.4704429507255554,0.0,0.41624365482233505,0.45179787278175354,-0.01864513009786606,0.763471245765686,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Spyware→Benign,1,2,-0.796112060546875,-0.796112060546875,0.0,-0.6261672973632812,0.1699455976486206,0.796112060546875,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Spyware→Ransomware,1,152,0.10941419750452042,0.0,0.4605263157894737,0.13306458294391632,0.02365037426352501,0.6743339896202087,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Spyware→Trojan,1,246,0.17433252930641174,0.0,0.3821138211382114,0.11427345871925354,-0.0600590854883194,0.43026411533355713,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Trojan→Ransomware,1,268,0.10254337638616562,0.0,0.4216417910447761,0.0636904239654541,-0.038852933794260025,0.35131898522377014,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Trojan→Spyware,1,147,0.08641035854816437,0.0,0.46258503401360546,0.05848883464932442,-0.027921514585614204,0.21998025476932526,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
subset,all_wrong_high_conf,ALL,2,320,0.08498436957597733,0.025802135467529297,0.55625,0.0716879591345787,-0.01329641230404377,0.3285868167877197,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
subset,cls_ood_confident,ALL,2,320,0.19822600483894348,0.0883713960647583,0.60625,0.0970688983798027,-0.10115709155797958,0.4886285662651062,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
subset,correct_high_conf_control,ALL,2,320,0.0018966495990753174,-0.00098419189453125,0.484375,0.008128802292048931,0.006232164334505796,0.08179356157779694,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
subset,feature_space_overlap,ALL,2,320,0.0444101020693779,-0.00016701221466064453,0.5,0.05339710786938667,0.008987016044557095,0.22663474082946777,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
subset,model_amplification,ALL,2,320,0.07803329080343246,0.02738666534423828,0.553125,0.07303373515605927,-0.004999557044357061,0.3390018939971924,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Benign→Ransomware,2,1,0.48097991943359375,0.48097991943359375,1.0,0.01814126968383789,-0.46283817291259766,0.48097991943359375,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Benign→Spyware,2,6,0.14282818138599396,0.1586289405822754,0.5,0.035355012863874435,-0.10747333616018295,0.2510123550891876,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Ransomware→Spyware,2,261,-0.020218348130583763,-0.017583847045898438,0.42911877394636017,-0.0059723928570747375,0.014245937578380108,0.2717147767543793,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Ransomware→Trojan,2,197,0.21158882975578308,0.10612130165100098,0.6802030456852792,0.2045873999595642,-0.007001420017331839,0.5337398052215576,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Spyware→Benign,2,2,-0.49236202239990234,-0.49236202239990234,0.0,-0.2572793960571289,0.23508334159851074,0.49236202239990234,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Spyware→Ransomware,2,152,0.22669029235839844,0.08739995956420898,0.6710526315789473,0.07168059051036835,-0.1550096720457077,0.410155326128006,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Spyware→Trojan,2,246,0.17782898247241974,0.10847771167755127,0.7032520325203252,0.10167456418275833,-0.07615440338850021,0.28712743520736694,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Trojan→Ransomware,2,268,0.05920188128948212,-0.00019025802612304688,0.4962686567164179,0.06247619912028313,0.0032743322663009167,0.33482393622398376,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Trojan→Spyware,2,147,-0.006931872572749853,-0.03955411911010742,0.3469387755102041,0.022778306156396866,0.029710182920098305,0.2773251235485077,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
subset,all_wrong_high_conf,ALL,3,320,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
subset,cls_ood_confident,ALL,3,320,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
subset,correct_high_conf_control,ALL,3,320,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
subset,feature_space_overlap,ALL,3,320,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
subset,model_amplification,ALL,3,320,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Benign→Ransomware,3,1,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Benign→Spyware,3,6,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Ransomware→Spyware,3,261,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Ransomware→Trojan,3,197,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Spyware→Benign,3,2,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Spyware→Ransomware,3,152,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Spyware→Trojan,3,246,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Trojan→Ransomware,3,268,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Trojan→Spyware,3,147,0.0,0.0,0.0,0.0,0.0,0.0,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
subset,all_wrong_high_conf,ALL,4,320,0.025973137468099594,-0.0023987293243408203,0.484375,0.0029321438632905483,-0.023041004315018654,0.214487224817276,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
subset,cls_ood_confident,ALL,4,320,0.04937473684549332,0.009741663932800293,0.51875,0.009127231314778328,-0.04024749994277954,0.3032291531562805,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
subset,correct_high_conf_control,ALL,4,320,0.015375783666968346,0.005606651306152344,0.55,0.0063893673941493034,-0.00898643396794796,0.08895460516214371,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
subset,feature_space_overlap,ALL,4,320,0.009341960772871971,-0.0008742213249206543,0.484375,0.0031176835764199495,-0.006224274635314941,0.11896736919879913,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
subset,model_amplification,ALL,4,320,0.01922258920967579,-6.008148193359375e-05,0.5,-0.0019905082881450653,-0.02121310867369175,0.21875795722007751,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Benign→Ransomware,4,1,-0.16300201416015625,-0.16300201416015625,0.0,-0.01804494857788086,0.1449575424194336,0.16300201416015625,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Benign→Spyware,4,6,0.9057273864746094,0.08434581756591797,1.0,0.05030536651611328,-0.85542231798172,0.9057273864746094,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Ransomware→Spyware,4,261,0.03584859520196915,0.003993034362792969,0.5555555555555556,0.0081773791462183,-0.02767120860517025,0.19132794439792633,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Ransomware→Trojan,4,197,-0.04421420022845268,-0.027878761291503906,0.45685279187817257,-0.019927550107240677,0.024286650121212006,0.19991016387939453,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Spyware→Benign,4,2,-0.3518838882446289,-0.3518838882446289,0.0,-0.5625209808349609,-0.2106364667415619,0.3518838882446289,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Spyware→Ransomware,4,152,0.004240702837705612,0.023561954498291016,0.5328947368421053,-0.004105717875063419,-0.008346431888639927,0.23706483840942383,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Spyware→Trojan,4,246,0.06853300333023071,-0.0063517093658447266,0.4715447154471545,0.0025128067936748266,-0.06602020561695099,0.24114184081554413,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Trojan→Ransomware,4,268,0.07173439115285873,0.0008386373519897461,0.5111940298507462,0.04441307112574577,-0.027321314439177513,0.22498925030231476,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Trojan→Spyware,4,147,-0.059118542820215225,-0.016031742095947266,0.41496598639455784,-0.03431566804647446,0.02480287291109562,0.15285338461399078,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
subset,all_wrong_high_conf,ALL,5,320,0.6228541135787964,0.17148733139038086,0.58125,0.4569796025753021,-0.16587461531162262,1.3260215520858765,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
subset,cls_ood_confident,ALL,5,320,0.6682285070419312,0.2526664733886719,0.553125,0.532490611076355,-0.1357378512620926,2.0003931522369385,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
subset,correct_high_conf_control,ALL,5,320,0.15764205157756805,-0.00010728836059570312,0.5,0.0993286520242691,-0.05831344798207283,0.40536361932754517,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
subset,feature_space_overlap,ALL,5,320,0.13593947887420654,-0.00282210111618042,0.49375,0.1582518070936203,0.022312339395284653,0.6361007690429688,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
subset,model_amplification,ALL,5,320,0.8045355677604675,0.21875286102294922,0.596875,0.5221778154373169,-0.28235775232315063,1.4143338203430176,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
pair,ALL_WRONG,Benign→Ransomware,5,1,1.12396240234375,1.12396240234375,1.0,0.3422718048095703,-0.7816905975341797,1.12396240234375,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
pair,ALL_WRONG,Benign→Spyware,5,6,-1.2351090908050537,-0.8555326461791992,0.16666666666666666,0.2732079327106476,1.5083166360855103,1.5717296600341797,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
pair,ALL_WRONG,Ransomware→Spyware,5,261,0.2495127171278,0.1300973892211914,0.5862068965517241,-0.04134019464254379,-0.29085293412208557,0.7715277671813965,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
