pair,strategy,delta_margin_mean_mean,delta_margin_mean_median,delta_margin_mean_max,delta_margin_positive_frac_mean,delta_margin_positive_frac_median,delta_margin_positive_frac_max,abs_delta_margin_mean_mean,abs_delta_margin_mean_median,abs_delta_margin_mean_max
Benign→Ransomware,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benign→Ransomware,discrete_compact_offset0,0.009786357050356657,0.0,0.8333511352539062,0.391304347826087,0.0,1.0,0.07810642408288043,0.003139495849609375,0.8333511352539062
Benign→Ransomware,keep_current,0.193948609488351,0.1342306137084961,1.9371681213378906,0.7142857142857143,1.0,1.0,0.5806395666939872,0.43671226501464844,1.9371681213378906
Benign→Ransomware,rank_uniform_offset,-0.2378801981608073,-0.13675498962402344,1.1915397644042969,0.2,0.0,1.0,0.46987457275390626,0.16300201416015625,1.4502449035644531
Benign→Spyware,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benign→Spyware,discrete_compact_offset0,-0.06148761275993741,0.0,0.46970251202583313,0.2608695652173913,0.16666666666666666,0.8333333333333334,0.27030784766311233,0.07268369197845459,3.284899950027466
Benign→Spyware,keep_current,1.0587065645626612,-0.13062669709324837,15.20958423614502,0.42857142857142855,0.25,1.0,2.8614519632288387,1.9487449526786804,15.20958423614502
Benign→Spyware,rank_uniform_offset,-0.026280402888854346,0.03454732894897461,2.853693723678589,0.4222222222222222,0.5,1.0,1.1873759905497232,0.7246912121772766,5.47341775894165
Ransomware→Spyware,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ransomware→Spyware,discrete_compact_offset0,-0.001476457116001731,-0.0008408735739067197,0.30081719160079956,0.23771447609528568,0.28735632183908044,0.524904214559387,0.16077747216837926,0.04042104259133339,0.7524707317352295
Ransomware→Spyware,keep_current,0.6592836282548628,0.15368924103677273,3.538560628890991,0.5500821018062397,0.5747126436781609,0.8199233716475096,1.3168828231947762,1.2922037243843079,4.220098972320557
Ransomware→Spyware,rank_uniform_offset,0.08255821225854258,0.03584859520196915,0.5696061253547668,0.5241379310344827,0.5019157088122606,0.7624521072796935,0.43390259047349294,0.28325992822647095,1.26119065284729
Ransomware→Trojan,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ransomware→Trojan,discrete_compact_offset0,0.036914179356877554,0.0,0.4704429507255554,0.2666078128448466,0.3604060913705584,0.5482233502538071,0.2112181209554167,0.06499411910772324,0.9537297487258911
Ransomware→Trojan,keep_current,0.9174386729220194,0.5307406485080719,2.2587850093841553,0.607324147933285,0.6395939086294417,0.8781725888324873,1.48331377814923,1.7794135808944702,2.641157627105713
Ransomware→Trojan,rank_uniform_offset,0.18522678737839063,0.07055941969156265,0.8311465382575989,0.5357021996615906,0.5228426395939086,0.8477157360406091,0.602067835132281,0.39752763509750366,1.9319945573806763
Spyware→Benign,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spyware→Benign,discrete_compact_offset0,1.4543037414550781,0.0,22.047893524169922,0.43478260869565216,0.0,1.0,2.204678825710131,0.5843162536621094,22.047893524169922
Spyware→Benign,keep_current,7.064897877829416,6.02371883392334,20.3597412109375,0.6428571428571429,1.0,1.0,8.429589748382568,8.520576000213623,20.3597412109375
Spyware→Benign,rank_uniform_offset,0.026064968109130858,-0.6437282562255859,14.043006896972656,0.3333333333333333,0.0,1.0,2.679678376515706,1.6136417388916016,14.043006896972656
Spyware→Ransomware,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spyware→Ransomware,discrete_compact_offset0,0.08710380007070616,0.006292434874922037,0.8027462363243103,0.2860411899313501,0.375,0.7236842105263158,0.23167352959938833,0.07481313496828079,1.1138213872909546
Spyware→Ransomware,keep_current,0.5616073981925312,0.30710284411907196,3.3814215660095215,0.5032894736842105,0.5164473684210527,0.8552631578947368,1.5929170985307013,1.4577990770339966,3.666264295578003
Spyware→Ransomware,rank_uniform_offset,0.13876090765309831,0.07428419589996338,1.1273177862167358,0.5469298245614035,0.5197368421052632,0.6973684210526315,0.6506424268086751,0.43858110904693604,1.8551121950149536
Spyware→Trojan,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spyware→Trojan,discrete_compact_offset0,-0.004691188671605904,-0.0021475262474268675,0.17433252930641174,0.23860021208907742,0.3008130081300813,0.508130081300813,0.1457321389183483,0.038005758076906204,0.7039504647254944
Spyware→Trojan,keep_current,0.7487491605071617,0.3971267640590668,2.654465913772583,0.5525551684088269,0.5447154471544715,0.8536585365853658,1.629205992711442,2.016990303993225,3.0595860481262207
Spyware→Trojan,rank_uniform_offset,0.07069738687326511,0.10409793257713318,0.3534122109413147,0.5536585365853658,0.540650406504065,0.7235772357723578,0.5267170717318853,0.32319149374961853,2.3012819290161133
Trojan→Ransomware,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trojan→Ransomware,discrete_compact_offset0,0.05777652662816209,0.0009457260021008551,0.49222081899642944,0.2782284231018819,0.33955223880597013,0.6791044776119403,0.153929593333052,0.03584500029683113,0.7783395648002625
Trojan→Ransomware,keep_current,0.11789567622223071,-0.0031935747247189283,1.552585244178772,0.4261727078891258,0.4496268656716418,0.6604477611940298,0.9931907494153295,1.0969763398170471,2.073051691055298
Trojan→Ransomware,rank_uniform_offset,0.14626532482604185,0.09482938051223755,0.43103939294815063,0.5619402985074626,0.5932835820895522,0.6865671641791045,0.4594150086243947,0.33449095487594604,1.4247268438339233
Trojan→Spyware,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
