audit_subset,strategy,delta_margin_mean_mean,delta_margin_mean_median,delta_margin_mean_max,delta_margin_positive_frac_mean,delta_margin_positive_frac_median,delta_margin_positive_frac_max,abs_delta_margin_mean_mean,abs_delta_margin_mean_median,abs_delta_margin_mean_max
all_wrong_high_conf,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_wrong_high_conf,discrete_compact_offset0,0.04436113127714792,0.0,0.2267877757549286,0.2566576086956522,0.353125,0.496875,0.18171595246910685,0.07355091720819473,0.7941718697547913
all_wrong_high_conf,keep_current,0.7107022757242832,0.7458764016628265,1.9914318323135376,0.5361607142857143,0.58125,0.6625,1.4589461185304182,1.6059414744377136,2.876305341720581
all_wrong_high_conf,rank_uniform_offset,0.15388507569829624,0.09381317347288132,0.43249350786209106,0.55,0.54375,0.725,0.5355142692724864,0.33578354120254517,1.8992774486541748
cls_ood_confident,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cls_ood_confident,discrete_compact_offset0,0.044865598917290896,-0.00037608668208122253,0.3852180242538452,0.2709239130434783,0.36875,0.54375,0.2607212823856136,0.09314712136983871,1.2297728061676025
cls_ood_confident,keep_current,0.6078170697603907,0.6631270349025726,1.332174301147461,0.5118303571428572,0.5515625,0.603125,1.793439554316657,2.15364408493042,2.967613935470581
cls_ood_confident,rank_uniform_offset,0.1892799807091554,0.11998768895864487,0.5696696043014526,0.5397916666666667,0.5375,0.621875,0.7557470500469208,0.5056169033050537,2.467238187789917
correct_high_conf_control,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_high_conf_control,discrete_compact_offset0,0.2849428721541768,0.003112682607024908,5.210172176361084,0.3044836956521739,0.38125,0.6375,0.33592808644866934,0.03394712507724762,5.218656539916992
correct_high_conf_control,keep_current,0.3850758795077646,0.2927407771348953,2.0098981857299805,0.5428571428571428,0.596875,0.715625,0.6142015510912253,0.5624509453773499,2.3693320751190186
correct_high_conf_control,rank_uniform_offset,0.05739423778528969,0.017490897327661514,0.45211154222488403,0.5397916666666667,0.525,0.60625,0.177747809390227,0.10113348811864853,0.9386445879936218
feature_space_overlap,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feature_space_overlap,discrete_compact_offset0,0.0010459706011359863,0.0,0.11200183629989624,0.25244565217391307,0.328125,0.55,0.07960958372543404,0.028122371062636375,0.4412577748298645
feature_space_overlap,keep_current,0.2276351796463132,0.13064022362232208,1.1446616649627686,0.48125,0.51875,0.575,0.8337967906679425,0.9090497195720673,2.059317111968994
feature_space_overlap,rank_uniform_offset,0.028993955875436465,0.0444101020693779,0.1844298243522644,0.5383333333333333,0.55625,0.65,0.27138526091972986,0.1934090405702591,0.8867260217666626
model_amplification,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_amplification,discrete_compact_offset0,0.03533240589161363,0.0,0.23231443762779236,0.2577445652173913,0.365625,0.50625,0.17499664978569615,0.04648802429437637,0.8313045501708984
model_amplification,keep_current,0.6968581953219005,0.8269471526145935,1.9742457866668701,0.5299107142857143,0.5874999999999999,0.65625,1.4809330009988375,1.6096107363700867,2.8788974285125732
model_amplification,rank_uniform_offset,0.16451617628335952,0.11408569663763046,0.42014360427856445,0.55125,0.534375,0.696875,0.5448297123114269,0.3617303967475891,1.8755394220352173
