scope,audit_subset,pair,feature_idx,n_samples,delta_margin_mean,delta_margin_median,delta_margin_positive_frac,delta_target_a_logit_mean,delta_target_b_logit_mean,abs_delta_margin_mean,feature,strategy,rare_cell_ratio_trainref_le5,rare_used_bin_ratio_le5,entropy_norm,dominant_bin_ratio
pair,ALL_WRONG,Benign→Ransomware,27,1,1.9371681213378906,1.9371681213378906,1.0,0.27527856826782227,-1.6618881225585938,1.9371681213378906,malfind.commitCharge,keep_current,0.0121384077139687,0.7049180327868853,0.3960846711131229,0.3265423670961686
pair,ALL_WRONG,Benign→Ransomware,40,1,1.1915397644042969,1.1915397644042969,1.0,0.2568802833557129,-0.9346590042114258,1.1915397644042969,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,0.0,0.0,0.5651203929512788,0.4457504906561993
pair,ALL_WRONG,Benign→Ransomware,5,1,1.12396240234375,1.12396240234375,1.0,0.3422718048095703,-0.7816905975341797,1.12396240234375,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
pair,ALL_WRONG,Benign→Ransomware,0,1,0.8333511352539062,0.8333511352539062,1.0,0.1918954849243164,-0.6414556503295898,0.8333511352539062,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Benign→Ransomware,16,1,0.6509113311767578,0.6509113311767578,1.0,0.25322389602661133,-0.3976869583129883,0.6509113311767578,handles.nsemaphore,keep_current,0.00927980203089,0.26953125,0.7992274222335928,0.0389325027732741
pair,ALL_WRONG,Benign→Ransomware,20,1,0.6507987976074219,0.6507987976074219,1.0,0.10514211654663086,-0.5456562042236328,0.6507987976074219,ldrmodules.not_in_load,keep_current,0.0015999658673948,0.2,0.7895089801002002,0.0708038228517791
pair,ALL_WRONG,Benign→Ransomware,2,1,0.48097991943359375,0.48097991943359375,1.0,0.01814126968383789,-0.46283817291259766,0.48097991943359375,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Benign→Ransomware,22,1,0.4621868133544922,0.4621868133544922,1.0,0.05126762390136719,-0.4109182357788086,0.4621868133544922,ldrmodules.not_in_mem,keep_current,0.0015999658673948,0.2,0.789586786756279,0.0705904940694598
pair,ALL_WRONG,Benign→Ransomware,28,1,0.26123046875,0.26123046875,1.0,0.02697610855102539,-0.2342529296875,0.26123046875,malfind.protection,keep_current,0.0041812441334584,0.3842364532019704,0.4320945804859872,0.4135591774042154
pair,ALL_WRONG,Benign→Ransomware,19,1,0.2112293243408203,0.2112293243408203,1.0,-0.14440250396728516,-0.35563087463378906,0.2112293243408203,handles.nmutant,keep_current,0.0024319481184401,0.145679012345679,0.8406808847073096,0.0551668231077737
