scope,audit_subset,pair,feature_idx,n_samples,delta_margin_mean,delta_margin_median,delta_margin_positive_frac,delta_target_a_logit_mean,delta_target_b_logit_mean,abs_delta_margin_mean,feature,strategy,rare_cell_ratio_trainref_le5,rare_used_bin_ratio_le5,entropy_norm,dominant_bin_ratio
pair,ALL_WRONG,Ransomware→Spyware,16,261,3.538560628890991,2.336127996444702,0.6973180076628352,2.3730156421661377,-1.165545105934143,4.220098972320557,handles.nsemaphore,keep_current,0.00927980203089,0.26953125,0.7992274222335928,0.0389325027732741
pair,ALL_WRONG,Ransomware→Spyware,13,261,2.2743961811065674,1.343752384185791,0.8199233716475096,1.1279785633087158,-1.1464176177978516,2.5611538887023926,handles.nkey,keep_current,0.0069118525471456,0.2265625,0.8172767122869657,0.030911340558068
pair,ALL_WRONG,Ransomware→Spyware,27,261,1.6145216226577759,0.8069331645965576,0.6781609195402298,1.4408198595046997,-0.173701673746109,2.2152090072631836,malfind.commitCharge,keep_current,0.0121384077139687,0.7049180327868853,0.3960846711131229,0.3265423670961686
pair,ALL_WRONG,Ransomware→Spyware,19,261,1.3370188474655151,0.4726264476776123,0.8122605363984674,0.6438500285148621,-0.6931687593460083,1.5327768325805664,handles.nmutant,keep_current,0.0024319481184401,0.145679012345679,0.8406808847073096,0.0551668231077737
pair,ALL_WRONG,Ransomware→Spyware,10,261,1.1415431499481201,0.3767890930175781,0.7241379310344828,0.571515679359436,-0.5700274109840393,1.6008213758468628,handles.nfile,keep_current,0.0,0.0,0.965457167902262,0.0166609778991381
pair,ALL_WRONG,Ransomware→Spyware,28,261,0.7626075744628906,0.45488834381103516,0.7931034482758621,0.18405090272426605,-0.5785567164421082,1.0628695487976074,malfind.protection,keep_current,0.0041812441334584,0.3842364532019704,0.4320945804859872,0.4135591774042154
pair,ALL_WRONG,Ransomware→Spyware,29,261,0.5696061253547668,-0.024985790252685547,0.4789272030651341,0.42666226625442505,-0.14294391870498657,1.26119065284729,malfind.uniqueInjections,rank_uniform_offset,0.0,0.0,0.4081501547524259,0.4274468811332025
pair,ALL_WRONG,Ransomware→Spyware,39,261,0.30274730920791626,0.11352252960205078,0.7624521072796935,0.13668741285800934,-0.16605991125106812,0.4539419114589691,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,0.0,0.0,0.6078890526288423,0.3878530591347384
pair,ALL_WRONG,Ransomware→Spyware,52,261,0.30081719160079956,0.0,0.31800766283524906,0.28694456815719604,-0.013872642070055008,0.6051338911056519,callbacks.ncallbacks,discrete_compact_offset0,0.0001493301476235,0.3076923076923077,0.4401119934117515,0.4277028756719856
pair,ALL_WRONG,Ransomware→Spyware,5,261,0.2495127171278,0.1300973892211914,0.5862068965517241,-0.04134019464254379,-0.29085293412208557,0.7715277671813965,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
pair,ALL_WRONG,Ransomware→Spyware,40,261,0.18260298669338226,0.07665634155273438,0.7164750957854407,0.1063397005200386,-0.07626330107450485,0.30725839734077454,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,0.0,0.0,0.5651203929512788,0.4457504906561993
pair,ALL_WRONG,Ransomware→Spyware,1,261,0.17259205877780914,0.0,0.46360153256704983,0.09721086919307709,-0.07538121193647385,0.44999539852142334,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Ransomware→Spyware,25,261,0.16525009274482727,0.06944894790649414,0.5862068965517241,0.10723575949668884,-0.05801435559988022,0.6088420748710632,ldrmodules.not_in_mem_avg,rank_uniform_offset,0.0,0.0,0.9256344286247992,0.0191142588958102
pair,ALL_WRONG,Ransomware→Spyware,41,261,0.1396128088235855,0.03077840805053711,0.6551724137931034,0.08463360369205475,-0.05497920513153076,0.27185311913490295,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,0.0,0.0,0.765277320469504,0.0618866797508319
pair,ALL_WRONG,Ransomware→Spyware,42,261,0.12476307898759842,0.01239919662475586,0.5900383141762452,0.10474762320518494,-0.02001546323299408,0.2750902473926544,psxview.not_in_session_false_avg,rank_uniform_offset,0.0,0.0,0.7579223476549959,0.0644679580168956
pair,ALL_WRONG,Ransomware→Spyware,49,261,0.12200327962636948,0.0,0.06130268199233716,0.06369244307279587,-0.05831082537770271,0.1580265611410141,svcscan.shared_process_services,discrete_compact_offset0,0.0004693233211024,0.6363636363636364,0.2762666726609017,0.4982080382285178
pair,ALL_WRONG,Ransomware→Spyware,23,261,0.1081477552652359,0.04373788833618164,0.5670498084291188,0.043222833424806595,-0.0649249404668808,0.5347462892532349,ldrmodules.not_in_load_avg,rank_uniform_offset,0.0,0.0,0.9261698233703296,0.0191142588958102
pair,ALL_WRONG,Ransomware→Spyware,12,261,0.06400127708911896,0.0,0.47509578544061304,0.08178488165140152,0.01778358966112137,0.2529236972332001,handles.ndesktop,discrete_compact_offset0,0.0003839918081747,0.1666666666666666,0.6624280875401419,0.1653938049321614
pair,ALL_WRONG,Ransomware→Spyware,18,261,0.05786576494574547,-0.20615887641906738,0.4367816091954023,-0.2051733285188675,-0.26303911209106445,1.2775591611862183,handles.nsection,keep_current,0.0064425292260431,0.234375,0.7928771230914666,0.0606920385698438
pair,ALL_WRONG,Ransomware→Spyware,21,261,0.053936611860990524,0.008534431457519531,0.5517241379310345,0.04564039781689644,-0.008296228013932705,0.20213466882705688,ldrmodules.not_in_init,keep_current,0.0020266234320334,0.2111111111111111,0.8092464216563752,0.0510709104872429
pair,ALL_WRONG,Ransomware→Spyware,4,261,0.03584859520196915,0.003993034362792969,0.5555555555555556,0.0081773791462183,-0.02767120860517025,0.19132794439792633,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Ransomware→Spyware,36,261,0.025933686643838882,0.0,0.4942528735632184,0.03267684951424599,0.006743144243955612,0.1438692808151245,psxview.not_in_deskthrd,discrete_compact_offset0,0.0013439713286116,0.5121951219512195,0.4825476873298571,0.3869357453707654
pair,ALL_WRONG,Ransomware→Spyware,11,261,0.01607791893184185,0.0061681270599365234,0.5632183908045977,0.006509437691420317,-0.009568503126502037,0.08732318878173828,handles.nevent,keep_current,0.0,0.0,0.9947520106426578,0.004629234576329
pair,ALL_WRONG,Ransomware→Spyware,44,261,0.0013811734970659018,0.0,0.0421455938697318,0.0008139811106957495,-0.0005671989638358355,0.0016367636853829026,modules.nmodules,discrete_compact_offset0,2.133287823193105e-05,0.3333333333333333,0.1489351871718083,0.9614088232784368
pair,ALL_WRONG,Ransomware→Spyware,30,261,0.0004450804553925991,0.0,0.4061302681992337,-0.002575384685769677,-0.0030204826034605503,0.035737354308366776,psxview.not_in_pslist,discrete_compact_offset0,0.0003839918081747,0.225,0.4811295098566227,0.4979307108115027
pair,ALL_WRONG,Ransomware→Spyware,53,261,0.0,0.0,0.0,0.0,0.0,0.0,callbacks.nanonymous,discrete_compact_offset0,0.0,0.0,0.009929783324449,0.9991466848707228
pair,ALL_WRONG,Ransomware→Spyware,9,261,0.0,0.0,0.0,0.0,0.0,0.0,handles.nport,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Ransomware→Spyware,54,261,0.0,0.0,0.0,0.0,0.0,0.0,callbacks.ngeneric,discrete_compact_offset0,0.0,0.0,0.0018398586095722,0.9998720027306084
pair,ALL_WRONG,Ransomware→Spyware,50,261,0.0,0.0,0.0,0.0,0.0,0.0,svcscan.interactive_process_services,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair,ALL_WRONG,Ransomware→Spyware,38,261,0.0,0.0,0.0,0.0,0.0,0.0,psxview.not_in_eprocess_pool_false_avg,keep_current,0.003690587934124,0.9559748427672956,0.0109554845766252,0.9949227749808004
