scope,audit_subset,pair,feature_idx,n_samples,delta_margin_mean,delta_margin_median,delta_margin_positive_frac,delta_target_a_logit_mean,delta_target_b_logit_mean,abs_delta_margin_mean,feature,strategy,rare_cell_ratio_trainref_le5,rare_used_bin_ratio_le5,entropy_norm,dominant_bin_ratio
pair,ALL_WRONG,Spyware→Benign,46,2,22.047893524169922,22.047893524169922,1.0,14.743009567260742,-7.304882526397705,22.047893524169922,svcscan.kernel_drivers,discrete_compact_offset0,0.0003413260517108,0.631578947368421,0.2858217306248617,0.4982080382285178
pair,ALL_WRONG,Spyware→Benign,20,2,20.3597412109375,20.3597412109375,1.0,15.577574729919434,-4.78216552734375,20.3597412109375,ldrmodules.not_in_load,keep_current,0.0015999658673948,0.2,0.7895089801002002,0.0708038228517791
pair,ALL_WRONG,Spyware→Benign,22,2,18.934123992919922,18.934123992919922,1.0,14.431172370910645,-4.502951145172119,18.934123992919922,ldrmodules.not_in_mem,keep_current,0.0015999658673948,0.2,0.789586786756279,0.0705904940694598
pair,ALL_WRONG,Spyware→Benign,28,2,16.08994483947754,16.08994483947754,1.0,14.856108665466309,-1.2338353395462036,16.08994483947754,malfind.protection,keep_current,0.0041812441334584,0.3842364532019704,0.4320945804859872,0.4135591774042154
pair,ALL_WRONG,Spyware→Benign,16,2,14.387613296508789,14.387613296508789,1.0,13.561219215393066,-0.8263940811157227,14.387613296508789,handles.nsemaphore,keep_current,0.00927980203089,0.26953125,0.7992274222335928,0.0389325027732741
pair,ALL_WRONG,Spyware→Benign,18,2,14.057975769042969,14.057975769042969,1.0,7.360821723937988,-6.697153568267822,14.057975769042969,handles.nsection,keep_current,0.0064425292260431,0.234375,0.7928771230914666,0.0606920385698438
pair,ALL_WRONG,Spyware→Benign,24,2,14.043006896972656,14.043006896972656,1.0,10.777514457702637,-3.2654919624328613,14.043006896972656,ldrmodules.not_in_init_avg,rank_uniform_offset,0.0,0.0,0.9390541473754483,0.0266874306681457
pair,ALL_WRONG,Spyware→Benign,5,2,12.299638748168945,12.299638748168945,1.0,10.846689224243164,-1.452949047088623,12.299638748168945,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
pair,ALL_WRONG,Spyware→Benign,10,2,8.676423072814941,8.676423072814941,1.0,7.298968315124512,-1.3774540424346924,8.676423072814941,handles.nfile,keep_current,0.0,0.0,0.965457167902262,0.0166609778991381
pair,ALL_WRONG,Spyware→Benign,48,2,6.537714958190918,6.537714958190918,1.0,6.815151691436768,0.27743709087371826,6.537714958190918,svcscan.process_services,discrete_compact_offset0,0.0002559945387831,0.4285714285714285,0.3262482609122556,0.590664732485707
