scope,audit_subset,pair,feature_idx,n_samples,delta_margin_mean,delta_margin_median,delta_margin_positive_frac,delta_target_a_logit_mean,delta_target_b_logit_mean,abs_delta_margin_mean,feature,strategy,rare_cell_ratio_trainref_le5,rare_used_bin_ratio_le5,entropy_norm,dominant_bin_ratio
pair,ALL_WRONG,Trojan→Ransomware,27,268,1.552585244178772,0.489371657371521,0.585820895522388,0.8896892070770264,-0.6628958582878113,1.9439287185668945,malfind.commitCharge,keep_current,0.0121384077139687,0.7049180327868853,0.3960846711131229,0.3265423670961686
pair,ALL_WRONG,Trojan→Ransomware,20,268,1.3727662563323975,0.4885878562927246,0.6604477611940298,1.7040560245513916,0.33128976821899414,2.073051691055298,ldrmodules.not_in_load,keep_current,0.0015999658673948,0.2,0.7895089801002002,0.0708038228517791
pair,ALL_WRONG,Trojan→Ransomware,22,268,1.3308178186416626,0.5545542240142822,0.6417910447761194,1.6265614032745361,0.295743465423584,1.9736368656158447,ldrmodules.not_in_mem,keep_current,0.0015999658673948,0.2,0.789586786756279,0.0705904940694598
pair,ALL_WRONG,Trojan→Ransomware,17,268,0.49222081899642944,0.12427330017089844,0.6791044776119403,0.28683021664619446,-0.2053905725479126,0.7783395648002625,handles.ntimer,discrete_compact_offset0,0.0013866370850755,0.2439024390243902,0.7453838702633432,0.0856515061012031
pair,ALL_WRONG,Trojan→Ransomware,6,268,0.43103939294815063,0.013861536979675293,0.5298507462686567,0.317589670419693,-0.11344973742961884,1.03204345703125,dlllist.avg_dlls_per_proc,rank_uniform_offset,0.0,0.0,0.8727011258819214,0.0405751343971328
pair,ALL_WRONG,Trojan→Ransomware,15,268,0.35159847140312195,0.06520271301269531,0.6156716417910447,0.15505433082580566,-0.19654417037963867,0.59340900182724,handles.ndirectory,discrete_compact_offset0,0.0010026452769007,0.2019230769230769,0.7041268139226854,0.0998592030036692
pair,ALL_WRONG,Trojan→Ransomware,52,268,0.2918872535228729,0.0,0.4664179104477612,0.2434767186641693,-0.04841052368283272,0.41820573806762695,callbacks.ncallbacks,discrete_compact_offset0,0.0001493301476235,0.3076923076923077,0.4401119934117515,0.4277028756719856
pair,ALL_WRONG,Trojan→Ransomware,25,268,0.2906423509120941,0.08449459075927734,0.664179104477612,0.15394248068332672,-0.1366998702287674,0.5653611421585083,ldrmodules.not_in_mem_avg,rank_uniform_offset,0.0,0.0,0.9256344286247992,0.0191142588958102
pair,ALL_WRONG,Trojan→Ransomware,24,268,0.27185821533203125,0.06661653518676758,0.6044776119402985,0.17149618268013,-0.10036202520132065,0.5434576869010925,ldrmodules.not_in_init_avg,rank_uniform_offset,0.0,0.0,0.9390541473754483,0.0266874306681457
pair,ALL_WRONG,Trojan→Ransomware,8,268,0.235923632979393,0.03544044494628906,0.6865671641791045,0.1214514747262001,-0.11447213590145111,0.33449095487594604,handles.avg_handles_per_proc,rank_uniform_offset,0.0,0.0,0.9584890477296152,0.0121810734704326
pair,ALL_WRONG,Trojan→Ransomware,23,268,0.23297718167304993,0.07091987133026123,0.6044776119402985,0.14105650782585144,-0.09192067384719849,0.48698458075523376,ldrmodules.not_in_load_avg,rank_uniform_offset,0.0,0.0,0.9261698233703296,0.0191142588958102
pair,ALL_WRONG,Trojan→Ransomware,16,268,0.21922284364700317,0.028594970703125,0.5597014925373134,0.3765336573123932,0.1573108285665512,1.0834858417510986,handles.nsemaphore,keep_current,0.00927980203089,0.26953125,0.7992274222335928,0.0389325027732741
pair,ALL_WRONG,Trojan→Ransomware,12,268,0.20628534257411957,0.0,0.48880597014925375,0.07961444556713104,-0.12667089700698853,0.2914966344833374,handles.ndesktop,discrete_compact_offset0,0.0003839918081747,0.1666666666666666,0.6624280875401419,0.1653938049321614
pair,ALL_WRONG,Trojan→Ransomware,42,268,0.16631491482257843,0.03472483158111572,0.6604477611940298,0.08859845250844955,-0.07771643996238708,0.31692951917648315,psxview.not_in_session_false_avg,rank_uniform_offset,0.0,0.0,0.7579223476549959,0.0644679580168956
pair,ALL_WRONG,Trojan→Ransomware,43,268,0.16035524010658264,0.018096446990966797,0.5970149253731343,0.10998991876840591,-0.050365302711725235,0.36409127712249756,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,0.0,0.0,0.7731383545067176,0.0613960235514975
pair,ALL_WRONG,Trojan→Ransomware,1,268,0.10254337638616562,0.0,0.4216417910447761,0.0636904239654541,-0.038852933794260025,0.35131898522377014,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair,ALL_WRONG,Trojan→Ransomware,29,268,0.09482938051223755,-0.13097703456878662,0.4141791044776119,0.006815159693360329,-0.08801425248384476,1.4247268438339233,malfind.uniqueInjections,rank_uniform_offset,0.0,0.0,0.4081501547524259,0.4274468811332025
pair,ALL_WRONG,Trojan→Ransomware,40,268,0.0890587717294693,0.04100751876831055,0.5932835820895522,0.0864609107375145,-0.002597854705527425,0.3082922101020813,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,0.0,0.0,0.5651203929512788,0.4457504906561993
pair,ALL_WRONG,Trojan→Ransomware,37,268,0.08556529134511948,0.03356647491455078,0.5559701492537313,0.0610366091132164,-0.02452870085835457,0.2523449957370758,psxview.not_in_pslist_false_avg,rank_uniform_offset,0.0,0.0,0.5649092917914776,0.4458144892908951
pair,ALL_WRONG,Trojan→Ransomware,4,268,0.07173439115285873,0.0008386373519897461,0.5111940298507462,0.04441307112574577,-0.027321314439177513,0.22498925030231476,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair,ALL_WRONG,Trojan→Ransomware,2,268,0.05920188128948212,-0.00019025802612304688,0.4962686567164179,0.06247619912028313,0.0032743322663009167,0.33482393622398376,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair,ALL_WRONG,Trojan→Ransomware,14,268,0.03226878121495247,0.009203910827636719,0.5485074626865671,0.03941575437784195,0.007146995514631271,0.193983793258667,handles.nthread,keep_current,0.0058238757573171,0.166015625,0.8934861158109448,0.0165543135079784
pair,ALL_WRONG,Trojan→Ransomware,7,268,0.031538642942905426,-0.0014543533325195312,0.48507462686567165,0.006039720959961414,-0.025498930364847183,0.14659322798252106,handles.nhandles,rank_uniform_offset,0.0,0.0,0.9198092477997551,0.0156583326222373
pair,ALL_WRONG,Trojan→Ransomware,36,268,0.026437247171998024,0.003242015838623047,0.5074626865671642,0.008461040444672108,-0.017976196482777596,0.09543421119451523,psxview.not_in_deskthrd,discrete_compact_offset0,0.0013439713286116,0.5121951219512195,0.4825476873298571,0.3869357453707654
pair,ALL_WRONG,Trojan→Ransomware,46,268,0.020985566079616547,0.0,0.07835820895522388,0.008298581466078758,-0.012686985544860363,0.025696519762277603,svcscan.kernel_drivers,discrete_compact_offset0,0.0003413260517108,0.631578947368421,0.2858217306248617,0.4982080382285178
pair,ALL_WRONG,Trojan→Ransomware,26,268,0.018898487091064453,0.003572225570678711,0.582089552238806,0.009128550998866558,-0.009769930504262447,0.047552235424518585,malfind.ninjections,discrete_compact_offset0,0.0023679494837443,0.4414414414414414,0.414439567232933,0.4242896151548767
pair,ALL_WRONG,Trojan→Ransomware,0,268,0.012984703294932842,0.0,0.373134328358209,0.007215029560029507,-0.005769684445112944,0.19270597398281097,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair,ALL_WRONG,Trojan→Ransomware,48,268,0.00899821612983942,0.0,0.033582089552238806,0.011489740572869778,0.0024915190879255533,0.01603538729250431,svcscan.process_services,discrete_compact_offset0,0.0002559945387831,0.4285714285714285,0.3262482609122556,0.590664732485707
pair,ALL_WRONG,Trojan→Ransomware,45,268,0.005669767502695322,0.0,0.07462686567164178,0.0025735576637089252,-0.003096212400123477,0.007051783613860607,svcscan.nservices,discrete_compact_offset0,0.0005759877122621,0.5333333333333333,0.3474434787888976,0.4652274084819524
pair,ALL_WRONG,Trojan→Ransomware,11,268,0.0015449333004653454,0.003414154052734375,0.5485074626865671,0.00590144470334053,0.004356518387794495,0.0686841756105423,handles.nevent,keep_current,0.0,0.0,0.9947520106426578,0.004629234576329
