scope,audit_subset,pair,feature_idx,n_samples,gradxinput_mean,gradxinput_median,gradxinput_positive_frac,abs_gradxinput_mean,feature,strategy,rare_cell_ratio_trainref_le5,rare_used_bin_ratio_le5,entropy_norm,dominant_bin_ratio
subset,all_wrong_high_conf,ALL,0,320,-0.015955306589603424,-0.000978253548964858,0.440625,0.05015366151928902,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
subset,all_wrong_high_conf,ALL,1,320,-0.014047175645828247,0.0002133818343281746,0.521875,0.04077882319688797,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
subset,all_wrong_high_conf,ALL,2,320,-0.022577673196792603,0.0002124374732375145,0.503125,0.07950133830308914,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
subset,all_wrong_high_conf,ALL,3,320,0.005896096583455801,0.00014127139002084732,0.534375,0.01035681925714016,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
subset,all_wrong_high_conf,ALL,4,320,-0.008271807804703712,-0.0007197107188403606,0.440625,0.031928710639476776,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
subset,all_wrong_high_conf,ALL,5,320,-0.012227102182805538,0.0005502700805664062,0.5125,0.11022808402776718,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
subset,all_wrong_high_conf,ALL,6,320,-0.04245584085583687,-0.008554537780582905,0.41875,0.2211630791425705,dlllist.avg_dlls_per_proc,rank_uniform_offset,0.0,0.0,0.8727011258819214,0.0405751343971328
subset,all_wrong_high_conf,ALL,7,320,-0.017588654533028603,-0.002218682784587145,0.421875,0.04076570272445679,handles.nhandles,rank_uniform_offset,0.0,0.0,0.9198092477997551,0.0156583326222373
subset,all_wrong_high_conf,ALL,8,320,-0.003884843783453107,-0.0021631992422044277,0.409375,0.05224490165710449,handles.avg_handles_per_proc,rank_uniform_offset,0.0,0.0,0.9584890477296152,0.0121810734704326
subset,all_wrong_high_conf,ALL,9,320,0.0012200099881738424,-1.6752397641539574e-05,0.496875,0.0057406947016716,handles.nport,constant,0.0,0.0,-1.4428232973175177e-12,1.0
subset,all_wrong_high_conf,ALL,10,320,-0.046679142862558365,-0.009002861566841602,0.453125,0.3572854697704315,handles.nfile,keep_current,0.0,0.0,0.965457167902262,0.0166609778991381
subset,all_wrong_high_conf,ALL,11,320,0.0029046584386378527,-7.95579981058836e-05,0.496875,0.02010386809706688,handles.nevent,keep_current,0.0,0.0,0.9947520106426578,0.004629234576329
subset,all_wrong_high_conf,ALL,12,320,-0.03231557831168175,-0.0075286682695150375,0.35625,0.11115405708551407,handles.ndesktop,discrete_compact_offset0,0.0003839918081747,0.1666666666666666,0.6624280875401419,0.1653938049321614
subset,all_wrong_high_conf,ALL,13,320,-0.2201082706451416,-0.05309193953871727,0.41875,0.6999471783638,handles.nkey,keep_current,0.0069118525471456,0.2265625,0.8172767122869657,0.030911340558068
subset,all_wrong_high_conf,ALL,14,320,-0.003095746273174882,-0.0015026498585939407,0.425,0.03844507783651352,handles.nthread,keep_current,0.0058238757573171,0.166015625,0.8934861158109448,0.0165543135079784
subset,all_wrong_high_conf,ALL,15,320,-0.0030162769835442305,-0.00032343226484954357,0.475,0.026994775980710983,handles.ndirectory,discrete_compact_offset0,0.0010026452769007,0.2019230769230769,0.7041268139226854,0.0998592030036692
subset,all_wrong_high_conf,ALL,16,320,-0.17679496109485626,-0.08147227764129639,0.41875,0.9695995450019836,handles.nsemaphore,keep_current,0.00927980203089,0.26953125,0.7992274222335928,0.0389325027732741
subset,all_wrong_high_conf,ALL,17,320,-0.04695044830441475,-0.010517476126551628,0.440625,0.30862241983413696,handles.ntimer,discrete_compact_offset0,0.0013866370850755,0.2439024390243902,0.7453838702633432,0.0856515061012031
subset,all_wrong_high_conf,ALL,18,320,-0.06855552643537521,-0.004634253680706024,0.4,0.218502014875412,handles.nsection,keep_current,0.0064425292260431,0.234375,0.7928771230914666,0.0606920385698438
subset,all_wrong_high_conf,ALL,19,320,-0.01764054410159588,0.00122379744425416,0.5125,0.17420561611652374,handles.nmutant,keep_current,0.0024319481184401,0.145679012345679,0.8406808847073096,0.0551668231077737
subset,all_wrong_high_conf,ALL,20,320,-0.12419676780700684,-0.04364003986120224,0.4125,0.5288885831832886,ldrmodules.not_in_load,keep_current,0.0015999658673948,0.2,0.7895089801002002,0.0708038228517791
subset,all_wrong_high_conf,ALL,21,320,-0.020479699596762657,-0.0029765914659947157,0.421875,0.07520829141139984,ldrmodules.not_in_init,keep_current,0.0020266234320334,0.2111111111111111,0.8092464216563752,0.0510709104872429
subset,all_wrong_high_conf,ALL,22,320,-0.10982351005077362,-0.025458861142396927,0.421875,0.4302954077720642,ldrmodules.not_in_mem,keep_current,0.0015999658673948,0.2,0.789586786756279,0.0705904940694598
subset,all_wrong_high_conf,ALL,23,320,-0.03873809799551964,-0.008694672957062721,0.453125,0.24380095303058624,ldrmodules.not_in_load_avg,rank_uniform_offset,0.0,0.0,0.9261698233703296,0.0191142588958102
subset,all_wrong_high_conf,ALL,24,320,-0.019785389304161072,-0.00016543653327971697,0.490625,0.04675048589706421,ldrmodules.not_in_init_avg,rank_uniform_offset,0.0,0.0,0.9390541473754483,0.0266874306681457
subset,all_wrong_high_conf,ALL,25,320,-0.0598248615860939,-0.011197101324796677,0.45,0.2927425503730774,ldrmodules.not_in_mem_avg,rank_uniform_offset,0.0,0.0,0.9256344286247992,0.0191142588958102
subset,all_wrong_high_conf,ALL,26,320,0.0011655462440103292,2.2771419025957584e-05,0.503125,0.007713586091995239,malfind.ninjections,discrete_compact_offset0,0.0023679494837443,0.4414414414414414,0.414439567232933,0.4242896151548767
subset,all_wrong_high_conf,ALL,27,320,0.01990213617682457,-0.00041524472180753946,0.484375,0.20001883804798126,malfind.commitCharge,keep_current,0.0121384077139687,0.7049180327868853,0.3960846711131229,0.3265423670961686
subset,all_wrong_high_conf,ALL,28,320,-0.08967147767543793,0.0006825707387179136,0.553125,0.24264907836914062,malfind.protection,keep_current,0.0041812441334584,0.3842364532019704,0.4320945804859872,0.4135591774042154
subset,all_wrong_high_conf,ALL,29,320,0.016937708482146263,-3.252088208682835e-05,0.496875,0.06236705929040909,malfind.uniqueInjections,rank_uniform_offset,0.0,0.0,0.4081501547524259,0.4274468811332025
subset,all_wrong_high_conf,ALL,30,320,0.0005270919064059854,-0.00015148174134083092,0.475,0.008274456486105919,psxview.not_in_pslist,discrete_compact_offset0,0.0003839918081747,0.225,0.4811295098566227,0.4979307108115027
subset,all_wrong_high_conf,ALL,31,320,5.004694685339928e-05,0.00021160254254937172,0.54375,0.004230265039950609,psxview.not_in_eprocess_pool,discrete_compact_offset0,0.0,0.0,0.0225687031657825,0.9978027135421113
subset,all_wrong_high_conf,ALL,32,320,0.004266665782779455,-0.00017149688210338354,0.484375,0.020734485238790512,psxview.not_in_ethread_pool,discrete_compact_offset0,0.0014506357197713,0.5384615384615384,0.4418943899258692,0.4383906476661831
subset,all_wrong_high_conf,ALL,33,320,-0.002453299704939127,-0.00045874807983636856,0.4375,0.01566573791205883,psxview.not_in_pspcid_list,discrete_compact_offset0,0.0004266575646386,0.225,0.4812722049435046,0.4978667121768069
subset,all_wrong_high_conf,ALL,34,320,0.002008892362937331,-0.0002589482464827597,0.484375,0.013591165654361248,psxview.not_in_csrss_handles,discrete_compact_offset0,0.0014506357197713,0.5384615384615384,0.4422737565803443,0.437494666780442
subset,all_wrong_high_conf,ALL,35,320,-0.0019922840874642134,-0.00022279378026723862,0.471875,0.013864284381270409,psxview.not_in_session,discrete_compact_offset0,0.0003839918081747,0.225,0.4810606180111996,0.4981013738373581
subset,all_wrong_high_conf,ALL,36,320,-0.006152682472020388,-0.0009505127090960741,0.446875,0.02342047728598118,psxview.not_in_deskthrd,discrete_compact_offset0,0.0013439713286116,0.5121951219512195,0.4825476873298571,0.3869357453707654
subset,all_wrong_high_conf,ALL,37,320,-0.007241793908178806,-0.00010456005111336708,0.490625,0.04122345894575119,psxview.not_in_pslist_false_avg,rank_uniform_offset,0.0,0.0,0.5649092917914776,0.4458144892908951
subset,all_wrong_high_conf,ALL,38,320,0.015545669011771679,-0.00014003156684339046,0.475,0.020767783746123314,psxview.not_in_eprocess_pool_false_avg,keep_current,0.003690587934124,0.9559748427672956,0.0109554845766252,0.9949227749808004
subset,all_wrong_high_conf,ALL,39,320,-0.0074556684121489525,-0.00023298244923353195,0.484375,0.06790827214717865,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,0.0,0.0,0.6078890526288423,0.3878530591347384
subset,all_wrong_high_conf,ALL,40,320,-0.0008361078798770905,0.0002657836303114891,0.515625,0.061497341841459274,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,0.0,0.0,0.5651203929512788,0.4457504906561993
subset,all_wrong_high_conf,ALL,41,320,-0.017874067649245262,-0.002412843983620405,0.41875,0.08775124698877335,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,0.0,0.0,0.765277320469504,0.0618866797508319
subset,all_wrong_high_conf,ALL,42,320,0.005039065144956112,-0.0006960380123928189,0.45625,0.03735281527042389,psxview.not_in_session_false_avg,rank_uniform_offset,0.0,0.0,0.7579223476549959,0.0644679580168956
subset,all_wrong_high_conf,ALL,43,320,0.00869879312813282,0.00010577612556517124,0.50625,0.0533868744969368,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,0.0,0.0,0.7731383545067176,0.0613960235514975
subset,all_wrong_high_conf,ALL,44,320,0.009739847853779793,-2.1179730538278818e-05,0.5,0.01932952180504799,modules.nmodules,discrete_compact_offset0,2.133287823193105e-05,0.3333333333333333,0.1489351871718083,0.9614088232784368
subset,all_wrong_high_conf,ALL,45,320,-0.006232378538697958,-0.00024930178187787533,0.49375,0.023322194814682007,svcscan.nservices,discrete_compact_offset0,0.0005759877122621,0.5333333333333333,0.3474434787888976,0.4652274084819524
subset,all_wrong_high_conf,ALL,46,320,-0.049793995916843414,-0.0020912366453558207,0.45625,0.10150282084941864,svcscan.kernel_drivers,discrete_compact_offset0,0.0003413260517108,0.631578947368421,0.2858217306248617,0.4982080382285178
