audit_subset,strategy,gradxinput_mean_mean,gradxinput_mean_median,gradxinput_mean_max,gradxinput_positive_frac_mean,gradxinput_positive_frac_median,gradxinput_positive_frac_max,abs_gradxinput_mean_mean,abs_gradxinput_mean_median,abs_gradxinput_mean_max
all_wrong_high_conf,constant,0.002988504944369197,0.0018494082614779472,0.005896096583455801,0.5125000000000001,0.50625,0.534375,0.0072117165351907415,0.0057406947016716,0.01035681925714016
all_wrong_high_conf,discrete_compact_offset0,-0.011352274113881362,-0.002453299704939127,0.0102295633405447,0.4771739130434782,0.48125,0.546875,0.05863578387779062,0.023322194814682007,0.30862241983413696
all_wrong_high_conf,keep_current,-0.060780020364161046,-0.03357942122966051,0.01990213617682457,0.4575892857142857,0.4390625,0.553125,0.291867488329964,0.20926042646169662,0.9695995450019836
all_wrong_high_conf,rank_uniform_offset,-0.014390616010253628,-0.008271807804703712,0.016937708482146263,0.46375,0.45625,0.515625,0.09469231938322385,0.061497341841459274,0.2927425503730774
cls_ood_confident,constant,-0.0006401431504248952,-0.0007489139097742736,6.507571379188448e-05,0.4791666666666667,0.478125,0.4875,0.005591168844451507,0.0057619838044047356,0.005794155411422253
cls_ood_confident,discrete_compact_offset0,-0.013521724706764793,-0.005831180140376091,0.0032081722747534513,0.49619565217391304,0.496875,0.55,0.0808515346042164,0.03139715641736984,0.46778470277786255
cls_ood_confident,keep_current,-0.07606667779535721,-0.0651484876871109,0.06094245985150337,0.465625,0.4671875,0.565625,0.4415753824370248,0.2926383465528488,1.3339755535125732
cls_ood_confident,rank_uniform_offset,-0.010727743567743649,-0.012865161523222923,0.025526657700538635,0.4795833333333333,0.4875,0.54375,0.13756057284772397,0.09389469772577286,0.3788006007671356
correct_high_conf_control,constant,-0.008782231869796911,-0.009604893624782562,-0.006970140151679516,0.44375000000000003,0.440625,0.4625,0.01598627648005883,0.016379360109567642,0.01805180311203003
correct_high_conf_control,discrete_compact_offset0,-0.012779382930602878,-0.005233758594840765,0.0012684556422755122,0.4278532608695652,0.434375,0.53125,0.03171362053683918,0.02136845700442791,0.11338113248348236
correct_high_conf_control,keep_current,-0.017105596971565058,-0.013186948839575052,0.002312482101842761,0.45089285714285715,0.4453125,0.546875,0.09937545690419418,0.09412099793553352,0.2584901452064514
correct_high_conf_control,rank_uniform_offset,-0.010922443284653128,-0.010436570271849632,0.0013322156155481935,0.43041666666666667,0.4375,0.490625,0.03838023679951827,0.024707768112421036,0.12601450085639954
feature_space_overlap,constant,0.00018098402263907096,0.00019061235070694238,0.0004487801343202591,0.5177083333333333,0.5125,0.55625,0.0017280607329060633,0.0017412494635209441,0.0017644420731812716
feature_space_overlap,discrete_compact_offset0,-0.004868433003771908,-8.2893566286657e-05,0.0032942891120910645,0.5066576086956521,0.50625,0.578125,0.02287049936738027,0.010361723601818085,0.1780628263950348
feature_space_overlap,keep_current,-0.025147345798489238,-0.004947011475451291,0.06193036958575249,0.49196428571428574,0.50625,0.56875,0.13735267109171087,0.07632508501410484,0.44814959168434143
feature_space_overlap,rank_uniform_offset,-0.003899987362092361,-0.004931161180138588,0.007175810635089874,0.4891666666666667,0.478125,0.553125,0.0465586394071579,0.030324380844831467,0.1269145905971527
model_amplification,constant,0.0034713674879943333,0.0019548218697309494,0.006539578549563885,0.4875,0.475,0.528125,0.006305976460377376,0.004998034797608852,0.009144407697021961
model_amplification,discrete_compact_offset0,-0.007320395475962077,-0.0016991518205031753,0.013963127508759499,0.4747282608695652,0.471875,0.54375,0.05527969458869294,0.021106809377670288,0.35203155875205994
model_amplification,keep_current,-0.06925434290730793,-0.038053179159760475,0.005752964876592159,0.45915178571428567,0.4453125,0.553125,0.29701744000028285,0.18773316591978073,0.9505336880683899
model_amplification,rank_uniform_offset,-0.010266662370607567,-0.008840097114443779,0.018938874825835228,0.463125,0.46875,0.54375,0.0859031219035387,0.0465271882712841,0.2548061013221741
