audit_subset,pair,feature_idx,feature,strategy,n_samples,scope,last_cls_attention_mean,last_cls_attention_median,rollout_attention_mean,rollout_attention_median
all_wrong_high_conf,ALL,0,pslist.nproc,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,0,pslist.nproc,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,0,pslist.nproc,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,0,pslist.nproc,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,0,pslist.nproc,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,1,pslist.nppid,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,1,pslist.nppid,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,1,pslist.nppid,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,1,pslist.nppid,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,1,pslist.nppid,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,2,pslist.avg_threads,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,2,pslist.avg_threads,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,2,pslist.avg_threads,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,2,pslist.avg_threads,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,2,pslist.avg_threads,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,3,pslist.nprocs64bit,constant,320,subset,,,,
cls_ood_confident,ALL,3,pslist.nprocs64bit,constant,320,subset,,,,
correct_high_conf_control,ALL,3,pslist.nprocs64bit,constant,320,subset,,,,
feature_space_overlap,ALL,3,pslist.nprocs64bit,constant,320,subset,,,,
model_amplification,ALL,3,pslist.nprocs64bit,constant,320,subset,,,,
all_wrong_high_conf,ALL,4,pslist.avg_handlers,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,4,pslist.avg_handlers,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,4,pslist.avg_handlers,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,4,pslist.avg_handlers,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,4,pslist.avg_handlers,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,5,dlllist.ndlls,keep_current,320,subset,,,,
cls_ood_confident,ALL,5,dlllist.ndlls,keep_current,320,subset,,,,
correct_high_conf_control,ALL,5,dlllist.ndlls,keep_current,320,subset,,,,
feature_space_overlap,ALL,5,dlllist.ndlls,keep_current,320,subset,,,,
model_amplification,ALL,5,dlllist.ndlls,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,6,dlllist.avg_dlls_per_proc,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,6,dlllist.avg_dlls_per_proc,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,6,dlllist.avg_dlls_per_proc,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,6,dlllist.avg_dlls_per_proc,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,6,dlllist.avg_dlls_per_proc,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,7,handles.nhandles,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,7,handles.nhandles,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,7,handles.nhandles,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,7,handles.nhandles,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,7,handles.nhandles,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,8,handles.avg_handles_per_proc,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,8,handles.avg_handles_per_proc,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,8,handles.avg_handles_per_proc,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,8,handles.avg_handles_per_proc,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,8,handles.avg_handles_per_proc,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,9,handles.nport,constant,320,subset,,,,
cls_ood_confident,ALL,9,handles.nport,constant,320,subset,,,,
correct_high_conf_control,ALL,9,handles.nport,constant,320,subset,,,,
feature_space_overlap,ALL,9,handles.nport,constant,320,subset,,,,
model_amplification,ALL,9,handles.nport,constant,320,subset,,,,
all_wrong_high_conf,ALL,10,handles.nfile,keep_current,320,subset,,,,
cls_ood_confident,ALL,10,handles.nfile,keep_current,320,subset,,,,
correct_high_conf_control,ALL,10,handles.nfile,keep_current,320,subset,,,,
feature_space_overlap,ALL,10,handles.nfile,keep_current,320,subset,,,,
model_amplification,ALL,10,handles.nfile,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,11,handles.nevent,keep_current,320,subset,,,,
cls_ood_confident,ALL,11,handles.nevent,keep_current,320,subset,,,,
correct_high_conf_control,ALL,11,handles.nevent,keep_current,320,subset,,,,
feature_space_overlap,ALL,11,handles.nevent,keep_current,320,subset,,,,
model_amplification,ALL,11,handles.nevent,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,12,handles.ndesktop,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,12,handles.ndesktop,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,12,handles.ndesktop,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,12,handles.ndesktop,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,12,handles.ndesktop,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,13,handles.nkey,keep_current,320,subset,,,,
cls_ood_confident,ALL,13,handles.nkey,keep_current,320,subset,,,,
correct_high_conf_control,ALL,13,handles.nkey,keep_current,320,subset,,,,
feature_space_overlap,ALL,13,handles.nkey,keep_current,320,subset,,,,
model_amplification,ALL,13,handles.nkey,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,14,handles.nthread,keep_current,320,subset,,,,
cls_ood_confident,ALL,14,handles.nthread,keep_current,320,subset,,,,
correct_high_conf_control,ALL,14,handles.nthread,keep_current,320,subset,,,,
feature_space_overlap,ALL,14,handles.nthread,keep_current,320,subset,,,,
model_amplification,ALL,14,handles.nthread,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,15,handles.ndirectory,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,15,handles.ndirectory,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,15,handles.ndirectory,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,15,handles.ndirectory,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,15,handles.ndirectory,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,16,handles.nsemaphore,keep_current,320,subset,,,,
cls_ood_confident,ALL,16,handles.nsemaphore,keep_current,320,subset,,,,
correct_high_conf_control,ALL,16,handles.nsemaphore,keep_current,320,subset,,,,
feature_space_overlap,ALL,16,handles.nsemaphore,keep_current,320,subset,,,,
model_amplification,ALL,16,handles.nsemaphore,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,17,handles.ntimer,discrete_compact_offset0,320,subset,,,,
cls_ood_confident,ALL,17,handles.ntimer,discrete_compact_offset0,320,subset,,,,
correct_high_conf_control,ALL,17,handles.ntimer,discrete_compact_offset0,320,subset,,,,
feature_space_overlap,ALL,17,handles.ntimer,discrete_compact_offset0,320,subset,,,,
model_amplification,ALL,17,handles.ntimer,discrete_compact_offset0,320,subset,,,,
all_wrong_high_conf,ALL,18,handles.nsection,keep_current,320,subset,,,,
cls_ood_confident,ALL,18,handles.nsection,keep_current,320,subset,,,,
correct_high_conf_control,ALL,18,handles.nsection,keep_current,320,subset,,,,
feature_space_overlap,ALL,18,handles.nsection,keep_current,320,subset,,,,
model_amplification,ALL,18,handles.nsection,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,19,handles.nmutant,keep_current,320,subset,,,,
cls_ood_confident,ALL,19,handles.nmutant,keep_current,320,subset,,,,
correct_high_conf_control,ALL,19,handles.nmutant,keep_current,320,subset,,,,
feature_space_overlap,ALL,19,handles.nmutant,keep_current,320,subset,,,,
model_amplification,ALL,19,handles.nmutant,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,20,ldrmodules.not_in_load,keep_current,320,subset,,,,
cls_ood_confident,ALL,20,ldrmodules.not_in_load,keep_current,320,subset,,,,
correct_high_conf_control,ALL,20,ldrmodules.not_in_load,keep_current,320,subset,,,,
feature_space_overlap,ALL,20,ldrmodules.not_in_load,keep_current,320,subset,,,,
model_amplification,ALL,20,ldrmodules.not_in_load,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,21,ldrmodules.not_in_init,keep_current,320,subset,,,,
cls_ood_confident,ALL,21,ldrmodules.not_in_init,keep_current,320,subset,,,,
correct_high_conf_control,ALL,21,ldrmodules.not_in_init,keep_current,320,subset,,,,
feature_space_overlap,ALL,21,ldrmodules.not_in_init,keep_current,320,subset,,,,
model_amplification,ALL,21,ldrmodules.not_in_init,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,22,ldrmodules.not_in_mem,keep_current,320,subset,,,,
cls_ood_confident,ALL,22,ldrmodules.not_in_mem,keep_current,320,subset,,,,
correct_high_conf_control,ALL,22,ldrmodules.not_in_mem,keep_current,320,subset,,,,
