audit_subset,strategy,last_cls_attention_mean_mean,last_cls_attention_mean_median,last_cls_attention_mean_max,rollout_attention_mean_mean,rollout_attention_mean_median,rollout_attention_mean_max
all_wrong_high_conf,constant,,,,,,
all_wrong_high_conf,discrete_compact_offset0,,,,,,
all_wrong_high_conf,keep_current,,,,,,
all_wrong_high_conf,rank_uniform_offset,,,,,,
cls_ood_confident,constant,,,,,,
cls_ood_confident,discrete_compact_offset0,,,,,,
cls_ood_confident,keep_current,,,,,,
cls_ood_confident,rank_uniform_offset,,,,,,
correct_high_conf_control,constant,,,,,,
correct_high_conf_control,discrete_compact_offset0,,,,,,
correct_high_conf_control,keep_current,,,,,,
correct_high_conf_control,rank_uniform_offset,,,,,,
feature_space_overlap,constant,,,,,,
feature_space_overlap,discrete_compact_offset0,,,,,,
feature_space_overlap,keep_current,,,,,,
feature_space_overlap,rank_uniform_offset,,,,,,
model_amplification,constant,,,,,,
model_amplification,discrete_compact_offset0,,,,,,
model_amplification,keep_current,,,,,,
model_amplification,rank_uniform_offset,,,,,,
