run,true_class,pred_class,count,correct
C2_K512,Benign,Benign,5854,True
C2_K512,Benign,Ransomware,1,False
C2_K512,Benign,Spyware,4,False
C2_K512,Benign,Trojan,1,False
C2_K512,Ransomware,Benign,0,False
C2_K512,Ransomware,Ransomware,1470,True
C2_K512,Ransomware,Spyware,287,False
C2_K512,Ransomware,Trojan,202,False
C2_K512,Spyware,Benign,1,False
C2_K512,Spyware,Ransomware,161,False
C2_K512,Spyware,Spyware,1646,True
C2_K512,Spyware,Trojan,196,False
C2_K512,Trojan,Benign,0,False
C2_K512,Trojan,Ransomware,362,False
C2_K512,Trojan,Spyware,209,False
C2_K512,Trojan,Trojan,1326,True
K1024_RANK_SAFE,Benign,Benign,5848,True
K1024_RANK_SAFE,Benign,Ransomware,4,False
K1024_RANK_SAFE,Benign,Spyware,6,False
K1024_RANK_SAFE,Benign,Trojan,2,False
K1024_RANK_SAFE,Ransomware,Benign,0,False
K1024_RANK_SAFE,Ransomware,Ransomware,1392,True
K1024_RANK_SAFE,Ransomware,Spyware,301,False
K1024_RANK_SAFE,Ransomware,Trojan,266,False
K1024_RANK_SAFE,Spyware,Benign,1,False
K1024_RANK_SAFE,Spyware,Ransomware,190,False
K1024_RANK_SAFE,Spyware,Spyware,1561,True
K1024_RANK_SAFE,Spyware,Trojan,252,False
K1024_RANK_SAFE,Trojan,Benign,0,False
K1024_RANK_SAFE,Trojan,Ransomware,384,False
K1024_RANK_SAFE,Trojan,Spyware,224,False
K1024_RANK_SAFE,Trojan,Trojan,1289,True
K1024_ABS_CONTROL,Benign,Benign,5855,True
K1024_ABS_CONTROL,Benign,Ransomware,0,False
K1024_ABS_CONTROL,Benign,Spyware,4,False
K1024_ABS_CONTROL,Benign,Trojan,1,False
K1024_ABS_CONTROL,Ransomware,Benign,0,False
K1024_ABS_CONTROL,Ransomware,Ransomware,1410,True
K1024_ABS_CONTROL,Ransomware,Spyware,309,False
K1024_ABS_CONTROL,Ransomware,Trojan,240,False
K1024_ABS_CONTROL,Spyware,Benign,0,False
K1024_ABS_CONTROL,Spyware,Ransomware,193,False
K1024_ABS_CONTROL,Spyware,Spyware,1572,True
K1024_ABS_CONTROL,Spyware,Trojan,239,False
K1024_ABS_CONTROL,Trojan,Benign,0,False
K1024_ABS_CONTROL,Trojan,Ransomware,353,False
K1024_ABS_CONTROL,Trojan,Spyware,210,False
K1024_ABS_CONTROL,Trojan,Trojan,1334,True
