run,split,strategy,class,n_features,class_Benign_bins_used_mean,class_Benign_bins_used_median,class_Benign_bins_used_max,class_Benign_dominant_ratio_mean,class_Benign_dominant_ratio_median,class_Benign_dominant_ratio_max,class_Benign_rare_trainref_ratio_mean,class_Benign_rare_trainref_ratio_median,class_Benign_rare_trainref_ratio_max,class_Ransomware_bins_used_mean,class_Ransomware_bins_used_median,class_Ransomware_bins_used_max,class_Ransomware_dominant_ratio_mean,class_Ransomware_dominant_ratio_median,class_Ransomware_dominant_ratio_max,class_Ransomware_rare_trainref_ratio_mean,class_Ransomware_rare_trainref_ratio_median,class_Ransomware_rare_trainref_ratio_max,class_Spyware_bins_used_mean,class_Spyware_bins_used_median,class_Spyware_bins_used_max,class_Spyware_dominant_ratio_mean,class_Spyware_dominant_ratio_median,class_Spyware_dominant_ratio_max,class_Spyware_rare_trainref_ratio_mean,class_Spyware_rare_trainref_ratio_median,class_Spyware_rare_trainref_ratio_max,class_Trojan_bins_used_mean,class_Trojan_bins_used_median,class_Trojan_bins_used_max,class_Trojan_dominant_ratio_mean,class_Trojan_dominant_ratio_median,class_Trojan_dominant_ratio_max,class_Trojan_rare_trainref_ratio_mean,class_Trojan_rare_trainref_ratio_median,class_Trojan_rare_trainref_ratio_max
C2_K512,train,constant,Benign,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_K512,train,constant,Ransomware,3,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
C2_K512,train,constant,Spyware,3,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,
C2_K512,train,constant,Trojan,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
C2_K512,train,discrete_compact_offset0,Benign,23,21.434782608695652,18.0,92.0,0.6305164040558439,0.5931393463606109,1.0,0.0004192374330796886,0.00012799726939158632,0.0034985920300366923,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_K512,train,discrete_compact_offset0,Ransomware,23,,,,,,,,,,33.21739130434783,25.0,81.0,0.5747046675844918,0.4219867211440245,0.999361593462717,0.0046575920415685935,0.002425944841675179,0.01238508682328907,,,,,,,,,,,,,,,,,,
C2_K512,train,discrete_compact_offset0,Spyware,23,,,,,,,,,,,,,,,,,,,33.73913043478261,36.0,87.0,0.5615399635511585,0.41429640718562877,1.0,0.0036828516879284915,0.0029940119760479044,0.01222554890219561,,,,,,,,,
C2_K512,train,discrete_compact_offset0,Trojan,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.695652173913043,21.0,62.0,0.5829294838746635,0.38194993412384715,1.0,0.002142407057340895,0.002108036890645586,0.007246376811594203
C2_K512,train,keep_current,Benign,14,276.7857142857143,316.5,448.0,0.14325332488145012,0.0548894956907586,0.9936854680433485,0.009060378140504432,0.006975851181841454,0.02030890007679836,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_K512,train,keep_current,Ransomware,14,,,,,,,,,,151.71428571428572,167.5,243.0,0.22715416605866043,0.1063585291113381,0.9969356486210419,0.0161152050196994,0.011172114402451482,0.03715526046986721,,,,,,,,,,,,,,,,,,
