run,split,strategy,n_features,bins_used_mean,bins_used_median,bins_used_max,used_bin_ratio_mean,used_bin_ratio_median,used_bin_ratio_max,dominant_bin_ratio_mean,dominant_bin_ratio_median,dominant_bin_ratio_max,rare_used_bin_ratio_le5_mean,rare_used_bin_ratio_le5_median,rare_used_bin_ratio_le5_max,rare_cell_ratio_trainref_le5_mean,rare_cell_ratio_trainref_le5_median,rare_cell_ratio_trainref_le5_max,unseen_cell_ratio_trainref_mean,unseen_cell_ratio_trainref_median,unseen_cell_ratio_trainref_max,entropy_norm_mean,entropy_norm_median,entropy_norm_max,compression_factor_mean,compression_factor_median,compression_factor_max,offset_nonzero_ratio_mean,offset_nonzero_ratio_median,offset_nonzero_ratio_max,offset_std_mean,offset_std_median,offset_std_max
C2_K512,train,constant,3,1.0,1.0,1.0,0.001953125,0.001953125,0.001953125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4428232973175177e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,46876.0,46876.0,46876.0,1.0,1.0,1.0,0.0,0.0,0.0
C2_K512,train,discrete_compact_offset0,23,46.08695652173913,40.0,123.0,0.09001358695652174,0.078125,0.240234375,0.5071418766254725,0.4652274084819524,0.9998720027306084,0.3625817387680505,0.4117647058823529,0.7,0.0006770870047525942,0.00042665756463862106,0.002367949483744347,0.0,0.0,0.0,0.38729879364136793,0.4418943899258692,0.7453838702633432,4950.779465260077,1171.9,23438.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_K512,train,keep_current,14,362.5,446.5,512.0,0.7080078125,0.8720703125,1.0,0.1556705837894506,0.053118866797508324,0.9949227749808004,0.2735188001580672,0.20555555555555555,0.9559748427672956,0.004434191118208526,0.003935916033791279,0.012138407713968768,0.0,0.0,0.0,0.7274109885904474,0.804236921944984,0.9947520106426578,168.22931744583616,105.90029346286177,323.28275862068966,0.8304950446771421,0.9938881303865518,0.9999786671217681,0.24904716254345008,0.2877410501241684,0.2983532249927521
C2_K512,train,rank_uniform_offset,15,512.0,512.0,512.0,1.0,1.0,1.0,0.13868219700201947,0.04057513439713286,0.4458144892908951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7883438986147027,0.8727011258819214,0.9584890477296151,91.5546875,91.5546875,91.5546875,0.8857083937764885,0.9997440054612168,0.9999786671217681,0.2942762553691864,0.2899337708950043,0.3390826880931854
C2_K512,val,constant,3,1.0,1.0,1.0,0.001953125,0.001953125,0.001953125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4428232973175177e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,11720.0,11720.0,11720.0,1.0,1.0,1.0,0.0,0.0,0.0
C2_K512,val,discrete_compact_offset0,23,32.69565217391305,31.0,106.0,0.06385869565217392,0.060546875,0.20703125,0.5057686600385815,0.4657849829351536,0.999914675767918,0.36285006328558567,0.4318181818181818,0.5897435897435898,0.0009348568036800712,0.0009385665529010238,0.0037542662116040954,0.0,0.0,0.0,0.42948031081307786,0.5107073124679729,0.766782916321719,1526.6663504619996,378.06451612903226,5860.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_K512,val,keep_current,14,306.0,327.5,493.0,0.59765625,0.6396484375,0.962890625,0.15420526572403706,0.051023890784982935,0.9953071672354948,0.3996240019187728,0.3691375461296642,0.9787234042553191,0.005448561677230618,0.005162116040955631,0.014419795221843003,0.00036567528035104824,8.532423208191126e-05,0.002645051194539249,0.7407449658127708,0.8216483977135576,0.9911534142712203,60.81998471952969,36.09935481443861,249.36170212765958,0.8324414919551437,0.9950511945392492,1.0,0.24929822209690297,0.2868266999721527,0.2969168722629547
C2_K512,val,rank_uniform_offset,15,504.0,510.0,512.0,0.984375,0.99609375,1.0,0.13630830489192264,0.040273037542662114,0.4340443686006826,0.324739119104774,0.2759295499021526,0.8926174496644296,0.0,0.0,0.0,0.0,0.0,0.0,0.7871268424560703,0.8680728149832146,0.9551137603421761,23.27959777390157,22.980392156862745,26.21923937360179,0.8881399317406143,0.999914675767918,1.0,0.2947039206822713,0.29054513573646545,0.33862948417663574
K1024_RANK_SAFE,train,unknown,55,385.6,123.0,1024.0,0.3765625,0.1201171875,1.0,0.36191577003933006,0.2914284495264101,1.0,0.26621683230142557,0.225,0.9517241379310345,0.003227470541234514,0.0003839918081747589,0.08895810222715249,0.0,0.0,0.0,0.5367448059032869,0.5317069933773343,0.9618504848620574,4705.2195102296155,381.1056910569106,46876.0,0.4733792830601432,0.5544841710043519,0.9999573342435362,0.14690703681924128,0.177344411611557,0.3403906226158142
K1024_RANK_SAFE,val,unknown,55,339.4909090909091,78.0,1023.0,0.3315340909090909,0.076171875,0.9990234375,0.3603816320198573,0.28916382252559725,1.0,0.4425966935915023,0.45161290322580644,0.9791666666666666,0.003651877133105802,0.0006825938566552901,0.08660409556313993,0.0003211293825628297,0.0,0.0028156996587030718,0.5604535261703404,0.5834315764269684,0.9549142466506287,1304.3841372054599,150.25641025641025,11720.0,0.47430499534595094,0.566296928327645,1.0,0.14711916080930015,0.17972798645496368,0.34325602650642395
K1024_ABS_CONTROL,train,unknown,55,216.6,123.0,787.0,0.2115234375,0.1201171875,0.7685546875,0.36819190281516423,0.2914284495264101,1.0,0.37178187096926063,0.3423180592991914,0.9517241379310345,0.0033806793939911094,0.001599965867394829,0.013354381773188838,0.0,0.0,0.0,0.5137388125862382,0.5501241762669746,0.8879059701383881,4734.338542230233,381.1056910569106,46876.0,0.47365311964253853,0.5544841710043519,0.9999573342435362,0.14839266362515363,0.177344411611557,0.37454840540885925
