run,split,feature_idx,feature,strategy,num_bins,bins_used,dead_bins,used_bin_ratio,dominant_bin,dominant_bin_count,dominant_bin_ratio,rare_used_bins_le5,rare_used_bin_ratio_le5,rare_cell_ratio_own_le5,rare_cell_ratio_trainref_le5,unseen_cell_ratio_trainref,entropy_norm,compression_factor,offset_nonzero_ratio,offset_mean,offset_std,offset_unique_approx,class_Benign_bins_used,class_Benign_dominant_ratio,class_Benign_rare_trainref_ratio,class_Ransomware_bins_used,class_Ransomware_dominant_ratio,class_Ransomware_rare_trainref_ratio,class_Spyware_bins_used,class_Spyware_dominant_ratio,class_Spyware_rare_trainref_ratio,class_Trojan_bins_used,class_Trojan_dominant_ratio,class_Trojan_rare_trainref_ratio
K1024_ABS_CONTROL,train,0,pslist.nproc,unknown,1024,105,919,0.1025390625,20,7990,0.1704496970731291,50,0.47619047619047616,0.0014933014762351737,0.0014933014762351737,0.0,0.5634949111118889,446.43809523809523,0.0,0.0,0.0,1,55,0.20372898711494156,0.0008533151292772421,81,0.14210929519918283,0.011363636363636364,80,0.13348303393213573,0.012100798403193613,41,0.1782608695652174,0.006324110671936759
K1024_ABS_CONTROL,train,1,pslist.nppid,unknown,1024,48,976,0.046875,4,13196,0.28150866114856216,27,0.5625,0.0010026452769007594,0.0010026452769007594,0.0,0.5190073122926573,976.5833333333334,0.0,0.0,0.0,1,18,0.5617800153596724,0.00025599453878317265,20,0.3575076608784474,0.0011491317671092952,46,0.31312375249500995,0.006736526946107785,21,0.38194993412384715,0.002108036890645586
K1024_ABS_CONTROL,train,2,pslist.avg_threads,unknown,1024,648,376,0.6328125,566,602,0.012842392695622493,274,0.4228395061728395,0.01173308302756208,0.01173308302756208,0.0,0.8742688144939977,72.3395061728395,0.9999573342435362,0.49554476141929626,0.2895022928714752,22339,417,0.014463691441249253,0.01318371874733339,356,0.024642492339121552,0.04762512768130746,400,0.027320359281437126,0.05763473053892216,259,0.029907773386034255,0.026613965744400527
K1024_ABS_CONTROL,train,3,pslist.nprocs64bit,unknown,1024,1,1023,0.0009765625,0,46876,1.0,0,0.0,0.0,0.0,0.0,-1.4428232973175177e-12,46876.0,0.0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0
K1024_ABS_CONTROL,train,4,pslist.avg_handlers,unknown,1024,322,702,0.314453125,161,2377,0.05070825155730011,182,0.5652173913043478,0.0059945387831726255,0.0059945387831726255,0.0,0.7668358088563704,145.5776397515528,0.9999573342435362,0.500598669052124,0.2895140051841736,29563,102,0.057257445174502944,0.0022612850925846917,197,0.09141981613891727,0.030515832482124618,177,0.10142215568862276,0.020708582834331336,120,0.11146245059288537,0.013438735177865613
K1024_ABS_CONTROL,train,5,dlllist.ndlls,unknown,1024,787,237,0.7685546875,294,1818,0.038783172625650654,265,0.33672172808132145,0.013354381773188838,0.013354381773188838,0.0,0.8282982084204537,59.56289707750953,0.9999573342435362,0.4941032826900482,0.28895074129104614,1773,618,0.040404471371277416,0.028543391074323746,282,0.06473442288049029,0.032303370786516857,357,0.07622255489021956,0.04403692614770459,257,0.09051383399209487,0.03768115942028986
K1024_ABS_CONTROL,train,6,dlllist.avg_dlls_per_proc,unknown,1024,624,400,0.609375,707,1674,0.03571123816025258,243,0.3894230769230769,0.009834456864920215,0.009834456864920215,0.0,0.8280985256850129,75.12179487179488,0.9999573342435362,0.5019838809967041,0.2877393662929535,13232,307,0.053161532553972185,0.0057598771226213845,295,0.05911644535240041,0.037665985699693566,318,0.06986027944111776,0.04840319361277445,192,0.0857707509881423,0.022529644268774702
K1024_ABS_CONTROL,train,7,handles.nhandles,unknown,1024,371,653,0.3623046875,101,1653,0.035263247717382026,127,0.3423180592991914,0.004309241402850073,0.004309241402850073,0.0,0.7979461354706138,126.35040431266846,0.9999573342435362,0.5022714734077454,0.288443922996521,7188,250,0.04441505247888045,0.007253178598856558,163,0.062180796731358526,0.015066394279877425,200,0.06936127744510978,0.02158183632734531,148,0.07957839262187089,0.01818181818181818
K1024_ABS_CONTROL,train,8,handles.avg_handles_per_proc,unknown,1024,253,771,0.2470703125,133,2596,0.05538015189009301,115,0.45454545454545453,0.0028799385613106922,0.0028799385613106922,0.0,0.7957429124524033,185.2806324110672,0.9999573342435362,0.5004473924636841,0.291206032037735,29311,94,0.05939073299769605,0.002389282361976278,146,0.1008682328907048,0.017492339121552604,143,0.10691117764471057,0.01222554890219561,110,0.12503293807641633,0.01238471673254282
K1024_ABS_CONTROL,train,9,handles.nport,unknown,1024,1,1023,0.0009765625,0,46876,1.0,0,0.0,0.0,0.0,0.0,-1.4428232973175177e-12,46876.0,0.0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0
K1024_ABS_CONTROL,train,10,handles.nfile,unknown,1024,125,899,0.1220703125,9,13661,0.2914284495264101,91,0.728,0.0022399522143527603,0.0022399522143527603,0.0,0.4993742056073446,375.008,0.9999573342435362,0.48534274101257324,0.28552255034446716,1092,33,0.23944022527519412,0.00021332878231931053,82,0.5519662921348315,0.009831460674157303,62,0.49575848303393216,0.007110778443113772,18,0.6923583662714098,0.0023715415019762848
K1024_ABS_CONTROL,train,11,handles.nevent,unknown,1024,655,369,0.6396484375,272,1321,0.02818073214438092,195,0.29770992366412213,0.010303780186022697,0.010303780186022697,0.0,0.8428843942005663,71.56641221374046,0.9999573342435362,0.5030749440193176,0.2884461581707001,3321,521,0.01847427254885229,0.020564894615581534,214,0.05273237997957099,0.02949438202247191,276,0.05576347305389222,0.0407934131736527,229,0.060737812911725954,0.03359683794466403
K1024_ABS_CONTROL,train,12,handles.ndesktop,unknown,1024,60,964,0.05859375,23,7753,0.16539380493216144,10,0.16666666666666666,0.0003839918081747589,0.0003839918081747589,0.0,0.6624280875401419,781.2666666666667,0.0,0.0,0.0,1,52,0.2231419063059988,0.0012799726939158632,31,0.1381511746680286,0.0014044943820224719,49,0.13161177644710578,0.005738522954091816,35,0.17444005270092228,0.004874835309617918
K1024_ABS_CONTROL,train,13,handles.nkey,unknown,1024,522,502,0.509765625,163,1606,0.03426060244048127,163,0.31226053639846746,0.0063785305913473846,0.0063785305913473846,0.0,0.7966202496672807,89.80076628352491,0.9999573342435362,0.5086719989776611,0.28356465697288513,1059,383,0.05038825838382115,0.013226384503797253,172,0.06601123595505617,0.023876404494382022,295,0.06649201596806387,0.03954590818363273,183,0.09183135704874835,0.02292490118577075
K1024_ABS_CONTROL,train,14,handles.nthread,unknown,1024,746,278,0.728515625,172,587,0.012522399522143528,180,0.24128686327077747,0.00870381431862787,0.00870381431862787,0.0,0.8879059701383881,62.83646112600536,0.9994240122877378,0.5036655068397522,0.2881649136543274,546,619,0.016895639559689393,0.019711579486304292,268,0.02311031664964249,0.022727272727272728,333,0.02407684630738523,0.03829840319361277,276,0.028326745718050064,0.033069828722002634
K1024_ABS_CONTROL,train,15,handles.ndirectory,unknown,1024,104,920,0.1015625,44,4681,0.09985920300366925,21,0.20192307692307693,0.0010026452769007594,0.0010026452769007594,0.0,0.7041268139226854,450.7307692307692,0.0,0.0,0.0,1,92,0.13678641522314192,0.0034985920300366923,58,0.12665985699693566,0.005362614913176711,83,0.1121506986027944,0.008358283433133733,51,0.14084321475625824,0.002898550724637681
