run,split,feature_idx,feature,strategy,num_bins,bins_used,dead_bins,used_bin_ratio,dominant_bin,dominant_bin_count,dominant_bin_ratio,rare_used_bins_le5,rare_used_bin_ratio_le5,rare_cell_ratio_own_le5,rare_cell_ratio_trainref_le5,unseen_cell_ratio_trainref,entropy_norm,compression_factor,offset_nonzero_ratio,offset_mean,offset_std,offset_unique_approx,class_Benign_bins_used,class_Benign_dominant_ratio,class_Benign_rare_trainref_ratio,class_Ransomware_bins_used,class_Ransomware_dominant_ratio,class_Ransomware_rare_trainref_ratio,class_Spyware_bins_used,class_Spyware_dominant_ratio,class_Spyware_rare_trainref_ratio,class_Trojan_bins_used,class_Trojan_dominant_ratio,class_Trojan_rare_trainref_ratio
K1024_RANK_SAFE,train,0,pslist.nproc,unknown,1024,105,919,0.1025390625,20,7990,0.1704496970731291,50,0.47619047619047616,0.0014933014762351737,0.0014933014762351737,0.0,0.5634949111118889,446.43809523809523,0.0,0.0,0.0,1,55,0.20372898711494156,0.0008533151292772421,81,0.14210929519918283,0.011363636363636364,80,0.13348303393213573,0.012100798403193613,41,0.1782608695652174,0.006324110671936759
K1024_RANK_SAFE,train,1,pslist.nppid,unknown,1024,48,976,0.046875,4,13196,0.28150866114856216,27,0.5625,0.0010026452769007594,0.0010026452769007594,0.0,0.5190073122926573,976.5833333333334,0.0,0.0,0.0,1,18,0.5617800153596724,0.00025599453878317265,20,0.3575076608784474,0.0011491317671092952,46,0.31312375249500995,0.006736526946107785,21,0.38194993412384715,0.002108036890645586
K1024_RANK_SAFE,train,2,pslist.avg_threads,unknown,1024,1024,0,1.0,39,1078,0.022996842734021673,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.8900269113742731,45.77734375,0.9999573342435362,0.4898006319999695,0.2856471836566925,22591,1006,0.003669255055892141,0.0022612850925846917,267,0.04660367722165475,0.038559754851889685,347,0.04628243512974052,0.05214570858283433,247,0.04901185770750988,0.03214756258234519
K1024_RANK_SAFE,train,3,pslist.nprocs64bit,unknown,1024,1,1023,0.0009765625,0,46876,1.0,0,0.0,0.0,0.0,0.0,-1.4428232973175177e-12,46876.0,0.0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0
K1024_RANK_SAFE,train,4,pslist.avg_handlers,unknown,1024,1024,0,1.0,198,369,0.007871832067582558,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.9610871928863035,45.77734375,0.9869869442785221,0.49472543597221375,0.28990697860717773,88,826,0.0027306084136871746,0.0014506357197713116,288,0.015832482124616958,0.012640449438202247,362,0.015094810379241517,0.0280688622754491,251,0.019631093544137022,0.01080368906455863
K1024_RANK_SAFE,train,5,dlllist.ndlls,unknown,1024,787,237,0.7685546875,294,1818,0.038783172625650654,265,0.33672172808132145,0.013354381773188838,0.013354381773188838,0.0,0.8282982084204537,59.56289707750953,0.9999573342435362,0.4941032826900482,0.28895074129104614,1773,618,0.040404471371277416,0.028543391074323746,282,0.06473442288049029,0.032303370786516857,357,0.07622255489021956,0.04403692614770459,257,0.09051383399209487,0.03768115942028986
K1024_RANK_SAFE,train,6,dlllist.avg_dlls_per_proc,unknown,1024,1024,0,1.0,127,1224,0.026111442955883607,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.8601495644825249,45.77734375,0.9999146684870722,0.47025230526924133,0.28803616762161255,4443,899,0.048041641778308726,0.0017492960150183462,181,0.04226251276813075,0.00855464759959142,249,0.06299900199600798,0.026072854291417164,181,0.051910408432147566,0.013043478260869565
K1024_RANK_SAFE,train,7,handles.nhandles,unknown,1024,1024,0,1.0,231,407,0.008682481440395939,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.9256478654312371,45.77734375,0.9990826862360269,0.4983772933483124,0.2889556288719177,2396,766,0.012757061182694769,0.016127655943339876,479,0.015194075587334014,0.0734167517875383,557,0.01783932135728543,0.08283433133732535,432,0.02147562582345191,0.07549407114624505
K1024_RANK_SAFE,train,8,handles.avg_handles_per_proc,unknown,1024,1024,0,1.0,176,327,0.006975851181841454,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.9618504848620574,45.77734375,0.9999146684870722,0.49853360652923584,0.28904929757118225,9917,819,0.0026452769007594503,0.001237306937452001,284,0.01468335035750766,0.01800306435137896,347,0.015469061876247504,0.027070858283433134,245,0.016600790513833993,0.01080368906455863
K1024_RANK_SAFE,train,9,handles.nport,unknown,1024,1,1023,0.0009765625,0,46876,1.0,0,0.0,0.0,0.0,0.0,-1.4428232973175177e-12,46876.0,0.0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0
K1024_RANK_SAFE,train,10,handles.nfile,unknown,1024,125,899,0.1220703125,9,13661,0.2914284495264101,91,0.728,0.0022399522143527603,0.0022399522143527603,0.0,0.4993742056073446,375.008,0.9999573342435362,0.48534274101257324,0.28552255034446716,1092,33,0.23944022527519412,0.00021332878231931053,82,0.5519662921348315,0.009831460674157303,62,0.49575848303393216,0.007110778443113772,18,0.6923583662714098,0.0023715415019762848
K1024_RANK_SAFE,train,11,handles.nevent,unknown,1024,655,369,0.6396484375,272,1321,0.02818073214438092,195,0.29770992366412213,0.010303780186022697,0.010303780186022697,0.0,0.8428843942005663,71.56641221374046,0.9999573342435362,0.5030749440193176,0.2884461581707001,3321,521,0.01847427254885229,0.020564894615581534,214,0.05273237997957099,0.02949438202247191,276,0.05576347305389222,0.0407934131736527,229,0.060737812911725954,0.03359683794466403
