run,split,feature,strategy_C2,strategy,bins_used,bins_used_C2,bins_used_delta_vs_C2,used_bin_ratio,used_bin_ratio_C2,used_bin_ratio_delta_vs_C2,dominant_bin_ratio,dominant_bin_ratio_C2,dominant_bin_ratio_delta_vs_C2,rare_used_bin_ratio_le5,rare_used_bin_ratio_le5_C2,rare_used_bin_ratio_le5_delta_vs_C2,rare_cell_ratio_trainref_le5,rare_cell_ratio_trainref_le5_C2,rare_cell_ratio_trainref_le5_delta_vs_C2,unseen_cell_ratio_trainref,unseen_cell_ratio_trainref_C2,unseen_cell_ratio_trainref_delta_vs_C2,entropy_norm,entropy_norm_C2,entropy_norm_delta_vs_C2,compression_factor,compression_factor_C2,compression_factor_delta_vs_C2,offset_nonzero_ratio,offset_nonzero_ratio_C2,offset_nonzero_ratio_delta_vs_C2,offset_std,offset_std_C2,offset_std_delta_vs_C2
K1024_RANK_SAFE,train,pslist.avg_threads,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.022996842734021673,0.03716187388002389,-0.014165031146002219,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.8900269113742731,0.883099511072012,0.006927400302261133,45.77734375,91.5546875,-45.77734375,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.2856471836566925,0.28935307264328003,-0.0037058889865875244
K1024_RANK_SAFE,train,handles.nhandles,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.008682481440395939,0.01565833262223739,-0.0069758511818414515,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.9256478654312371,0.9198092477997551,0.005838617631481968,45.77734375,91.5546875,-45.77734375,0.9990826862360269,0.9981867053502859,0.0008959808857410545,0.2889556288719177,0.2909584045410156,-0.0020027756690979004
K1024_RANK_SAFE,train,dlllist.avg_dlls_per_proc,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.026111442955883607,0.04057513439713286,-0.014463691441249253,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.8601495644825249,0.8727011258819214,-0.012551561399396505,45.77734375,91.5546875,-45.77734375,0.9999146684870722,0.9999786671217681,-6.399863469586098e-05,0.28803616762161255,0.27774614095687866,0.010290026664733887
K1024_RANK_SAFE,train,pslist.avg_handlers,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.007871832067582558,0.015125010666439115,-0.007253178598856557,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.9610871928863035,0.957794232611417,0.0032929602748864584,45.77734375,91.5546875,-45.77734375,0.9869869442785221,0.9997440054612168,-0.012757061182694707,0.28990697860717773,0.2899337708950043,-2.6792287826538086e-05
K1024_RANK_SAFE,train,handles.avg_handles_per_proc,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.006975851181841454,0.012181073470432631,-0.005205222288591177,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.9618504848620574,0.9584890477296151,0.003361437132442302,45.77734375,91.5546875,-45.77734375,0.9999146684870722,0.9999786671217681,-6.399863469586098e-05,0.28904929757118225,0.2884872853755951,0.0005620121955871582
K1024_RANK_SAFE,train,ldrmodules.not_in_mem_avg,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.018751599965867394,0.019114258895810223,-0.0003626589299428294,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.9151223037618169,0.9256344286247992,-0.010512124862982253,45.77734375,91.5546875,-45.77734375,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.27431008219718933,0.2889976501464844,-0.014687567949295044
K1024_RANK_SAFE,train,malfind.uniqueInjections,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.4273615496202748,0.4274468811332025,-8.533151292772212e-05,0.9375,0.0,0.9375,0.08895810222715249,0.0,0.08895810222715249,0.0,0.0,0.0,0.3809318649050547,0.4081501547524259,-0.02721828984737118,45.77734375,91.5546875,-45.77734375,0.572702449014421,0.5727237818926529,-2.1332878231916652e-05,0.3249302804470062,0.30350589752197266,0.02142438292503357
K1024_RANK_SAFE,train,ldrmodules.not_in_load_avg,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.018751599965867394,0.019114258895810223,-0.0003626589299428294,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.9141750322526973,0.9261698233703296,-0.011994791117632353,45.77734375,91.5546875,-45.77734375,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.28146353363990784,0.2888041138648987,-0.007340580224990845
K1024_RANK_SAFE,train,ldrmodules.not_in_init_avg,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.019050260261114428,0.026687430668145745,-0.007637170407031317,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.9258716464642752,0.9390541473754485,-0.013182500911173234,45.77734375,91.5546875,-45.77734375,0.9989546889666354,0.9997226725829849,-0.0007679836163494436,0.2843931317329407,0.2903149127960205,-0.005921781063079834
K1024_RANK_SAFE,train,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,unknown,1024,512,512,1.0,1.0,0.0,0.061694683846744605,0.06188667975083198,-0.00019199590408737477,0.0009765625,0.0,0.0009765625,2.133287823193105e-05,0.0,2.133287823193105e-05,0.0,0.0,0.0,0.7176664076464363,0.765277320469504,-0.04761091282306773,45.77734375,91.5546875,-45.77734375,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.2681761085987091,0.2688877284526825,-0.0007116198539733887
