run,split,feature,strategy_C2,strategy,bins_used,bins_used_C2,bins_used_delta_vs_C2,used_bin_ratio,used_bin_ratio_C2,used_bin_ratio_delta_vs_C2,dominant_bin_ratio,dominant_bin_ratio_C2,dominant_bin_ratio_delta_vs_C2,rare_used_bin_ratio_le5,rare_used_bin_ratio_le5_C2,rare_used_bin_ratio_le5_delta_vs_C2,rare_cell_ratio_trainref_le5,rare_cell_ratio_trainref_le5_C2,rare_cell_ratio_trainref_le5_delta_vs_C2,unseen_cell_ratio_trainref,unseen_cell_ratio_trainref_C2,unseen_cell_ratio_trainref_delta_vs_C2,entropy_norm,entropy_norm_C2,entropy_norm_delta_vs_C2,compression_factor,compression_factor_C2,compression_factor_delta_vs_C2,offset_nonzero_ratio,offset_nonzero_ratio_C2,offset_nonzero_ratio_delta_vs_C2,offset_std,offset_std_C2,offset_std_delta_vs_C2
K1024_ABS_CONTROL,train,pslist.avg_threads,rank_uniform_offset,unknown,648,512,136,0.6328125,1.0,-0.3671875,0.012842392695622493,0.03716187388002389,-0.0243194811844014,0.4228395061728395,0.0,0.4228395061728395,0.01173308302756208,0.0,0.01173308302756208,0.0,0.0,0.0,0.8742688144939977,0.883099511072012,-0.008830696578014274,72.3395061728395,91.5546875,-19.215181327160494,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.2895022928714752,0.28935307264328003,0.00014922022819519043
K1024_ABS_CONTROL,train,handles.nevent,keep_current,unknown,655,493,162,0.6396484375,0.962890625,-0.3232421875,0.02818073214438092,0.004629234576329039,0.02355149756805188,0.29770992366412213,0.0,0.29770992366412213,0.010303780186022697,0.0,0.010303780186022697,0.0,0.0,0.0,0.8428843942005663,0.9947520106426578,-0.15186761644209157,71.56641221374046,95.08316430020284,-23.516752086462375,0.9999573342435362,0.5374818670535029,0.4624754671900333,0.2884461581707001,0.2939316928386688,-0.00548553466796875
K1024_ABS_CONTROL,train,psxview.not_in_session_false_avg,rank_uniform_offset,unknown,607,512,95,0.5927734375,1.0,-0.4072265625,0.06811588019455585,0.06446795801689564,0.003647922177660204,0.3261943986820428,0.0,0.3261943986820428,0.009877122621384076,0.0,0.009877122621384076,0.0,0.0,0.0,0.7111152060239037,0.7579223476549959,-0.04680714163109223,77.22570016474465,91.5546875,-14.328987335255349,0.9999573342435362,0.9999573342435362,0.0,0.2711961567401886,0.2897352874279022,-0.018539130687713623
K1024_ABS_CONTROL,train,dlllist.avg_dlls_per_proc,rank_uniform_offset,unknown,624,512,112,0.609375,1.0,-0.390625,0.03571123816025258,0.04057513439713286,-0.004863896236880279,0.3894230769230769,0.0,0.3894230769230769,0.009834456864920215,0.0,0.009834456864920215,0.0,0.0,0.0,0.8280985256850129,0.8727011258819214,-0.04460260019690854,75.12179487179488,91.5546875,-16.432892628205124,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.2877393662929535,0.27774614095687866,0.009993225336074829
K1024_ABS_CONTROL,train,psxview.not_in_pslist_false_avg,rank_uniform_offset,unknown,569,512,57,0.5556640625,1.0,-0.4443359375,0.44681713456779587,0.4458144892908951,0.0010026452769007488,0.29701230228471004,0.0,0.29701230228471004,0.009151804761498421,0.0,0.009151804761498421,0.0,0.0,0.0,0.5420011677532909,0.5649092917914776,-0.02290812403818676,82.38312829525483,91.5546875,-9.171559204745165,0.5544841710043519,0.5544841710043519,0.0,0.30555459856987,0.29848596453666687,0.007068634033203125
K1024_ABS_CONTROL,train,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,unknown,532,512,20,0.51953125,1.0,-0.48046875,0.3893250277327417,0.38785305913473844,0.0014719685980032482,0.41353383458646614,0.0,0.41353383458646614,0.008853144466251387,0.0,0.008853144466251387,0.0,0.0,0.0,0.5693216561328808,0.6078890526288423,-0.038567396495961526,88.11278195488721,91.5546875,-3.441905545112789,0.6124669340387405,0.6124882669169724,-2.1332878231916652e-05,0.3184119760990143,0.3390826880931854,-0.020670711994171143
K1024_ABS_CONTROL,train,psxview.not_in_deskthrd_false_avg,rank_uniform_offset,unknown,567,512,55,0.5537109375,1.0,-0.4462890625,0.06273999488010923,0.06139602355149757,0.001343971328611658,0.36860670194003525,0.0,0.36860670194003525,0.00851181841454049,0.0,0.00851181841454049,0.0,0.0,0.0,0.7270295878206029,0.7731383545067176,-0.046108766686114744,82.67372134038801,91.5546875,-8.880966159611987,0.9999573342435362,0.9938987968256677,0.006058537417868437,0.2745494544506073,0.2908897399902344,-0.016340285539627075
K1024_ABS_CONTROL,train,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,unknown,546,512,34,0.533203125,1.0,-0.466796875,0.06348664561822681,0.06188667975083198,0.0015999658673948314,0.38461538461538464,0.0,0.38461538461538464,0.008426486901612766,0.0,0.008426486901612766,0.0,0.0,0.0,0.7195701266236822,0.765277320469504,-0.04570719384582178,85.85347985347985,91.5546875,-5.701207646520146,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.25251734256744385,0.2688877284526825,-0.016370385885238647
K1024_ABS_CONTROL,train,dlllist.ndlls,keep_current,unknown,787,512,275,0.7685546875,1.0,-0.2314453125,0.038783172625650654,0.028351395170236368,0.010431777455414286,0.33672172808132145,0.130859375,0.20586235308132145,0.013354381773188838,0.0059518730267087636,0.007402508746480074,0.0,0.0,0.0,0.8282982084204537,0.8525194789024727,-0.024221270482019053,59.56289707750953,91.5546875,-31.991790422490467,0.9999573342435362,0.9999786671217681,-2.1332878231916652e-05,0.28895074129104614,0.28996628522872925,-0.0010155439376831055
K1024_ABS_CONTROL,train,pslist.avg_handlers,rank_uniform_offset,unknown,322,512,-190,0.314453125,1.0,-0.685546875,0.05070825155730011,0.015125010666439115,0.035583240890861,0.5652173913043478,0.0,0.5652173913043478,0.0059945387831726255,0.0,0.0059945387831726255,0.0,0.0,0.0,0.7668358088563704,0.957794232611417,-0.19095842375504668,145.5776397515528,91.5546875,54.022952251552795,0.9999573342435362,0.9997440054612168,0.00021332878231938857,0.2895140051841736,0.2899337708950043,-0.0004197657108306885
