run,true_class,pred_class,pair_n,delta_vs_C2
C2_K512,Trojan,Ransomware,361,0
C2_K512,Ransomware,Spyware,287,0
C2_K512,Spyware,Ransomware,161,0
C2_K512,Ransomware,Trojan,202,0
C2_K512,Spyware,Trojan,196,0
C2_K512,Trojan,Spyware,209,0
K1024_RANK_SAFE,Trojan,Ransomware,384,23
K1024_RANK_SAFE,Ransomware,Spyware,301,14
K1024_RANK_SAFE,Spyware,Ransomware,190,29
K1024_RANK_SAFE,Ransomware,Trojan,266,64
K1024_RANK_SAFE,Spyware,Trojan,252,56
K1024_RANK_SAFE,Trojan,Spyware,224,15
K1024_ABS_CONTROL,Trojan,Ransomware,353,-8
K1024_ABS_CONTROL,Ransomware,Spyware,309,22
K1024_ABS_CONTROL,Spyware,Ransomware,193,32
K1024_ABS_CONTROL,Ransomware,Trojan,240,38
K1024_ABS_CONTROL,Spyware,Trojan,239,43
K1024_ABS_CONTROL,Trojan,Spyware,210,1
