run,true_class,pred_class,pair_n
C2_K512,Trojan,Ransomware,361
C2_K512,Ransomware,Spyware,287
C2_K512,Spyware,Ransomware,161
C2_K512,Ransomware,Trojan,202
C2_K512,Spyware,Trojan,196
C2_K512,Trojan,Spyware,209
K1024_RANK_SAFE,Trojan,Ransomware,384
K1024_RANK_SAFE,Ransomware,Spyware,301
K1024_RANK_SAFE,Spyware,Ransomware,190
K1024_RANK_SAFE,Ransomware,Trojan,266
K1024_RANK_SAFE,Spyware,Trojan,252
K1024_RANK_SAFE,Trojan,Spyware,224
K1024_ABS_CONTROL,Trojan,Ransomware,353
K1024_ABS_CONTROL,Ransomware,Spyware,309
K1024_ABS_CONTROL,Spyware,Ransomware,193
K1024_ABS_CONTROL,Ransomware,Trojan,240
K1024_ABS_CONTROL,Spyware,Trojan,239
K1024_ABS_CONTROL,Trojan,Spyware,210
