run,true_class,pred_class,pair_n,feature_idx,feature,strategy,pair_bin_mean,true_correct_bin_mean,pred_correct_bin_mean,dist_bin_to_true_correct,dist_bin_to_pred_correct,bin_closer_to_pred_correct,pair_offset_mean,true_correct_offset_mean,pred_correct_offset_mean,dist_offset_to_true_correct,dist_offset_to_pred_correct,offset_closer_to_pred_correct,pair_raw_mean,true_correct_raw_mean,pred_correct_raw_mean,dist_raw_to_true_correct,dist_raw_to_pred_correct,raw_closer_to_pred_correct
C2_K512,Spyware,Trojan,196,29,malfind.uniqueInjections,rank_uniform_offset,11.209183673469388,94.15127582017011,80.33232856066314,82.94209214670073,69.12314488719376,True,0.03620488975881314,0.07275858218413873,0.10450515279879045,0.03655369242532559,0.06830026303997731,False,0.00020558542746584862,0.02074059285223484,0.004339996259659529,0.020535007424768992,0.00413441083219368,True
C2_K512,Spyware,Trojan,196,27,malfind.commitCharge,keep_current,3.326530612244898,48.98906439854192,21.58477769404672,45.662533786297026,18.258247081801823,True,0.11319339395101581,0.19839420864971882,0.21000238280875302,0.08520081469870301,0.09680898885773721,False,1.6078951375675388e-05,0.01226976327598095,0.007695721462368965,0.012253684324605274,0.00767964251099329,True
C2_K512,Spyware,Trojan,196,28,malfind.protection,keep_current,17.6734693877551,47.7314702308627,28.72569706103994,30.058000843107596,11.05222767328484,True,0.028511877585088417,0.09650296138408271,0.0504975931069055,0.0679910837989943,0.021985715521817082,True,0.003529047127813101,0.020039869472384453,0.007198730483651161,0.016510822344571352,0.0036696833558380604,True
C2_K512,Spyware,Trojan,196,37,psxview.not_in_pslist_false_avg,rank_uniform_offset,213.33673469387756,186.29465370595383,174.93067068575735,27.042080987923725,38.40606400812021,False,0.2962121614492593,0.2624021575583613,0.2696129246793839,0.033810003890898,0.026599236769875412,True,0.09810364991426468,0.09496883302927017,0.07438672333955765,0.003134816884994507,0.02371692657470703,False
C2_K512,Spyware,Trojan,196,40,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,213.21938775510205,186.22843256379102,174.88997739261492,26.99095519131103,38.329410362487124,False,0.4026285142884875,0.29306323282400265,0.3100004521954437,0.10956528146448485,0.0926280620930438,True,0.054082781076431274,0.05234800651669502,0.04100806638598442,0.0017347745597362518,0.013074714690446854,False
C2_K512,Spyware,Trojan,196,42,psxview.not_in_session_false_avg,rank_uniform_offset,279.484693877551,260.34264884568654,247.42501883948756,19.142045031864484,32.05967503806346,False,0.4931241818798744,0.5394132915101105,0.5439852183504338,0.046289109630236136,0.050861036470559395,False,0.16440999507904053,0.16336971521377563,0.14168798923492432,0.0010402798652648926,0.02272200584411621,False
C2_K512,Spyware,Trojan,196,10,handles.nfile,keep_current,124.00510204081633,142.64580801944106,130.0143180105501,18.640705978624737,6.009215969733788,True,0.041358666722567716,0.07007559043958439,0.026934558600075008,0.028716923717016674,0.014424108122492708,True,0.00935452152043581,0.012722884304821491,0.009408693760633469,0.003368362784385681,5.417224019765854e-05,True
C2_K512,Spyware,Trojan,196,2,pslist.avg_threads,rank_uniform_offset,37.224489795918366,52.363304981774,24.361718161266012,15.138815185855634,12.862771634652354,True,0.5397345816469467,0.502783358683149,0.499616867911638,0.0369512229637976,0.04011771373530865,False,0.5629926323890686,0.5666225552558899,0.5505087971687317,0.003629922866821289,0.012483835220336914,False
C2_K512,Spyware,Trojan,196,11,handles.nevent,keep_current,137.80612244897958,127.18833535844472,137.6345139412208,10.617787090534861,0.17160850775877634,True,0.21458288837148218,0.20756961080191355,0.20012027223277964,0.007013277569568627,0.014462616138702533,False,0.2768862545490265,0.2701191306114197,0.27970945835113525,0.0067671239376068115,0.0028232038021087646,True
C2_K512,Spyware,Trojan,196,39,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,210.7091836734694,200.79465370595383,178.27581009796535,9.914529967515563,32.43337357550405,False,0.4137324090305792,0.3727442364831922,0.35867567034613707,0.04098817254738696,0.05505673868444211,False,0.06693287938833237,0.073276087641716,0.052409157156944275,0.0063432082533836365,0.014523722231388092,False
