strategy,mode,true_class,pred_class,before_n,after_n,after_minus_before
constant,all,Trojan,Ransomware,361,361,0
constant,all,Ransomware,Spyware,287,287,0
constant,all,Trojan,Spyware,209,209,0
constant,all,Ransomware,Trojan,202,202,0
constant,all,Spyware,Trojan,196,196,0
constant,all,Spyware,Ransomware,161,161,0
constant,raw_only,Trojan,Ransomware,361,361,0
constant,raw_only,Ransomware,Spyware,287,287,0
constant,raw_only,Trojan,Spyware,209,209,0
constant,raw_only,Ransomware,Trojan,202,202,0
constant,raw_only,Spyware,Trojan,196,196,0
constant,raw_only,Spyware,Ransomware,161,161,0
constant,token_only,Trojan,Ransomware,361,361,0
constant,token_only,Ransomware,Spyware,287,287,0
constant,token_only,Trojan,Spyware,209,209,0
constant,token_only,Ransomware,Trojan,202,202,0
constant,token_only,Spyware,Trojan,196,196,0
constant,token_only,Spyware,Ransomware,161,161,0
discrete_compact_offset0,all,Trojan,Ransomware,361,104,-257
discrete_compact_offset0,all,Ransomware,Spyware,287,1745,1458
discrete_compact_offset0,all,Trojan,Spyware,209,1589,1380
discrete_compact_offset0,all,Ransomware,Trojan,202,9,-193
discrete_compact_offset0,all,Spyware,Trojan,196,4,-192
discrete_compact_offset0,all,Spyware,Ransomware,161,16,-145
discrete_compact_offset0,all,Benign                                                                                      ,Spyware,4,5643,5639
discrete_compact_offset0,all,Benign                                                                                      ,Ransomware,1,114,113
discrete_compact_offset0,all,Benign                                                                                      ,Trojan,1,101,100
discrete_compact_offset0,raw_only,Trojan,Ransomware,361,361,0
discrete_compact_offset0,raw_only,Ransomware,Spyware,287,295,8
discrete_compact_offset0,raw_only,Trojan,Spyware,209,211,2
discrete_compact_offset0,raw_only,Ransomware,Trojan,202,204,2
discrete_compact_offset0,raw_only,Spyware,Trojan,196,192,-4
discrete_compact_offset0,raw_only,Spyware,Ransomware,161,157,-4
discrete_compact_offset0,token_only,Trojan,Ransomware,361,105,-256
discrete_compact_offset0,token_only,Ransomware,Spyware,287,1743,1456
discrete_compact_offset0,token_only,Trojan,Spyware,209,1584,1375
discrete_compact_offset0,token_only,Ransomware,Trojan,202,9,-193
discrete_compact_offset0,token_only,Spyware,Trojan,196,4,-192
discrete_compact_offset0,token_only,Spyware,Ransomware,161,16,-145
discrete_compact_offset0,token_only,Benign                                                                                      ,Spyware,4,5639,5635
discrete_compact_offset0,token_only,Benign                                                                                      ,Ransomware,1,113,112
discrete_compact_offset0,token_only,Benign                                                                                      ,Trojan,1,106,105
keep_current,all,Trojan,Ransomware,361,320,-41
keep_current,all,Ransomware,Spyware,287,34,-253
keep_current,all,Trojan,Spyware,209,31,-178
keep_current,all,Ransomware,Trojan,202,1306,1104
keep_current,all,Spyware,Trojan,196,1388,1192
keep_current,all,Spyware,Ransomware,161,569,408
keep_current,raw_only,Trojan,Ransomware,361,351,-10
keep_current,raw_only,Ransomware,Spyware,287,301,14
keep_current,raw_only,Trojan,Spyware,209,219,10
keep_current,raw_only,Ransomware,Trojan,202,197,-5
keep_current,raw_only,Spyware,Trojan,196,194,-2
keep_current,raw_only,Spyware,Ransomware,161,156,-5
keep_current,token_only,Trojan,Ransomware,361,356,-5
keep_current,token_only,Ransomware,Spyware,287,29,-258
keep_current,token_only,Trojan,Spyware,209,31,-178
keep_current,token_only,Ransomware,Trojan,202,1282,1080
keep_current,token_only,Spyware,Trojan,196,1350,1154
keep_current,token_only,Spyware,Ransomware,161,607,446
rank_uniform_offset,all,Trojan,Ransomware,361,660,299
rank_uniform_offset,all,Ransomware,Spyware,287,334,47
rank_uniform_offset,all,Trojan,Spyware,209,340,131
rank_uniform_offset,all,Ransomware,Trojan,202,134,-68
rank_uniform_offset,all,Spyware,Trojan,196,138,-58
rank_uniform_offset,all,Spyware,Ransomware,161,275,114
rank_uniform_offset,raw_only,Trojan,Ransomware,361,358,-3
rank_uniform_offset,raw_only,Ransomware,Spyware,287,287,0
rank_uniform_offset,raw_only,Trojan,Spyware,209,210,1
rank_uniform_offset,raw_only,Ransomware,Trojan,202,201,-1
rank_uniform_offset,raw_only,Spyware,Trojan,196,194,-2
rank_uniform_offset,raw_only,Spyware,Ransomware,161,163,2
rank_uniform_offset,token_only,Trojan,Ransomware,361,662,301
rank_uniform_offset,token_only,Ransomware,Spyware,287,329,42
rank_uniform_offset,token_only,Trojan,Spyware,209,336,127
rank_uniform_offset,token_only,Ransomware,Trojan,202,130,-72
rank_uniform_offset,token_only,Spyware,Trojan,196,137,-59
rank_uniform_offset,token_only,Spyware,Ransomware,161,285,124
