strategy,mode,n_features,train_macro_f1,val_macro_f1,train_macro_f1_drop_vs_base,val_macro_f1_drop_vs_base,drop_gap_train_minus_val,train_acc,val_acc,val_changed_pred_rate,val_wrong_to_correct_n,val_correct_to_wrong_n,val_wrong_to_correct_minus_correct_to_wrong
discrete_compact_offset0,all,23,0.16589994280483777,0.16547789564194493,0.7440699173413984,0.6518032806585233,0.09226663668287505,0.20528628722587253,0.20435153583617746,0.7811433447098977,371,8273,-7902
discrete_compact_offset0,token_only,23,0.16647189663603748,0.1666368431315432,0.7434979635101987,0.6506443331689251,0.09285363034127359,0.20552094888642375,0.20486348122866893,0.7808020477815699,374,8270,-7896
keep_current,all,14,0.48073051412031065,0.4759881730515509,0.4292393460259255,0.34129300324891737,0.08794634277700814,0.6917185766703644,0.6880546075085324,0.3176621160409556,538,2771,-2233
keep_current,token_only,14,0.4831623712635954,0.4763104755690389,0.42680748888264075,0.3409707007314294,0.08583678815121137,0.6929132178513525,0.6873720136518772,0.31612627986348124,526,2767,-2241
rank_uniform_offset,all,15,0.7920470516770599,0.7519000977126009,0.11792280846917624,0.06538107858786735,0.052541729881308896,0.866050857581705,0.8386518771331058,0.10196245733788396,303,771,-468
rank_uniform_offset,token_only,15,0.7910270104009254,0.7523107994037709,0.11894284974531077,0.06497037689669738,0.053972472848613395,0.8654535369912109,0.8388225255972697,0.10170648464163823,303,769,-466
discrete_compact_offset0,raw_only,23,0.9092909035168609,0.816773979299718,0.0006789566293752269,0.0005071970007503035,0.00017175962862492344,0.9400972779247376,0.8783276450511945,0.003242320819112628,16,19,-3
keep_current,raw_only,14,0.9069398865779736,0.8170867690760958,0.0030299735682625117,0.0001944072243724726,0.002835566343890039,0.9385399778138066,0.8784982935153584,0.00955631399317406,47,48,-1
constant,all,3,0.9099698601462362,0.8172811763004683,0.0,0.0,0.0,0.9405452683676082,0.8785836177474403,0.0,0,0,0
constant,token_only,3,0.9099698601462362,0.8172811763004683,0.0,0.0,0.0,0.9405452683676082,0.8785836177474403,0.0,0,0,0
constant,raw_only,3,0.9099698601462362,0.8172811763004683,0.0,0.0,0.0,0.9405452683676082,0.8785836177474403,0.0,0,0,0
rank_uniform_offset,raw_only,15,0.9094295793570784,0.8177805735740488,0.0005402807891577988,-0.0004993972735805041,0.0010396780627383029,0.9401826094376653,0.8789249146757679,0.00469283276450512,27,23,4
