space,true_class,pred_class,high_rare,rootcause_category,n,rare_count_mean,knn_true_frac_mean,knn_pred_frac_mean
cls_classifier_input,Benign                                                                                      ,Ransomware,False,feature_space_overlap_with_pred_class,1,0.0,0.0,1.0
cls_classifier_input,Benign                                                                                      ,Spyware,False,feature_space_overlap_with_pred_class,3,0.0,0.02666666666666667,0.9733333333333333
cls_classifier_input,Benign                                                                                      ,Spyware,False,OOD_or_distribution_shift,1,1.0,0.0,0.92
cls_classifier_input,Benign                                                                                      ,Trojan,False,OOD_or_distribution_shift,1,0.0,0.08,0.28
cls_classifier_input,Ransomware,Spyware,True,feature_space_overlap_with_pred_class,10,3.4,0.012,0.9880000000000001
cls_classifier_input,Ransomware,Spyware,True,OOD_or_distribution_shift,5,2.8,0.08,0.8400000000000001
cls_classifier_input,Ransomware,Spyware,False,feature_space_overlap_with_pred_class,192,0.036458333333333336,0.10812499999999999,0.8358333333333333
cls_classifier_input,Ransomware,Spyware,False,OOD_or_distribution_shift,49,0.08163265306122448,0.14204081632653062,0.7934693877551019
cls_classifier_input,Ransomware,Spyware,False,mixed_neighbors_ambiguous,21,0.0,0.30666666666666675,0.4495238095238095
cls_classifier_input,Ransomware,Spyware,False,model_boundary_failure_knn_true_neighbors,10,0.1,0.6159999999999999,0.37600000000000006
cls_classifier_input,Ransomware,Trojan,True,OOD_or_distribution_shift,2,3.0,0.02,0.98
cls_classifier_input,Ransomware,Trojan,False,feature_space_overlap_with_pred_class,109,0.01834862385321101,0.1889908256880734,0.786788990825688
cls_classifier_input,Ransomware,Trojan,False,OOD_or_distribution_shift,72,0.027777777777777776,0.12166666666666666,0.7999999999999999
cls_classifier_input,Ransomware,Trojan,False,model_boundary_failure_knn_true_neighbors,10,0.0,0.568,0.404
cls_classifier_input,Ransomware,Trojan,False,mixed_neighbors_ambiguous,9,0.0,0.2711111111111111,0.38222222222222224
cls_classifier_input,Spyware,Benign                                                                                      ,True,OOD_or_distribution_shift,1,9.0,0.0,1.0
cls_classifier_input,Spyware,Ransomware,True,OOD_or_distribution_shift,5,3.8,0.032,0.9279999999999999
cls_classifier_input,Spyware,Ransomware,True,feature_space_overlap_with_pred_class,3,4.333333333333333,0.08,0.9199999999999999
cls_classifier_input,Spyware,Ransomware,False,feature_space_overlap_with_pred_class,76,0.10526315789473684,0.1242105263157895,0.8036842105263159
cls_classifier_input,Spyware,Ransomware,False,OOD_or_distribution_shift,56,0.10714285714285714,0.14142857142857143,0.7628571428571428
cls_classifier_input,Spyware,Ransomware,False,mixed_neighbors_ambiguous,13,0.0,0.28923076923076924,0.40923076923076934
cls_classifier_input,Spyware,Ransomware,False,model_boundary_failure_knn_true_neighbors,8,0.125,0.64,0.33499999999999996
cls_classifier_input,Spyware,Trojan,True,OOD_or_distribution_shift,2,3.0,0.18,0.78
cls_classifier_input,Spyware,Trojan,False,feature_space_overlap_with_pred_class,111,0.018018018018018018,0.14954954954954955,0.8273873873873874
cls_classifier_input,Spyware,Trojan,False,OOD_or_distribution_shift,77,0.03896103896103896,0.1438961038961039,0.7958441558441559
cls_classifier_input,Spyware,Trojan,False,mixed_neighbors_ambiguous,4,0.0,0.38999999999999996,0.43
cls_classifier_input,Spyware,Trojan,False,model_boundary_failure_knn_true_neighbors,2,0.5,0.6,0.34
cls_classifier_input,Trojan,Ransomware,True,OOD_or_distribution_shift,1,3.0,0.04,0.96
cls_classifier_input,Trojan,Ransomware,True,feature_space_overlap_with_pred_class,1,5.0,0.0,1.0
cls_classifier_input,Trojan,Ransomware,False,feature_space_overlap_with_pred_class,233,0.004291845493562232,0.2290128755364807,0.7478111587982833
cls_classifier_input,Trojan,Ransomware,False,OOD_or_distribution_shift,74,0.02702702702702703,0.20864864864864865,0.7416216216216216
cls_classifier_input,Trojan,Ransomware,False,model_boundary_failure_knn_true_neighbors,33,0.030303030303030304,0.5696969696969697,0.4193939393939394
cls_classifier_input,Trojan,Ransomware,False,mixed_neighbors_ambiguous,19,0.0,0.3073684210526317,0.38947368421052636
cls_classifier_input,Trojan,Spyware,True,feature_space_overlap_with_pred_class,2,4.5,0.0,1.0
cls_classifier_input,Trojan,Spyware,False,feature_space_overlap_with_pred_class,119,0.01680672268907563,0.1257142857142857,0.7801680672268909
cls_classifier_input,Trojan,Spyware,False,OOD_or_distribution_shift,53,0.018867924528301886,0.1418867924528302,0.7932075471698115
cls_classifier_input,Trojan,Spyware,False,mixed_neighbors_ambiguous,28,0.0,0.2557142857142857,0.4328571428571428
cls_classifier_input,Trojan,Spyware,False,model_boundary_failure_knn_true_neighbors,7,0.0,0.6114285714285714,0.35999999999999993
raw_scaled,Benign                                                                                      ,Ransomware,False,OOD_or_distribution_shift,1,0.0,0.48,0.04
raw_scaled,Benign                                                                                      ,Spyware,False,OOD_or_distribution_shift,3,0.3333333333333333,0.3333333333333333,0.32
raw_scaled,Benign                                                                                      ,Spyware,False,mixed_neighbors_ambiguous,1,0.0,0.44,0.4
raw_scaled,Benign                                                                                      ,Trojan,False,mixed_neighbors_ambiguous,1,0.0,0.44,0.16
raw_scaled,Ransomware,Spyware,True,OOD_or_distribution_shift,14,3.2857142857142856,0.4,0.4428571428571428
raw_scaled,Ransomware,Spyware,True,mixed_neighbors_ambiguous,1,2.0,0.2,0.44
raw_scaled,Ransomware,Spyware,False,mixed_neighbors_ambiguous,144,0.006944444444444444,0.3252777777777778,0.3102777777777778
raw_scaled,Ransomware,Spyware,False,feature_space_overlap_with_pred_class,72,0.041666666666666664,0.2127777777777778,0.6822222222222222
raw_scaled,Ransomware,Spyware,False,model_boundary_failure_knn_true_neighbors,30,0.0,0.6013333333333333,0.2146666666666667
raw_scaled,Ransomware,Spyware,False,OOD_or_distribution_shift,26,0.3076923076923077,0.3861538461538461,0.52
raw_scaled,Ransomware,Trojan,True,OOD_or_distribution_shift,2,3.0,0.54,0.0
raw_scaled,Ransomware,Trojan,False,mixed_neighbors_ambiguous,94,0.02127659574468085,0.3480851063829788,0.36893617021276587
raw_scaled,Ransomware,Trojan,False,feature_space_overlap_with_pred_class,68,0.0,0.2670588235294118,0.6282352941176471
raw_scaled,Ransomware,Trojan,False,model_boundary_failure_knn_true_neighbors,33,0.0,0.5818181818181819,0.3151515151515152
raw_scaled,Ransomware,Trojan,False,OOD_or_distribution_shift,5,0.4,0.4880000000000001,0.31200000000000006
raw_scaled,Spyware,Benign                                                                                      ,True,OOD_or_distribution_shift,1,9.0,0.28,0.0
