feature,C2_strategy,is_bad_current,C3a_strategy,C3b_strategy,C2_raw_unique,C2_bins_used,C2_max_raw_unique_per_bin,C2_rare_used_bin_ratio_le5,C2_dominant_bin_ratio,C2_entropy_norm,C2_offset_unique_count,C2_offset_nonzero_ratio,C3a_bins_used,C3a_max_raw_unique_per_bin,C3a_rare_used_bin_ratio_le5,C3a_dominant_bin_ratio,C3a_offset_unique_count,C3a_offset_nonzero_ratio,C3b_bins_used,C3b_max_raw_unique_per_bin,C3b_rare_used_bin_ratio_le5,C3b_dominant_bin_ratio,C3b_offset_unique_count,C3b_offset_nonzero_ratio
pslist.nproc,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,105,105,1,0.47619047619047616,0.1704496970731291,0.5634949111118889,1,0.0,105,1,0.47619047619047616,0.1704496970731291,1,0.0,105,1,0.47619047619047616,0.1704496970731291,1,0.0
pslist.nppid,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,48,48,1,0.5625,0.28150866114856216,0.5190073122926573,1,0.0,48,1,0.5625,0.28150866114856216,1,0.0,48,1,0.5625,0.28150866114856216,1,0.0
pslist.avg_threads,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,22592,512,45,0.0,0.03716187388002389,0.883099511072012,22592,0.9999786671217681,512,45,0.0,0.03716187388002389,22592,0.9999786671217681,512,45,0.0,0.03716187388002389,22592,0.9999786671217681
pslist.nprocs64bit,constant,False,constant,constant,1,1,1,0.0,1.0,0.0,1,1.0,1,1,0.0,1.0,1,1.0,1,1,0.0,1.0,1,1.0
pslist.avg_handlers,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,30009,512,59,0.0,0.015125010666439115,0.957794232611417,3752,0.9997440054612168,512,59,0.0,0.015125010666439115,3752,0.9997440054612168,512,59,0.0,0.015125010666439115,3752,0.9997440054612168
dlllist.ndlls,keep_current,False,keep_current,keep_current,1774,512,4,0.130859375,0.028351395170236368,0.8525194789024727,1774,0.9999786671217681,512,4,0.130859375,0.028351395170236368,1774,0.9999786671217681,512,4,0.130859375,0.028351395170236368,1774,0.9999786671217681
dlllist.avg_dlls_per_proc,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,13330,512,27,0.0,0.04057513439713286,0.8727011258819214,13330,0.9999786671217681,512,27,0.0,0.04057513439713286,13330,0.9999786671217681,512,27,0.0,0.04057513439713286,13330,0.9999786671217681
handles.nhandles,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,7189,512,15,0.0,0.01565833262223739,0.9198092477997551,1798,0.9981867053502859,512,15,0.0,0.01565833262223739,1798,0.9981867053502859,512,15,0.0,0.01565833262223739,1798,0.9981867053502859
handles.avg_handles_per_proc,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,29752,512,59,0.0,0.012181073470432631,0.9584890477296151,29752,0.9999786671217681,512,59,0.0,0.012181073470432631,29752,0.9999786671217681,512,59,0.0,0.012181073470432631,29752,0.9999786671217681
handles.nport,constant,False,constant,constant,1,1,1,0.0,1.0,0.0,1,1.0,1,1,0.0,1.0,1,1.0,1,1,0.0,1.0,1,1.0
handles.nfile,keep_current,False,keep_current,keep_current,1093,297,88,0.0,0.016660977899138153,0.9654571679022621,712,0.16148988821571805,297,88,0.0,0.016660977899138153,712,0.16148988821571805,297,88,0.0,0.016660977899138153,712,0.16148988821571805
handles.nevent,keep_current,False,keep_current,keep_current,3322,493,86,0.0,0.004629234576329039,0.9947520106426578,2427,0.5374818670535029,493,86,0.0,0.004629234576329039,2427,0.5374818670535029,493,86,0.0,0.004629234576329039,2427,0.5374818670535029
handles.ndesktop,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,60,60,1,0.16666666666666666,0.16539380493216144,0.6624280875401419,1,0.0,60,1,0.16666666666666666,0.16539380493216144,1,0.0,60,1,0.16666666666666666,0.16539380493216144,1,0.0
handles.nkey,keep_current,False,keep_current,keep_current,1060,512,3,0.2265625,0.030911340558068094,0.8172767122869657,1060,0.9999786671217681,512,3,0.2265625,0.030911340558068094,1060,0.9999786671217681,512,3,0.2265625,0.030911340558068094,1060,0.9999786671217681
handles.nthread,keep_current,False,keep_current,keep_current,1149,512,3,0.166015625,0.016554313507978497,0.8934861158109448,626,0.9980373752026623,512,3,0.166015625,0.016554313507978497,626,0.9980373752026623,512,3,0.166015625,0.016554313507978497,626,0.9980373752026623
handles.ndirectory,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,104,104,1,0.20192307692307693,0.09985920300366925,0.7041268139226854,1,0.0,104,1,0.20192307692307693,0.09985920300366925,1,0.0,104,1,0.20192307692307693,0.09985920300366925,1,0.0
handles.nsemaphore,keep_current,False,keep_current,keep_current,624,512,2,0.26953125,0.03893250277327417,0.7992274222335928,624,0.9999786671217681,512,2,0.26953125,0.03893250277327417,624,0.9999786671217681,512,2,0.26953125,0.03893250277327417,624,0.9999786671217681
handles.ntimer,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,123,123,1,0.24390243902439024,0.08565150610120317,0.7453838702633432,1,0.0,123,1,0.24390243902439024,0.08565150610120317,1,0.0,123,1,0.24390243902439024,0.08565150610120317,1,0.0
handles.nsection,keep_current,False,keep_current,keep_current,612,512,2,0.234375,0.06069203856984384,0.7928771230914666,612,0.9999786671217681,512,2,0.234375,0.06069203856984384,612,0.9999786671217681,512,2,0.234375,0.06069203856984384,612,0.9999786671217681
handles.nmutant,keep_current,False,keep_current,keep_current,405,405,1,0.145679012345679,0.0551668231077737,0.8406808847073096,405,0.9999786671217681,405,1,0.145679012345679,0.0551668231077737,405,0.9999786671217681,405,1,0.145679012345679,0.0551668231077737,405,0.9999786671217681
ldrmodules.not_in_load,keep_current,False,keep_current,keep_current,145,145,1,0.2,0.07080382285177916,0.7895089801002002,78,0.9738032255311887,145,1,0.2,0.07080382285177916,78,0.9738032255311887,145,1,0.2,0.07080382285177916,78,0.9738032255311887
ldrmodules.not_in_init,keep_current,False,keep_current,keep_current,180,180,1,0.2111111111111111,0.05107091048724294,0.8092464216563752,170,0.9982080382285178,180,1,0.2111111111111111,0.05107091048724294,170,0.9982080382285178,180,1,0.2111111111111111,0.05107091048724294,170,0.9982080382285178
ldrmodules.not_in_mem,keep_current,False,keep_current,keep_current,145,145,1,0.2,0.07059049406945986,0.789586786756279,78,0.9738032255311887,145,1,0.2,0.07059049406945986,78,0.9738032255311887,145,1,0.2,0.07059049406945986,78,0.9738032255311887
ldrmodules.not_in_load_avg,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,15444,512,31,0.0,0.019114258895810223,0.9261698233703296,15444,0.9999786671217681,512,31,0.0,0.019114258895810223,15444,0.9999786671217681,512,31,0.0,0.019114258895810223,15444,0.9999786671217681
ldrmodules.not_in_init_avg,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,15577,512,31,0.0,0.026687430668145745,0.9390541473754485,1948,0.9997226725829849,512,31,0.0,0.026687430668145745,1948,0.9997226725829849,512,31,0.0,0.026687430668145745,1948,0.9997226725829849
ldrmodules.not_in_mem_avg,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,15444,512,31,0.0,0.019114258895810223,0.9256344286247992,15444,0.9999786671217681,512,31,0.0,0.019114258895810223,15444,0.9999786671217681,512,31,0.0,0.019114258895810223,15444,0.9999786671217681
malfind.ninjections,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,111,111,1,0.44144144144144143,0.4242896151548767,0.414439567232933,1,0.0,111,1,0.44144144144144143,0.4242896151548767,1,0.0,111,1,0.44144144144144143,0.4242896151548767,1,0.0
malfind.commitCharge,keep_current,True,bad_current_discrete_compact_offset0,bad_current_offset_off,488,488,1,0.7049180327868853,0.32654236709616863,0.3960846711131229,488,0.9893975595187303,488,1,0.7049180327868853,0.32654236709616863,1,0.0,488,1,0.7049180327868853,0.32654236709616863,1,0.0
malfind.protection,keep_current,True,bad_current_discrete_compact_offset0,bad_current_offset_off,203,203,1,0.3842364532019704,0.4135591774042154,0.4320945804859872,203,0.9897388855704412,203,1,0.3842364532019704,0.4135591774042154,1,0.0,203,1,0.3842364532019704,0.4135591774042154,1,0.0
malfind.uniqueInjections,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,4452,512,9,0.0,0.4274468811332025,0.4081501547524259,4452,0.5727237818926529,512,9,0.0,0.4274468811332025,4452,0.5727237818926529,512,9,0.0,0.4274468811332025,4452,0.5727237818926529
psxview.not_in_pslist,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,40,40,1,0.225,0.4979307108115027,0.48112950985662273,1,0.0,40,1,0.225,0.4979307108115027,1,0.0,40,1,0.225,0.4979307108115027,1,0.0
psxview.not_in_eprocess_pool,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,2,2,1,0.0,0.9978027135421111,0.02256870316578253,1,0.0,2,1,0.0,0.9978027135421111,1,0.0,2,1,0.0,0.9978027135421111,1,0.0
psxview.not_in_ethread_pool,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,78,78,1,0.5384615384615384,0.43839064766618313,0.4418943899258692,1,0.0,78,1,0.5384615384615384,0.43839064766618313,1,0.0,78,1,0.5384615384615384,0.43839064766618313,1,0.0
psxview.not_in_pspcid_list,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,40,40,1,0.225,0.4978667121768069,0.4812722049435046,1,0.0,40,1,0.225,0.4978667121768069,1,0.0,40,1,0.225,0.4978667121768069,1,0.0
psxview.not_in_csrss_handles,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,78,78,1,0.5384615384615384,0.437494666780442,0.44227375658034435,1,0.0,78,1,0.5384615384615384,0.437494666780442,1,0.0,78,1,0.5384615384615384,0.437494666780442,1,0.0
psxview.not_in_session,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,40,40,1,0.225,0.49810137383735814,0.4810606180111996,1,0.0,40,1,0.225,0.49810137383735814,1,0.0,40,1,0.225,0.49810137383735814,1,0.0
psxview.not_in_deskthrd,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,82,82,1,0.5121951219512195,0.3869357453707654,0.4825476873298571,1,0.0,82,1,0.5121951219512195,0.3869357453707654,1,0.0,82,1,0.5121951219512195,0.3869357453707654,1,0.0
psxview.not_in_pslist_false_avg,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,7781,512,16,0.0,0.4458144892908951,0.5649092917914776,1946,0.5544841710043519,512,16,0.0,0.4458144892908951,1946,0.5544841710043519,512,16,0.0,0.4458144892908951,1946,0.5544841710043519
psxview.not_in_eprocess_pool_false_avg,keep_current,True,bad_current_discrete_compact_offset0,bad_current_offset_off,159,159,1,0.9559748427672956,0.9949227749808004,0.010955484576625277,159,0.00507722501919959,159,1,0.9559748427672956,0.9949227749808004,1,0.0,159,1,0.9559748427672956,0.9949227749808004,1,0.0
psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,8346,512,17,0.0,0.38785305913473844,0.6078890526288423,8346,0.6124882669169724,512,17,0.0,0.38785305913473844,8346,0.6124882669169724,512,17,0.0,0.38785305913473844,8346,0.6124882669169724
psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,7783,512,16,0.0,0.4457504906561993,0.5651203929512788,3892,0.5545481696390477,512,16,0.0,0.4457504906561993,3892,0.5545481696390477,512,16,0.0,0.4457504906561993,3892,0.5545481696390477
psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,9458,512,19,0.0,0.06188667975083198,0.765277320469504,9458,0.9999786671217681,512,19,0.0,0.06188667975083198,9458,0.9999786671217681,512,19,0.0,0.06188667975083198,9458,0.9999786671217681
psxview.not_in_session_false_avg,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,9559,512,19,0.0,0.06446795801689564,0.7579223476549959,4780,0.9999573342435362,512,19,0.0,0.06446795801689564,4780,0.9999573342435362,512,19,0.0,0.06446795801689564,4780,0.9999573342435362
psxview.not_in_deskthrd_false_avg,rank_uniform_offset,False,rank_uniform_offset,rank_uniform_offset,9655,512,19,0.0,0.06139602355149757,0.7731383545067176,4828,0.9938987968256677,512,19,0.0,0.06139602355149757,4828,0.9938987968256677,512,19,0.0,0.06139602355149757,4828,0.9938987968256677
modules.nmodules,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,3,3,1,0.3333333333333333,0.9614088232784367,0.14893518717180834,1,0.0,3,1,0.3333333333333333,0.9614088232784367,1,0.0,3,1,0.3333333333333333,0.9614088232784367,1,0.0
svcscan.nservices,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,30,30,1,0.5333333333333333,0.4652274084819524,0.34744347878889764,1,0.0,30,1,0.5333333333333333,0.4652274084819524,1,0.0,30,1,0.5333333333333333,0.4652274084819524,1,0.0
svcscan.kernel_drivers,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,19,19,1,0.631578947368421,0.4982080382285178,0.28582173062486177,1,0.0,19,1,0.631578947368421,0.4982080382285178,1,0.0,19,1,0.631578947368421,0.4982080382285178,1,0.0
svcscan.fs_drivers,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,10,10,1,0.7,0.9990400204795631,0.003866070213091662,1,0.0,10,1,0.7,0.9990400204795631,1,0.0,10,1,0.7,0.9990400204795631,1,0.0
svcscan.process_services,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,14,14,1,0.42857142857142855,0.590664732485707,0.32624826091225567,1,0.0,14,1,0.42857142857142855,0.590664732485707,1,0.0,14,1,0.42857142857142855,0.590664732485707,1,0.0
svcscan.shared_process_services,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,22,22,1,0.6363636363636364,0.4982080382285178,0.2762666726609017,1,0.0,22,1,0.6363636363636364,0.4982080382285178,1,0.0,22,1,0.6363636363636364,0.4982080382285178,1,0.0
svcscan.interactive_process_services,constant,False,constant,constant,1,1,1,0.0,1.0,0.0,1,1.0,1,1,0.0,1.0,1,1.0,1,1,0.0,1.0,1,1.0
svcscan.nactive,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,34,34,1,0.4117647058823529,0.24310948033108626,0.6257817858570436,1,0.0,34,1,0.4117647058823529,0.24310948033108626,1,0.0,34,1,0.4117647058823529,0.24310948033108626,1,0.0
callbacks.ncallbacks,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,13,13,1,0.3076923076923077,0.42770287567198567,0.44011199341175156,1,0.0,13,1,0.3076923076923077,0.42770287567198567,1,0.0,13,1,0.3076923076923077,0.42770287567198567,1,0.0
callbacks.nanonymous,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,2,2,1,0.0,0.9991466848707228,0.009929783324449003,1,0.0,2,1,0.0,0.9991466848707228,1,0.0,2,1,0.0,0.9991466848707228,1,0.0
callbacks.ngeneric,discrete_compact_offset0,False,discrete_compact_offset0,discrete_compact_offset0,2,2,1,0.0,0.9998720027306084,0.0018398586095722102,1,0.0,2,1,0.0,0.9998720027306084,1,0.0,2,1,0.0,0.9998720027306084,1,0.0
