feature,n,num_bins,z_min,z_max,z_num_unique,uniform_bins_used,quantile_bins_used,delta_bins_used,uniform_empty_bins,quantile_empty_bins,uniform_dominant_bin_ratio,quantile_dominant_bin_ratio,delta_dominant_bin_ratio,dominant_ratio_reduction,uniform_max_bin_count,quantile_max_bin_count,uniform_entropy_norm,quantile_entropy_norm,delta_entropy_norm,quantile_duplicate_edge_count,quantile_zero_width_bin_count,quantile_zero_width_sample_ratio,offset_min,offset_max,offset_mean
pslist.nproc,46876,128,0.0,1.0,105,73,23,-50,55,105,0.30307620104104444,0.1704496970731291,-0.13262650396791534,0.13262650396791534,14207,7990,0.43584628284228305,0.5205393126043495,0.08469302976206644,105,105,0.0,0.0,1.0,0.019752848893404007
pslist.nppid,46876,128,0.0,1.0,48,48,12,-36,80,116,0.28150866114856216,0.28150866114856216,0.0,0.0,13196,13196,0.41409091097483064,0.4072819277595819,-0.006808983215248754,116,116,0.0,0.0,1.0,0.003527035703882575
pslist.avg_threads,46876,128,0.0,1.0,22592,125,126,1,3,2,0.06649458144892909,0.015338339448758426,-0.05115624200017066,0.05115624200017066,3117,719,0.817450671841574,0.9918542669131126,0.17440359507153858,2,2,0.0,0.0,1.0,0.4388211667537689
pslist.nprocs64bit,46876,128,0.0,0.0,1,1,1,0,127,127,1.0,1.0,0.0,0.0,46876,46876,-0.0,-0.0,0.0,128,128,1.0,0.5,0.5,0.5
pslist.avg_handlers,46876,128,0.0,1.0,30009,104,128,24,24,0,0.10209915521802201,0.008298489632221179,-0.09380066558580083,0.09380066558580083,4786,389,0.7358752104990595,0.9999768700387244,0.2641016595396649,0,0,0.0,0.0,1.0,0.49257025122642517
dlllist.ndlls,46876,128,0.0,1.0,1774,120,122,2,8,6,0.07534772591518048,0.020564894615581534,-0.05478283129959895,0.05478283129959895,3532,964,0.7910037760094512,0.9752869100250999,0.18428313401564878,6,6,0.0,0.0,1.0,0.2995636761188507
dlllist.avg_dlls_per_proc,46876,128,0.0,1.0,13330,123,122,-1,5,6,0.12742128167932418,0.02316750575987712,-0.10425377591944705,0.10425377591944705,5973,1086,0.78354209406782,0.979543058282891,0.19600096421507096,6,6,0.0,0.0,1.0,0.35391920804977417
handles.nhandles,46876,128,0.0,1.0,7189,101,128,27,27,0,0.07643570270500896,0.008682481440395939,-0.06775322126461303,0.06775322126461303,3583,407,0.7224446658051583,0.999900958347616,0.27745629254245774,0,0,0.0,0.0,1.0,0.47839221358299255
handles.avg_handles_per_proc,46876,128,0.0,1.0,29752,102,128,26,26,0,0.09849389879682567,0.008447819779844696,-0.09004607901698097,0.09004607901698097,4617,396,0.7325383191036329,0.999970994196698,0.2674326750930651,0,0,0.0,0.0,1.0,0.4914536774158478
handles.nport,46876,128,0.0,0.0,1,1,1,0,127,127,1.0,1.0,0.0,0.0,46876,46876,-0.0,-0.0,0.0,128,128,1.0,0.5,0.5,0.5
handles.nfile,46876,128,0.0,1.0,1093,91,122,31,37,6,0.2032169980373752,0.016660977899138153,-0.18655602013823705,0.18655602013823705,9526,781,0.5311482396773055,0.9828485651063271,0.4517003254290216,6,6,0.0,0.0,1.0,0.23520523309707642
handles.nevent,46876,128,0.0,1.0,3322,110,128,18,18,0,0.06869186790681799,0.009642460960832835,-0.05904940694598515,0.05904940694598515,3220,452,0.7666505436934089,0.9993608483005572,0.23271030460714826,0,0,0.0,0.0,1.0,0.4394422173500061
handles.ndesktop,46876,128,0.0,1.0,60,56,28,-28,72,100,0.16539380493216144,0.16539380493216144,0.0,0.0,7753,7753,0.5345005134890346,0.5466595832015316,0.012159069712497028,100,100,0.0,0.0,1.0,0.017155833542346954
handles.nkey,46876,128,0.0,1.0,1060,113,113,0,15,15,0.11660551241573514,0.026687430668145745,-0.08991808174758939,0.08991808174758939,5466,1251,0.6968186760780367,0.9577991354939265,0.26098045941588977,15,15,0.0,0.0,1.0,0.19758540391921997
handles.nthread,46876,128,0.0,1.0,1149,119,128,9,9,0,0.05685212048809626,0.011690417271098217,-0.04516170321699804,0.04516170321699804,2665,548,0.8178270632370404,0.9975321557317021,0.1797050924946617,0,0,0.0,0.0,1.0,0.3538624942302704
handles.ndirectory,46876,128,0.0,1.0,104,56,36,-20,72,92,0.14389026367437494,0.09985920300366925,-0.04403106067070568,0.04403106067070568,6745,4681,0.5483151972883044,0.6475401063880456,0.09922490909974124,92,92,0.0,0.0,1.0,0.03159384801983833
handles.nsemaphore,46876,128,0.0,1.0,624,117,99,-18,11,29,0.07929430838808772,0.038228517791620446,-0.041065790596467276,0.041065790596467276,3717,1792,0.7650795906215034,0.915742932468894,0.1506633418473906,29,29,0.0,0.0,1.0,0.1587158441543579
handles.ntimer,46876,128,0.0,1.0,123,105,43,-62,23,85,0.10397644850243194,0.08618482805700145,-0.017791620445430492,0.017791620445430492,4874,4040,0.6953021004962118,0.7055198668234091,0.010217766327197286,85,85,0.0,0.0,1.0,0.034514978528022766
handles.nsection,46876,128,0.0,1.0,612,42,99,57,86,29,0.2390135677105555,0.0445857155047359,-0.19442785220581962,0.19442785220581962,11204,2090,0.5487271108208509,0.9116263784414252,0.36289926762057434,29,29,0.0,0.0,1.0,0.15780408680438995
handles.nmutant,46876,128,0.0,1.0,405,117,100,-17,11,28,0.08763546377677277,0.0551668231077737,-0.032468640668999064,0.032468640668999064,4108,2586,0.8058084740185631,0.9135438860427827,0.10773541202421955,28,28,0.0,0.0,1.0,0.14454764127731323
ldrmodules.not_in_load,46876,128,0.0,1.0,145,84,58,-26,44,70,0.13497312057342778,0.07080382285177916,-0.06416929772164862,0.06416929772164862,6327,3319,0.6866689166240786,0.7745521449349806,0.087883228310902,70,70,0.0,0.0,1.0,0.0378747433423996
ldrmodules.not_in_init,46876,128,0.0,1.0,180,99,67,-32,29,61,0.09077139687686663,0.05107091048724294,-0.03970048638962369,0.03970048638962369,4255,2394,0.737162188606013,0.8271489737190334,0.08998678511302038,61,61,0.0,0.0,1.0,0.04491763561964035
ldrmodules.not_in_mem,46876,128,0.0,1.0,145,84,58,-26,44,70,0.13490912193873197,0.07059049406945986,-0.06431862786927212,0.06431862786927212,6324,3309,0.6867780409207084,0.7746250642607695,0.08784702334006111,70,70,0.0,0.0,1.0,0.0378747433423996
ldrmodules.not_in_load_avg,46876,128,0.0,1.0,15444,82,124,42,46,4,0.09380066558580083,0.020927553545524363,-0.07287311204027647,0.07287311204027647,4397,981,0.6974057183432738,0.9874042210875656,0.28999850274429184,4,4,0.0,0.0,1.0,0.4086377024650574
ldrmodules.not_in_init_avg,46876,128,0.0,1.0,15577,85,124,39,43,4,0.06969451318371875,0.025642119634781125,-0.04405239354893763,0.04405239354893763,3267,1202,0.7040690431490929,0.9857811792561104,0.2817121361070175,4,4,0.0,0.0,1.0,0.4025407135486603
ldrmodules.not_in_mem_avg,46876,128,0.0,1.0,15444,82,124,42,46,4,0.09373666695110504,0.020927553545524363,-0.07280911340558067,0.07280911340558067,4394,981,0.6973261125256576,0.9873885767897322,0.29006246426407467,4,4,0.0,0.0,1.0,0.40881702303886414
malfind.ninjections,46876,128,0.0,1.0,111,37,17,-20,91,111,0.4873496032084649,0.4242896151548767,-0.0630599880535882,0.0630599880535882,22845,19889,0.22810642455505836,0.3860518487302984,0.15794542417524005,111,111,0.0,0.0,1.0,0.01020730845630169
malfind.commitCharge,46876,128,0.0,1.0,488,79,23,-56,49,105,0.8719387319737179,0.32654236709616863,-0.5453963648775493,0.5453963648775493,40873,15307,0.1495863385368843,0.4551034315057482,0.3055170929688639,105,105,0.0,0.0,1.0,0.029070690274238586
malfind.protection,46876,128,0.0,1.0,203,61,27,-34,67,101,0.41631111869613446,0.4199590408737947,0.0036479221776602455,-0.0036479221776602455,19515,19686,0.4064028448787973,0.422038410331952,0.0156355654531547,101,101,0.0,0.0,1.0,0.03578634187579155
malfind.uniqueInjections,46876,128,0.0,1.0,4452,63,29,-34,65,99,0.4285988565577268,0.42968683334755525,0.001087976789828471,-0.001087976789828471,20091,20142,0.4517018919094498,0.43016660918660266,-0.02153528272284716,99,99,0.0,0.0,1.0,0.06644243746995926
psxview.not_in_pslist,46876,128,0.0,1.0,40,40,13,-27,88,115,0.4979307108115027,0.4979307108115027,0.0,0.0,23341,23341,0.3657909508347221,0.359891983916504,-0.005898966918218063,115,115,0.0,0.0,1.0,0.002873539226129651
psxview.not_in_eprocess_pool,46876,128,0.0,1.0,2,2,1,-1,126,127,0.9978027135421111,1.0,0.0021972864578888585,-0.0021972864578888585,46773,46876,0.003224100452666841,-0.0,-0.003224100452666841,127,127,0.0,0.0,1.0,0.002197286346927285
psxview.not_in_ethread_pool,46876,128,0.0,1.0,78,62,15,-47,66,113,0.43839064766618313,0.43839064766618313,0.0,0.0,20550,20550,0.33505245441232206,0.3890489950224128,0.05399654061009074,113,113,0.0,0.0,1.0,0.0031159052159637213
psxview.not_in_pspcid_list,46876,128,0.0,1.0,40,40,13,-27,88,115,0.4978667121768069,0.4978667121768069,0.0,0.0,23338,23338,0.3658994384049905,0.3599319823315365,-0.005967456073454003,115,115,0.0,0.0,1.0,0.0029233163222670555
psxview.not_in_csrss_handles,46876,128,0.0,1.0,78,62,15,-47,66,113,0.437494666780442,0.437494666780442,0.0,0.0,20508,20508,0.33524859887798825,0.3893885941329026,0.054139995254914364,112,112,0.0,0.0,1.0,0.003116481937468052
psxview.not_in_session,46876,128,0.0,1.0,40,40,13,-27,88,115,0.49810137383735814,0.49810137383735814,0.0,0.0,23349,23349,0.3657385740564841,0.359839607138266,-0.005898966918218063,115,115,0.0,0.0,1.0,0.002873539226129651
psxview.not_in_deskthrd,46876,128,0.0,1.0,82,63,17,-46,65,111,0.4454518303609523,0.3869357453707654,-0.0585160849901869,0.0585160849901869,20881,18138,0.35264084226535247,0.4297129055025108,0.07707206323715832,111,111,0.0,0.0,1.0,0.003225856926292181
psxview.not_in_pslist_false_avg,46876,128,0.0,1.0,7781,116,56,-60,12,72,0.44741445515829,0.4531316665244475,0.005717211366157493,-0.005717211366157493,20973,21241,0.5780025107463802,0.582244145060324,0.004241634313943754,72,72,0.0,0.0,1.0,0.13070917129516602
psxview.not_in_eprocess_pool_false_avg,46876,128,0.0,1.0,159,87,1,-86,41,127,0.9949227749808004,1.0,0.005077225019199605,-0.005077225019199605,46638,46876,0.010925338968181991,-0.0,-0.010925338968181991,127,127,0.0,0.0,1.0,0.002230781828984618
psxview.not_in_ethread_pool_false_avg,46876,128,0.0,1.0,8346,116,62,-54,12,66,0.38970901954091647,0.3906263333048895,0.0009173137639730267,-0.0009173137639730267,18268,18311,0.599972833885223,0.64048181870204,0.04050898481681697,66,66,0.0,0.0,1.0,0.13481612503528595
