feature,n,num_bins,z_min,z_max,z_num_unique,uniform_bins_used,quantile_bins_used,delta_bins_used,uniform_empty_bins,quantile_empty_bins,uniform_dominant_bin_ratio,quantile_dominant_bin_ratio,delta_dominant_bin_ratio,dominant_ratio_reduction,uniform_max_bin_count,quantile_max_bin_count,uniform_entropy_norm,quantile_entropy_norm,delta_entropy_norm,quantile_duplicate_edge_count,quantile_zero_width_bin_count,quantile_zero_width_sample_ratio,quantile_width_min_positive,quantile_width_median_positive,quantile_width_max_positive,offset_min,offset_max,offset_mean
pslist.nproc,46876,512,0.0,1.0,105,105,39,-66,407,473,0.1704496970731291,0.1704496970731291,0.0,0.0,7990,7990,0.5634949111118889,0.7092826046795615,0.14578769356767263,473,473,0.0,0.0045661999999999925,0.004566210000000001,0.76255707,0.0,1.0,0.004159931253014499
pslist.nppid,46876,512,0.0,1.0,48,48,16,-32,464,496,0.28150866114856216,0.28150866114856216,0.0,0.0,13196,13196,0.5190073122926573,0.7214918188577015,0.20248450656504424,496,496,0.0,0.017241369999999978,0.01724138,0.7241379299999999,0.0,1.0,0.0010630883094862656
pslist.avg_threads,46876,512,0.0,1.0,22592,512,466,-46,0,46,0.03716187388002389,0.0115410871234747,-0.02562078675654919,0.02562078675654919,1742,541,0.883099511072012,0.9856817799661629,0.1025822688941509,45,45,0.0,2.956696874999859e-05,0.002646334570312492,0.0040526711132813364,0.0,1.0,0.3432846543419912
pslist.nprocs64bit,46876,512,0.0,0.0,1,1,1,0,511,511,1.0,1.0,0.0,0.0,46876,46876,0.0,0.0,0.0,511,511,0.0,1.0,1.0,1.0,0.0,0.0,0.0
pslist.avg_handlers,46876,512,0.0,1.0,30009,512,512,0,0,0,0.015125010666439115,0.0027306084136871746,-0.01239440225275194,0.01239440225275194,709,128,0.957794232611417,0.9995594963072006,0.041765263695783594,0,0,0.0,0.00012294257812500708,0.0026510683886718234,0.003051006054687555,0.0,1.0,0.4699237425062409
dlllist.ndlls,46876,512,0.0,1.0,1774,512,363,-149,0,149,0.028351395170236368,0.020564894615581534,-0.007786500554654834,0.007786500554654834,1329,964,0.8525194789024727,0.96150519448831,0.10898571558583725,145,145,0.0,0.0001960816015624811,0.001128030000000002,0.03572577343750005,0.0,1.0,0.1442539358406007
dlllist.avg_dlls_per_proc,46876,512,0.0,1.0,13330,512,404,-108,0,108,0.04057513439713286,0.01926358904343374,-0.02131154535369912,0.02131154535369912,1902,903,0.8727011258819214,0.9622932118922966,0.08959208601037516,106,106,0.0,7.766777343765074e-06,0.0013247069921875076,0.0068687343750000185,0.0,1.0,0.24573428805408062
handles.nhandles,46876,512,0.0,1.0,7189,512,512,0,0,0,0.01565833262223739,0.002794607048382968,-0.012863725573854422,0.012863725573854422,734,131,0.9198092477997551,0.999178454173848,0.07936920637409284,0,0,0.0,0.00013910999999999785,0.0009738350000000062,0.01273687193359374,0.0,1.0,0.4166952116791938
handles.avg_handles_per_proc,46876,512,0.0,1.0,29752,512,512,0,0,0,0.012181073470432631,0.0030506015871661404,-0.00913047188326649,0.00913047188326649,571,143,0.9584890477296151,0.9994583292641191,0.040969281534504076,0,0,0.0,0.00020167999999998187,0.002657146684863285,0.0030773521093749867,0.0,1.0,0.4695621444212672
handles.nport,46876,512,0.0,0.0,1,1,1,0,511,511,1.0,1.0,0.0,0.0,46876,46876,0.0,0.0,0.0,511,511,0.0,1.0,1.0,1.0,0.0,0.0,0.0
handles.nfile,46876,512,0.0,1.0,1093,512,297,-215,0,215,0.03733253690587934,0.016660977899138153,-0.02067155900674119,0.02067155900674119,1750,781,0.8168234608815742,0.9654571679022621,0.1486337070206879,213,213,0.0,5.365664062495501e-05,0.0009157699999999824,0.080176494140625,0.0,1.0,0.07985631831030038
handles.nevent,46876,512,0.0,1.0,3322,512,493,-19,0,19,0.026431436129362575,0.004629234576329039,-0.021802201553033536,0.021802201553033536,1239,217,0.8812991407807418,0.9947520106426578,0.11345286986191605,19,19,0.0,0.00030105999999996413,0.000760426132812464,0.025761144902343713,0.0,1.0,0.26920119489220395
handles.ndesktop,46876,512,0.0,1.0,60,60,40,-20,452,472,0.16539380493216144,0.16539380493216144,0.0,0.0,7753,7753,0.6624280875401419,0.7320347095214664,0.0696066219813245,471,471,0.0,0.0011405109375000055,0.007299269999999997,0.65693432,0.0,1.0,0.001249869239100863
handles.nkey,46876,512,0.0,1.0,1060,512,266,-246,0,246,0.030911340558068094,0.023743493472139263,-0.0071678470859288315,0.0071678470859288315,1449,1113,0.8172767122869657,0.9430816210515012,0.12580490876453543,246,246,0.0,8.483765625000306e-05,0.0018885699999999783,0.07606491390625003,0.0,1.0,0.09280472739609337
handles.nthread,46876,512,0.0,1.0,1149,512,419,-93,0,93,0.016554313507978497,0.00648519498250704,-0.010069118525471456,0.010069118525471456,776,304,0.8934861158109448,0.9903444937706494,0.09685837795970453,92,92,0.0,0.00039641400390624804,0.0008711000000000135,0.05797276480468749,0.0,1.0,0.10651805483375044
handles.ndirectory,46876,512,0.0,1.0,104,104,61,-43,408,451,0.09985920300366925,0.09985920300366925,0.0,0.0,4681,4681,0.7041268139226854,0.7891537439231913,0.08502693000050587,451,451,0.0,0.003952559999999994,0.0039525700000000025,0.64426878,0.0,1.0,0.006110608484629789
handles.nsemaphore,46876,512,0.0,1.0,624,512,210,-302,0,302,0.03893250277327417,0.038228517791620446,-0.0007039849816537214,0.0007039849816537214,1825,1792,0.7992274222335928,0.9212841179116329,0.12205669567804012,302,302,0.0,0.0016050900000000867,0.0016051599999999944,0.04494379999999998,0.0,1.0,0.05163851078982957
handles.ntimer,46876,512,0.0,1.0,123,123,64,-59,389,448,0.08565150610120317,0.08618482805700145,0.0005333219557982771,-0.0005333219557982771,4015,4040,0.7453838702633432,0.8509154671967458,0.10553159693340264,448,448,0.0,0.006535899999999928,0.006535950000000013,0.28758170000000005,0.0,1.0,0.009185876333687452
handles.nsection,46876,512,0.0,1.0,612,512,217,-295,0,295,0.06069203856984384,0.0445857155047359,-0.016106323065107946,0.016106323065107946,2845,2090,0.7928771230914666,0.9138456153593781,0.12096849226791151,292,292,0.0,0.00014704546874999558,0.0016366899999999962,0.07855975999999998,0.0,1.0,0.05668358884153903
handles.nmutant,46876,512,0.0,1.0,405,405,208,-197,107,304,0.0551668231077737,0.0551668231077737,0.0,0.0,2586,2586,0.8406808847073096,0.9165119009874634,0.07583101628015376,303,303,0.0,0.0016674775390624896,0.002150540000000034,0.1268817,0.0,1.0,0.040851365717057754
ldrmodules.not_in_load,46876,512,0.0,1.0,145,145,87,-58,367,425,0.07080382285177916,0.07080382285177916,0.0,0.0,3319,3319,0.7895089801002002,0.8721322083395455,0.08262322823934531,425,425,0.0,0.003291693066406254,0.004310340000000024,0.49137929999999996,0.0,1.0,0.008319845185180383
ldrmodules.not_in_init,46876,512,0.0,1.0,180,180,99,-81,332,413,0.05107091048724294,0.05107091048724294,0.0,0.0,2394,2394,0.8092464216563752,0.9022507603957672,0.09300433873939207,412,412,0.0,0.0007780740625000226,0.00406504000000002,0.32520324,0.0,1.0,0.013694270581070502
ldrmodules.not_in_mem,46876,512,0.0,1.0,145,145,87,-58,367,425,0.07059049406945986,0.07059049406945986,0.0,0.0,3309,3309,0.789586786756279,0.8722189147832081,0.0826321280269291,424,424,0.0,0.00039567757812500326,0.004310340000000024,0.49137929999999996,0.0,1.0,0.008319845185180383
ldrmodules.not_in_load_avg,46876,512,0.0,1.0,15444,512,449,-63,0,63,0.019114258895810223,0.01885826435702705,-0.0002559945387831733,0.0002559945387831733,896,884,0.9261698233703296,0.9723573389075892,0.04618751553725964,63,63,0.0,6.47500000000023e-05,0.0014554524218750031,0.005928467089843736,0.0,1.0,0.2974179584083857
ldrmodules.not_in_init_avg,46876,512,0.0,1.0,15577,512,445,-67,0,67,0.026687430668145745,0.019434252069289188,-0.007253178598856557,0.007253178598856557,1251,911,0.9390541473754485,0.9731298220150214,0.03407567463957295,67,67,0.0,6.419000000001951e-05,0.001831380078125,0.005877810019531249,0.0,1.0,0.3029216618314189
ldrmodules.not_in_mem_avg,46876,512,0.0,1.0,15444,512,446,-66,0,66,0.019114258895810223,0.01885826435702705,-0.0002559945387831733,0.0002559945387831733,896,884,0.9256344286247992,0.9725562816450959,0.04692185302029672,66,66,0.0,5.703564453124477e-05,0.0014355506250000039,0.005928467089843736,0.0,1.0,0.2979099028822344
malfind.ninjections,46876,512,0.0,1.0,111,111,28,-83,401,484,0.4242896151548767,0.4242896151548767,0.0,0.0,19889,19889,0.414439567232933,0.5762679892801913,0.16182842204725828,484,484,0.0,0.003470799999999996,0.00347081035,0.66426233046875,0.0,1.0,0.005026593815317654
malfind.commitCharge,46876,512,0.0,1.0,488,488,55,-433,24,457,0.32654236709616863,0.32654236709616863,0.0,0.0,15307,15307,0.3960846711131229,0.5832935618284633,0.18720889071534036,457,457,0.0,0.0020533799999999935,0.006160163999999999,0.12914689468749996,0.0,1.0,0.019140080064271266
malfind.protection,46876,512,0.0,1.0,203,203,60,-143,309,452,0.4135591774042154,0.4135591774042154,0.0,0.0,19386,19386,0.4320945804859872,0.5441561262592906,0.11206154577330335,452,452,0.0,0.0026083499999999815,0.0032739599999999924,0.463534270234375,0.0,1.0,0.012058084790295158
malfind.uniqueInjections,46876,512,0.0,1.0,4452,512,84,-428,0,428,0.4274468811332025,0.4277455414284495,0.00029866029524699966,-0.00029866029524699966,20037,20051,0.4081501547524259,0.5266614081455944,0.11851125339316848,428,428,0.0,0.00022473000000000631,0.012170495624999944,0.02056905968749989,0.0,1.0,0.05770117801759503
psxview.not_in_pslist,46876,512,0.0,1.0,40,40,16,-24,472,496,0.4979307108115027,0.4979307108115027,0.0,0.0,23341,23341,0.48112950985662273,0.6355557872728972,0.15442627741627446,496,496,0.0,0.023255799999999993,0.0232558145,0.4883721,0.0,1.0,0.0020362744670735476
psxview.not_in_eprocess_pool,46876,512,0.0,1.0,2,2,2,0,510,510,0.9978027135421111,0.9978027135421111,0.0,0.0,46773,46773,0.02256870316578253,0.02256870316578253,0.0,511,511,0.0,1.0,1.0,1.0,0.0,0.5,0.0010986432289444492
psxview.not_in_ethread_pool,46876,512,0.0,1.0,78,78,20,-58,434,492,0.43839064766618313,0.43839064766618313,0.0,0.0,20550,20550,0.4418943899258692,0.6367649728994048,0.1948705829735356,492,492,0.0,0.0049751199999999995,0.0049751244,0.8358209,0.0,1.0,0.00280260673716845
psxview.not_in_pspcid_list,46876,512,0.0,1.0,40,40,16,-24,472,496,0.4978667121768069,0.4978667121768069,0.0,0.0,23338,23338,0.4812722049435046,0.6356611326824222,0.1543889277389176,496,496,0.0,0.023255799999999993,0.0232558145,0.4883721,0.0,1.0,0.002079956073820948
psxview.not_in_csrss_handles,46876,512,0.0,1.0,78,78,20,-58,434,492,0.437494666780442,0.437494666780442,0.0,0.0,20508,20508,0.44227375658034435,0.6373145514581483,0.19504079487780396,491,491,0.0,0.0009328358062499998,0.0049751242,0.8358209,0.0,1.0,0.0027994067911227645
psxview.not_in_session,46876,512,0.0,1.0,40,40,16,-24,472,496,0.49810137383735814,0.49810137383735814,0.0,0.0,23349,23349,0.4810606180111996,0.6354641279109806,0.15440350989978102,496,496,0.0,0.023255799999999993,0.0232558145,0.4883721,0.0,1.0,0.0020362744670735476
psxview.not_in_deskthrd,46876,512,0.0,1.0,82,82,22,-60,430,490,0.3869357453707654,0.3869357453707654,0.0,0.0,18138,18138,0.4825476873298571,0.6816236858920823,0.19907599856222524,490,490,0.0,0.004926105,0.004926108850000001,0.8226601,0.0,1.0,0.0032375441127099817
psxview.not_in_pslist_false_avg,46876,512,0.0,1.0,7781,512,153,-359,0,359,0.4458144892908951,0.44726512501066645,0.0014506357197713315,-0.0014506357197713315,20898,20966,0.56491934969832,0.6397717376204576,0.07485238792213755,359,359,0.0,0.00020735277343753022,0.00604114,0.0117677084765625,0.0,1.0,0.09726530823129902
psxview.not_in_eprocess_pool_false_avg,46876,512,0.0,1.0,159,159,3,-156,353,509,0.9949227749808004,0.9960747504053247,0.0011519754245242764,-0.0011519754245242764,46638,46692,0.010955484576625277,0.02583566940818685,0.014880184831561574,509,509,0.0,0.26330112214843754,0.31544570000000005,0.4212531778515624,0.0,1.0,0.0019544724158077516
psxview.not_in_ethread_pool_false_avg,46876,512,0.0,1.0,8346,512,160,-352,0,352,0.38785305913473844,0.38866370850755183,0.0008106493728133879,-0.0008106493728133879,18181,18219,0.6078890526288423,0.6825698765626512,0.07468082393380893,352,352,0.0,0.00022257914062495665,0.006098898701171862,0.010970974335937494,0.0,1.0,0.10434501540860129
psxview.not_in_pspcid_list_false_avg,46876,512,0.0,1.0,7783,512,152,-360,0,360,0.4457504906561993,0.44726512501066645,0.001514634354467137,-0.001514634354467137,20895,20966,0.5651203929512788,0.6400356303376014,0.07491523738632255,360,360,0.0,0.0005797558593749752,0.006140962421874979,0.01176468533203126,0.0,1.0,0.09895755857836845
psxview.not_in_csrss_handles_false_avg,46876,512,0.0,1.0,9458,512,197,-315,0,315,0.06188667975083198,0.06195067838552778,6.399863469579853e-05,-6.399863469579853e-05,2901,2904,0.765277320469504,0.8430830487012247,0.07780572823172072,314,314,0.0,3.6540820312569444e-05,0.004849336376953145,0.009680975058593722,0.0,1.0,0.11432591058371613
psxview.not_in_session_false_avg,46876,512,0.0,1.0,9559,512,191,-321,0,321,0.06446795801689564,0.06468128679921495,0.0002133287823193053,-0.0002133287823193053,3022,3032,0.7579223476549959,0.8357381920728558,0.07781584441785994,320,320,0.0,4.762847656247793e-05,0.004803636562500019,0.009578654804687503,0.0,1.0,0.113576053774665
psxview.not_in_deskthrd_false_avg,46876,512,0.0,1.0,9655,512,205,-307,0,307,0.06139602355149757,0.061737349603208466,0.0003413260517108954,-0.0003413260517108954,2878,2894,0.7731383545067176,0.8455981185552578,0.07245976404854015,307,307,0.0,1.2342968749967653e-05,0.004416305371093721,0.00948341328125002,0.0,1.0,0.1196412837252143
modules.nmodules,46876,512,0.0,1.0,3,3,3,0,509,509,0.9614088232784367,0.9614088232784367,0.0,0.0,45067,45067,0.14893518717180834,0.14893518717180834,0.0,510,510,0.0,0.08333330000000005,0.5,0.9166667,0.0,0.5,0.48070441163921834
svcscan.nservices,46876,512,0.0,1.0,30,30,10,-20,482,502,0.4652274084819524,0.46599539209830193,0.0007679836163495546,-0.0007679836163495546,21808,21844,0.34744347878889764,0.5085682323175659,0.16112475352866823,503,503,0.0,0.003322200000000053,0.0033223099999999395,0.9435216,0.0,0.9225352127603651,0.1846849730103945
svcscan.kernel_drivers,46876,512,0.0,1.0,19,19,5,-14,493,507,0.4982080382285178,0.4982080382285178,0.0,0.0,23354,23354,0.28582173062486177,0.521617242211335,0.23579551158647322,508,508,0.0,0.005987999999999993,0.005988035000000003,0.98203593,0.0,0.8841463672311867,0.24975376135114621
svcscan.fs_drivers,46876,512,0.0,1.0,10,10,2,-8,502,510,0.9990400204795631,0.9990400204795631,0.0,0.0,46831,46831,0.003866070213091662,0.011007807811461007,0.007141737598369346,511,511,0.0,1.0,1.0,1.0,0.0,0.95,0.5002815939926615
svcscan.process_services,46876,512,0.0,1.0,14,14,7,-7,498,505,0.590664732485707,0.590664732485707,0.0,0.0,27688,27688,0.32624826091225567,0.4416928898204948,0.11544462890823914,506,506,0.0,0.04999999999999993,0.050000000000000044,0.7,0.0,0.9285714285714287,0.18428102105250327
svcscan.shared_process_services,46876,512,0.0,1.0,22,22,6,-16,490,506,0.4982080382285178,0.4982080382285178,0.0,0.0,23354,23354,0.2762666726609017,0.47325740680336265,0.19699073414246093,507,507,0.0,0.010869550000000006,0.02173910000000001,0.9130435,0.0,0.9880952440929703,0.2500599350137591
svcscan.interactive_process_services,46876,512,0.0,0.0,1,1,1,0,511,511,1.0,1.0,0.0,0.0,46876,46876,0.0,0.0,0.0,511,511,0.0,1.0,1.0,1.0,0.0,0.0,0.0
svcscan.nactive,46876,512,0.0,1.0,34,34,18,-16,478,494,0.24310948033108626,0.24310948033108626,0.0,0.0,11396,11396,0.6257817858570436,0.7619291371302153,0.13614735127317168,494,494,0.0,0.010100930000000008,0.010101020000000016,0.82828283,0.0,1.0,0.0015939822490987333
callbacks.ncallbacks,46876,512,0.0,1.0,13,13,6,-7,499,506,0.42770287567198567,0.42817219899308817,0.0004693233211024994,-0.0004693233211024994,20049,20071,0.44011199341175156,0.6264196945104372,0.18630770109868566,506,506,0.0,0.025641000000000025,0.02564105,0.76923074,0.0,1.0,0.0017571179800907441
callbacks.nanonymous,46876,512,0.0,1.0,2,2,1,-1,510,511,0.9991466848707228,1.0,0.0008533151292772212,-0.0008533151292772212,46836,46876,0.009929783324449003,0.0,-0.009929783324449003,511,511,0.0,1.0,1.0,1.0,0.0,1.0,0.0008533151292772421
callbacks.ngeneric,46876,512,0.0,1.0,2,2,2,0,510,510,0.9998720027306084,0.9998720027306084,0.0,0.0,46870,46870,0.0018398586095722102,0.0018398586095722102,0.0,511,511,0.0,1.0,1.0,1.0,0.0,0.5,0.4999360013653042
