feature,variant,K,abs_min,abs_max,abs_constant,abs_uses_K_minus_1,original_c2_strategy,effective_strategy,feature_index,train_bins_used,train_offset_nonzero_ratio,train_dead_bins_ratio,train_used_odd_bin_ratio,train_integer_position_ratio_inferred
pslist.avg_threads,abs_for_rank_control,1024,1.65,16.81818182,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,2,648,0.9999573342435362,0.3671875,0.5108024691358025,4.26657564638621e-05
pslist.avg_handlers,abs_for_rank_control,1024,34.9625,1174.536585,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,4,322,0.9999573342435362,0.685546875,0.4937888198757764,4.26657564638621e-05
dlllist.avg_dlls_per_proc,abs_for_rank_control,1024,7.333333333,53.17073171,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,6,624,0.9999573342435362,0.390625,0.5160256410256411,4.26657564638621e-05
handles.nhandles,abs_for_rank_control,1024,3514.0,48156.0,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,7,371,0.9999573342435362,0.6376953125,0.48787061994609165,4.26657564638621e-05
handles.avg_handles_per_proc,abs_for_rank_control,1024,71.13924051,1174.536585,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,8,253,0.9999573342435362,0.7529296875,0.48221343873517786,4.26657564638621e-05
ldrmodules.not_in_load_avg,abs_for_rank_control,1024,0.016176471,0.531120332,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,23,164,0.9999573342435362,0.83984375,0.4817073170731707,4.26657564638621e-05
ldrmodules.not_in_init_avg,abs_for_rank_control,1024,0.040525739,0.585062241,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,24,196,0.9999573342435362,0.80859375,0.4744897959183674,4.26657564638621e-05
ldrmodules.not_in_mem_avg,abs_for_rank_control,1024,0.016176471,0.531120332,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,25,164,0.9999573342435362,0.83984375,0.47560975609756095,4.26657564638621e-05
malfind.uniqueInjections,abs_for_rank_control,1024,1.0,90.66666667,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,29,144,0.572702449014421,0.859375,0.5138888888888888,0.427297550985579
psxview.not_in_pslist_false_avg,abs_for_rank_control,1024,0.0,0.551282051,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,37,569,0.5544841710043519,0.4443359375,0.5026362038664324,0.44551582899564807
psxview.not_in_ethread_pool_false_avg,abs_for_rank_control,1024,0.0,0.8375,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,39,532,0.6124669340387405,0.48046875,0.4906015037593985,0.38753306596125947
psxview.not_in_pspcid_list_false_avg,abs_for_rank_control,1024,0.0,1.0,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,40,358,0.5409164604488438,0.650390625,0.5,0.4590835395511562
psxview.not_in_csrss_handles_false_avg,abs_for_rank_control,1024,0.025806452,0.854166667,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,41,546,0.9999573342435362,0.466796875,0.5,4.26657564638621e-05
psxview.not_in_session_false_avg,abs_for_rank_control,1024,0.008333333,0.576923077,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,42,607,0.9999573342435362,0.4072265625,0.514003294892916,4.26657564638621e-05
psxview.not_in_deskthrd_false_avg,abs_for_rank_control,1024,0.04375,0.8625,False,True,rank_uniform_offset,rank_replaced_by_abs_uniform_control,43,567,0.9999573342435362,0.4462890625,0.5114638447971781,4.26657564638621e-05
