feature,split,strategy,K,raw_unique,bins_used,dead_bins,dead_bins_ratio,possible_unique,preserve_ratio,compression_factor,entropy_norm,dominant_bin_ratio,rare_bins_le5,rare_used_bin_ratio_le5,rare_sample_ratio_le5,offset_nonzero_ratio,offset_zero_ratio,offset_unique_count_rounded_1e6,offset_mean,offset_std,integer_position_ratio_inferred,used_even_bins,used_odd_bins,used_odd_bin_ratio,occupied_gap_mean,occupied_gap_max,occupied_gap_min,compact_n_unique,compact_unseen_val_count,compact_offset_zero,original_c2_strategy,effective_strategy,feature_index,abs_min,abs_max,abs_constant,abs_uses_K_minus_1,constant
pslist.nproc,train,discrete_compact_offset0,1024,105,105,919,0.8974609375,105,1.0,1.0,0.5634949111118889,0.1704496970731291,50,0.47619047619047616,0.0014933014762351737,0.0,1.0,1,0.0,0.0,1.0,53,52,0.49523809523809526,1.0,1,1,105.0,12.0,True,discrete_compact_offset0,discrete_compact_offset0,0,,,,,
pslist.nppid,train,discrete_compact_offset0,1024,48,48,976,0.953125,48,1.0,1.0,0.5190073122926573,0.28150866114856216,27,0.5625,0.0010026452769007594,0.0,1.0,1,0.0,0.0,1.0,24,24,0.5,1.0,1,1,48.0,1.0,True,discrete_compact_offset0,discrete_compact_offset0,1,,,,,
pslist.avg_threads,train,rank_replaced_by_abs_uniform_control,1024,22592,648,376,0.3671875,1024,0.6328125,34.864197530864196,0.8742688144939977,0.012842392695622493,274,0.4228395061728395,0.01173308302756208,0.9999573342435362,4.26657564638621e-05,22334,0.49554476141929626,0.2895022928714752,4.26657564638621e-05,317,331,0.5108024691358025,1.5811437403400308,23,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,2,1.65,16.81818182,False,True,
pslist.nprocs64bit,train,constant,1024,1,1,1023,0.9990234375,1,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1,0,0.0,0.0,0,0,,,,constant,constant,3,,,,,True
pslist.avg_handlers,train,rank_replaced_by_abs_uniform_control,1024,30009,322,702,0.685546875,1024,0.314453125,93.19565217391305,0.7668358088563704,0.05070825155730011,182,0.5652173913043478,0.0059945387831726255,0.9999573342435362,4.26657564638621e-05,29558,0.500598669052124,0.2895140051841736,4.26657564638621e-05,163,159,0.4937888198757764,3.1869158878504673,75,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,4,34.9625,1174.536585,False,True,
dlllist.ndlls,train,keep_current,1024,1774,787,237,0.2314453125,1024,0.7685546875,2.2541296060991107,0.8282982084204537,0.038783172625650654,265,0.33672172808132145,0.013354381773188838,0.9999573342435362,4.26657564638621e-05,1773,0.4941032826900482,0.28895074129104614,4.26657564638621e-05,393,394,0.5006353240152478,1.3015267175572518,45,1,,,,keep_current,keep_current,5,670.0,3363.0,False,True,
dlllist.avg_dlls_per_proc,train,rank_replaced_by_abs_uniform_control,1024,13330,624,400,0.390625,1024,0.609375,21.362179487179485,0.8280985256850129,0.03571123816025258,243,0.3894230769230769,0.009834456864920215,0.9999573342435362,4.26657564638621e-05,13230,0.5019838809967041,0.2877393662929535,4.26657564638621e-05,302,322,0.5160256410256411,1.6420545746388444,29,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,6,7.333333333,53.17073171,False,True,
handles.nhandles,train,rank_replaced_by_abs_uniform_control,1024,7189,371,653,0.6376953125,1024,0.3623046875,19.37735849056604,0.7979461354706138,0.035263247717382026,127,0.3423180592991914,0.004309241402850073,0.9999573342435362,4.26657564638621e-05,7188,0.5022714734077454,0.288443922996521,4.26657564638621e-05,190,181,0.48787061994609165,2.764864864864865,103,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,7,3514.0,48156.0,False,True,
handles.avg_handles_per_proc,train,rank_replaced_by_abs_uniform_control,1024,29752,253,771,0.7529296875,1024,0.2470703125,117.59683794466403,0.7957429124524033,0.05538015189009301,115,0.45454545454545453,0.0028799385613106922,0.9999573342435362,4.26657564638621e-05,29311,0.5004473924636841,0.291206032037735,4.26657564638621e-05,131,122,0.48221343873517786,4.059523809523809,78,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,8,71.13924051,1174.536585,False,True,
handles.nport,train,constant,1024,1,1,1023,0.9990234375,1,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1,0,0.0,0.0,0,0,,,,constant,constant,9,,,,,True
