feature,split,strategy,K,raw_unique,bins_used,dead_bins,dead_bins_ratio,possible_unique,preserve_ratio,compression_factor,entropy_norm,dominant_bin_ratio,rare_bins_le5,rare_used_bin_ratio_le5,rare_sample_ratio_le5,offset_nonzero_ratio,offset_zero_ratio,offset_unique_count_rounded_1e6,offset_mean,offset_std,integer_position_ratio_inferred,used_even_bins,used_odd_bins,used_odd_bin_ratio,occupied_gap_mean,occupied_gap_max,occupied_gap_min,compact_n_unique,compact_unseen_val_count,compact_offset_zero,original_c2_strategy,effective_strategy,feature_index,rank_n_unique,rank_old_alias_risk_K_mod_nminus1_eq0,rank_new_uses_K_minus_1,constant,abs_min,abs_max,abs_constant,abs_uses_K_minus_1
pslist.nproc,train,discrete_compact_offset0,1024,105,105,919,0.8974609375,105,1.0,1.0,0.5634949111118889,0.1704496970731291,50,0.47619047619047616,0.0014933014762351737,0.0,1.0,1,0.0,0.0,1.0,53,52,0.49523809523809526,1.0,1,1,105.0,12.0,True,discrete_compact_offset0,discrete_compact_offset0,0,,,,,,,,
pslist.nppid,train,discrete_compact_offset0,1024,48,48,976,0.953125,48,1.0,1.0,0.5190073122926573,0.28150866114856216,27,0.5625,0.0010026452769007594,0.0,1.0,1,0.0,0.0,1.0,24,24,0.5,1.0,1,1,48.0,1.0,True,discrete_compact_offset0,discrete_compact_offset0,1,,,,,,,,
pslist.avg_threads,train,rank_uniform_offset,1024,22592,1024,0,0.0,1024,1.0,22.0625,0.8900269113742731,0.022996842734021673,1,0.0009765625,2.133287823193105e-05,0.9999573342435362,4.26657564638621e-05,22591,0.4898006319999695,0.2856471836566925,4.26657564638621e-05,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,2,22592.0,False,True,,,,,
pslist.nprocs64bit,train,constant,1024,1,1,1023,0.9990234375,1,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1,0,0.0,0.0,0,0,,,,constant,constant,3,,,,True,,,,
pslist.avg_handlers,train,rank_uniform_offset,1024,30009,1024,0,0.0,1024,1.0,29.3056640625,0.9610871928863035,0.007871832067582558,1,0.0009765625,2.133287823193105e-05,0.9869869442785221,0.013013055721477942,88,0.49472543597221375,0.28990697860717773,0.013013055721477942,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,4,30009.0,False,True,,,,,
dlllist.ndlls,train,keep_current,1024,1774,787,237,0.2314453125,1024,0.7685546875,2.2541296060991107,0.8282982084204537,0.038783172625650654,265,0.33672172808132145,0.013354381773188838,0.9999573342435362,4.26657564638621e-05,1773,0.4941032826900482,0.28895074129104614,4.26657564638621e-05,393,394,0.5006353240152478,1.3015267175572518,45,1,,,,keep_current,keep_current,5,,,,,670.0,3363.0,False,True
dlllist.avg_dlls_per_proc,train,rank_uniform_offset,1024,13330,1024,0,0.0,1024,1.0,13.017578125,0.8601495644825249,0.026111442955883607,1,0.0009765625,2.133287823193105e-05,0.9999146684870722,8.53315129277242e-05,4443,0.47025230526924133,0.28803616762161255,8.53315129277242e-05,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,6,13330.0,False,True,,,,,
handles.nhandles,train,rank_uniform_offset,1024,7189,1024,0,0.0,1024,1.0,7.0205078125,0.9256478654312371,0.008682481440395939,1,0.0009765625,2.133287823193105e-05,0.9990826862360269,0.0009173137639730352,2396,0.4983772933483124,0.2889556288719177,0.0009173137639730352,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,7,7189.0,False,True,,,,,
handles.avg_handles_per_proc,train,rank_uniform_offset,1024,29752,1024,0,0.0,1024,1.0,29.0546875,0.9618504848620574,0.006975851181841454,1,0.0009765625,2.133287823193105e-05,0.9999146684870722,8.53315129277242e-05,9917,0.49853360652923584,0.28904929757118225,8.53315129277242e-05,512,512,0.5,1.0,1,1,,,,rank_uniform_offset,rank_uniform_offset,8,29752.0,False,True,,,,,
handles.nport,train,constant,1024,1,1,1023,0.9990234375,1,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1,0,0.0,0.0,0,0,,,,constant,constant,9,,,,True,,,,
