feature,strategy,feature_index,raw_unique,is_binary,is_low_unique_128,bins_used,empty_bins,empty_ratio,dominant_bin_ratio,entropy_norm,compression_factor,rare_bins_le1,rare_bins_le5,rare_bins_le10,rare_used_bin_ratio_le5,rare_used_bin_ratio_le10,max_raw_unique_per_bin,mean_raw_unique_per_bin,bins_with_multi_raw_unique,bins_with_multi_raw_unique_ratio,raw_values_multibin,raw_values_multi_offset,offset_unique_count,offset_nonzero_ratio,offset_std,offset_min,offset_max,offset_noise_suspect,raw_scaled_is_constant,raw_scaled_unique_f64,raw_scaled_unique_f32,raw_scaled_mean,raw_scaled_std,raw_scaled_q001,raw_scaled_q01,raw_scaled_q05,raw_scaled_q50,raw_scaled_q95,raw_scaled_q99,raw_scaled_zero_ratio,raw_scaled_near_zero_1e_6_ratio,raw_scaled_near_zero_1e_4_ratio,raw_scaled_one_ratio,film_gate
pslist.nproc,discrete_compact_offset0,0,105,False,True,105,407,0.794921875,0.1704496970731291,0.5634949111118889,1.0,39,50,59,0.47619047619047616,0.5619047619047619,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,105,105,0.09305518377251785,0.0264549220449982,0.0045662100456621,0.0273972602739726,0.0639269406392694,0.091324200913242,0.1232876712328767,0.1872146118721461,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
pslist.nppid,discrete_compact_offset0,1,48,False,True,48,464,0.90625,0.28150866114856216,0.5190073122926573,1.0,16,27,30,0.5625,0.625,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,48,48,0.11560360275532512,0.045159443847425526,0.0,0.017241379310344827,0.06896551724137931,0.1206896551724138,0.1724137931034483,0.22413793103448276,0.007935830702278351,0.007935830702278351,0.007935830702278351,2.133287823193105e-05,
pslist.avg_threads,rank_uniform_offset,2,22592,False,False,512,0,0.0,0.03716187388002389,0.883099511072012,44.125,0,0,0,0.0,0.0,45,44.125,512,1.0,0,0,22592,0.9999786671217681,0.28935307940851784,0.0,1.0,False,False,22592,22525,0.6390327309130431,0.10472014726846715,0.18859926120828896,0.4891665678886225,0.5096822066575148,0.616611640471488,0.7890847386677754,0.8232467541716216,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
pslist.nprocs64bit,constant,3,1,False,True,1,511,0.998046875,1.0,0.0,1.0,0,0,0,0.0,0.0,1,1.0,0,0.0,0,0,1,1.0,0.0,0.5,0.5,False,True,1,1,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,
pslist.avg_handlers,rank_uniform_offset,4,30009,False,False,512,0,0.0,0.015125010666439115,0.957794232611417,58.611328125,0,0,0,0.0,0.0,59,58.611328125,512,1.0,0,0,3752,0.9997440054612168,0.28993376129762005,0.0,1.0,False,False,30009,29911,0.18615543042993243,0.04086408017927127,0.054259714838987415,0.12472664855308638,0.14185115592989286,0.183451957711025,0.23786434407202234,0.24324092116836793,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
dlllist.ndlls,keep_current,5,1774,False,False,512,0,0.0,0.028351395170236368,0.8525194789024727,3.46484375,0,67,145,0.130859375,0.283203125,4,3.46484375,512,1.0,0,0,1774,0.9999786671217681,0.28996629632880144,0.0,1.0,False,False,1774,1774,0.4233907270406502,0.12264243747675478,0.09357593761604159,0.18408837727441515,0.2621611585592276,0.3943557370961753,0.5822502784998144,0.7364463423691051,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
dlllist.avg_dlls_per_proc,rank_uniform_offset,6,13330,False,False,512,0,0.0,0.04057513439713286,0.8727011258819214,26.03515625,0,0,0,0.0,0.0,27,26.03515625,512,1.0,0,0,13330,0.9999786671217681,0.27774615366008043,0.0,1.0,False,False,13330,13306,0.7935785658539809,0.12524533545931055,0.2556561919290798,0.601813945898852,0.6507668066512178,0.7737822775255281,0.9788222773461968,0.9843282824628972,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.nhandles,rank_uniform_offset,7,7189,False,False,512,0,0.0,0.01565833262223739,0.9198092477997551,14.041015625,0,0,0,0.0,0.0,15,14.041015625,512,1.0,0,0,1798,0.9981867053502859,0.29095841723393523,0.0,1.0,False,False,7189,7189,0.1506171578448227,0.0517004039017635,0.034359459701626266,0.05274181264280274,0.08957931992294252,0.12920568074907038,0.21331929573047803,0.26734913310335556,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.avg_handles_per_proc,rank_uniform_offset,8,29752,False,False,512,0,0.0,0.012181073470432631,0.9584890477296151,58.109375,0,0,0,0.0,0.0,59,58.109375,512,1.0,0,0,29752,0.9999786671217681,0.2884872847243964,0.0,1.0,False,False,29752,29652,0.16119983975497493,0.04159349069400673,0.09034695452215082,0.10009791109389514,0.11527496728641325,0.1595732416062523,0.21302305263263235,0.21863778777853168,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.nport,constant,9,1,False,True,1,511,0.998046875,1.0,0.0,1.0,0,0,0,0.0,0.0,1,1.0,0,0.0,0,0,1,1.0,0.0,0.5,0.5,False,True,1,1,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,
handles.nfile,keep_current,10,1093,False,False,297,215,0.419921875,0.016660977899138153,0.9654571679022621,3.68013468013468,0,0,0,0.0,0.0,88,3.68013468013468,118,0.39730639730639733,0,0,712,0.16148988821571805,0.20094370424935684,0.0,1.0,False,False,1093,1093,0.015330851602681779,0.020198463061038025,0.004905302560797244,0.006817224026376459,0.008726046753761868,0.014155036069312576,0.02201343612880835,0.025316691043407124,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.nevent,keep_current,11,3322,False,False,493,19,0.037109375,0.004629234576329039,0.9947520106426578,6.738336713995944,0,0,0,0.0,0.0,86,6.738336713995944,376,0.7626774847870182,0,0,2427,0.5374818670535029,0.29393168059459596,0.0,1.0,False,False,3322,3322,0.3761955929366009,0.1164514607625903,0.09168351140629512,0.12777938203869477,0.2399653479641929,0.31518914236211376,0.5376840889402252,0.6184305515449032,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.ndesktop,discrete_compact_offset0,12,60,False,True,60,452,0.8828125,0.16539380493216144,0.6624280875401419,1.0,8,10,15,0.16666666666666666,0.25,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,60,60,0.1642958624181954,0.03754684173613887,0.0072992700729927005,0.058394160583941604,0.10948905109489052,0.1678832116788321,0.2116788321167883,0.291970802919708,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.nkey,keep_current,13,1060,False,False,512,0,0.0,0.030911340558068094,0.8172767122869657,2.0703125,0,116,170,0.2265625,0.33203125,3,2.0703125,512,1.0,0,0,1060,0.9999786671217681,0.2983532319543882,0.0,1.0,False,False,1060,1060,0.20561000291501613,0.06335847948244204,0.01971476510067114,0.059983221476510064,0.13129194630872484,0.1967281879194631,0.3087248322147651,0.39890939597315433,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.nthread,keep_current,14,1149,False,False,512,0,0.0,0.016554313507978497,0.8934861158109448,2.244140625,0,85,123,0.166015625,0.240234375,3,2.244140625,512,1.0,0,0,626,0.9980373752026623,0.28785556585278466,0.0,1.0,False,False,1149,1149,0.32971885610762647,0.1448288752187073,0.04822954822954823,0.10073260073260074,0.15934065934065933,0.28083028083028083,0.5286935286935287,0.6118742368742369,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.ndirectory,discrete_compact_offset0,15,104,False,True,104,408,0.796875,0.09985920300366925,0.7041268139226854,1.0,10,21,28,0.20192307692307693,0.2692307692307692,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,104,104,0.17926034442227023,0.038046160132841796,0.015810276679841896,0.05533596837944664,0.1225296442687747,0.18181818181818182,0.22924901185770752,0.2964426877470356,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.nsemaphore,keep_current,16,624,False,False,512,0,0.0,0.03893250277327417,0.7992274222335928,1.21875,22,138,219,0.26953125,0.427734375,2,1.21875,112,0.21875,0,0,624,0.9999786671217681,0.28762653966315554,0.0,1.0,False,False,624,624,0.5281134739157397,0.12764227644966825,0.10368349249658936,0.15006821282401092,0.34379263301500684,0.529331514324693,0.694406548431105,0.8485675306957708,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.ntimer,discrete_compact_offset0,17,123,False,True,123,389,0.759765625,0.08565150610120317,0.7453838702633432,1.0,13,30,38,0.24390243902439024,0.3089430894308943,1,1.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,False,False,123,123,0.4005571366982951,0.0977601387256091,0.10457516339869281,0.1503267973856209,0.24836601307189543,0.40522875816993464,0.5359477124183006,0.6078431372549019,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.nsection,keep_current,18,612,False,False,512,0,0.0,0.06069203856984384,0.7928771230914666,1.1953125,42,120,193,0.234375,0.376953125,2,1.1953125,100,0.1953125,0,0,612,0.9999786671217681,0.2816573619404889,0.0,1.0,False,False,612,612,0.016404180298531804,0.01008261217931752,0.001366400218624035,0.0024595203935232628,0.006012160961945754,0.011887681902029105,0.028216164514586323,0.03388672542187607,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
handles.nmutant,keep_current,19,405,False,False,405,107,0.208984375,0.0551668231077737,0.8406808847073096,1.0,29,59,95,0.145679012345679,0.2345679012345679,1,1.0,0,0.0,0,0,405,0.9999786671217681,0.27465403740165156,0.0,1.0,False,False,405,405,0.41833893493426266,0.15759899648400538,0.10752688172043011,0.13978494623655913,0.22580645161290322,0.36774193548387096,0.6795698924731183,0.8344086021505376,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,
ldrmodules.not_in_load,keep_current,20,145,False,False,145,367,0.716796875,0.07080382285177916,0.7895089801002002,1.0,10,29,43,0.2,0.296551724137931,1,1.0,0,0.0,0,0,78,0.9738032255311887,0.2882985920934237,0.0,1.0,False,False,145,145,0.2361659962748381,0.08078884148197561,0.017241379310344827,0.08620689655172414,0.15517241379310345,0.21982758620689655,0.3706896551724138,0.46120689655172414,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,4.26657564638621e-05,
ldrmodules.not_in_init,keep_current,21,180,False,False,180,332,0.6484375,0.05107091048724294,0.8092464216563752,1.0,14,38,49,0.2111111111111111,0.2722222222222222,1,1.0,0,0.0,0,0,170,0.9982080382285178,0.2928016408481151,0.0,1.0,False,False,180,180,0.3410009421154029,0.08721412020816809,0.07317073170731707,0.13414634146341464,0.24390243902439024,0.32926829268292684,0.4878048780487805,0.6056910569105691,6.399863469579316e-05,6.399863469579316e-05,6.399863469579316e-05,4.26657564638621e-05,
ldrmodules.not_in_mem,keep_current,22,145,False,False,145,367,0.716796875,0.07059049406945986,0.789586786756279,1.0,10,29,43,0.2,0.296551724137931,1,1.0,0,0.0,0,0,78,0.9738032255311887,0.28826783125408095,0.0,1.0,False,False,145,145,0.2361752834330339,0.08078277530438335,0.017241379310344827,0.08620689655172414,0.15517241379310345,0.21982758620689655,0.3706896551724138,0.46120689655172414,2.133287823193105e-05,2.133287823193105e-05,2.133287823193105e-05,4.26657564638621e-05,
