feature,decision,reasons,raw_unique,bins_used,possible_unique,preserve_ratio,compression_factor,entropy_norm
pslist.nproc,keep,metrics_within_thresholds,105,105,105,1.0,1.0,0.5634949111344502
pslist.nppid,keep,metrics_within_thresholds,48,48,48,1.0,1.0,0.5190073123050564
pslist.avg_threads,transform,low_preserve_ratio|high_compression_factor,22592,226,256,0.8828125,99.96460176991151,0.8005512809888924
pslist.nprocs64bit,drop,constant_feature,1,1,1,1.0,1.0,1.0
pslist.avg_handlers,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,30009,135,256,0.52734375,222.2888888888889,0.6339580206542398
dlllist.ndlls,transform,low_preserve_ratio,1774,225,256,0.87890625,7.884444444444444,0.8065937039483971
dlllist.avg_dlls_per_proc,transform,low_preserve_ratio|high_compression_factor,13330,212,256,0.828125,62.87735849056604,0.7664649340473797
handles.nhandles,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,7189,137,256,0.53515625,52.47445255474452,0.6988411015545455
handles.avg_handles_per_proc,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,29752,119,256,0.46484375,250.01680672268907,0.6453679392866846
handles.nport,drop,constant_feature,1,1,1,1.0,1.0,1.0
handles.nfile,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,1093,82,256,0.3203125,13.329268292682928,0.3212909244338853
handles.nevent,transform,low_preserve_ratio|high_compression_factor,3322,191,256,0.74609375,17.392670157068064,0.7904600346253154
handles.ndesktop,keep,metrics_within_thresholds,60,60,60,1.0,1.0,0.6624280875547963
handles.nkey,transform,low_preserve_ratio|low_entropy_norm_high_unique,1060,171,256,0.66796875,6.1988304093567255,0.7349333318224938
handles.nthread,transform,low_preserve_ratio,1149,213,256,0.83203125,5.394366197183099,0.8490998608072158
handles.ndirectory,keep,metrics_within_thresholds,104,104,104,1.0,1.0,0.7041268139450781
handles.nsemaphore,transform,low_preserve_ratio,624,229,256,0.89453125,2.7248908296943233,0.791359453822131
handles.ntimer,keep,metrics_within_thresholds,123,123,123,1.0,1.0,0.7453838702889035
handles.nsection,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,612,21,256,0.08203125,29.142857142857142,0.5870192327804363
handles.nmutant,transform,low_preserve_ratio,405,230,256,0.8984375,1.7608695652173914,0.8332626876649724
ldrmodules.not_in_load,keep,metrics_within_thresholds,145,145,145,1.0,1.0,0.7895089801293358
ldrmodules.not_in_init,keep,metrics_within_thresholds,180,180,180,1.0,1.0,0.8092464216910374
ldrmodules.not_in_mem,keep,metrics_within_thresholds,145,145,145,1.0,1.0,0.7895867867854146
ldrmodules.not_in_load_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,15444,84,256,0.328125,183.85714285714286,0.49857295897634485
ldrmodules.not_in_init_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,15577,99,256,0.38671875,157.34343434343435,0.4240164111562972
ldrmodules.not_in_mem_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,15444,85,256,0.33203125,181.69411764705882,0.4971472065927127
malfind.ninjections,transform,low_preserve_ratio,111,59,111,0.5315315315315315,1.88135593220339,0.33210654919564214
malfind.commitCharge,transform,low_preserve_ratio|low_entropy_norm_high_unique,488,72,256,0.28125,6.777777777777778,0.05766569818045938
malfind.protection,transform,low_preserve_ratio,203,59,203,0.29064039408866993,3.440677966101695,0.33414625516738317
malfind.uniqueInjections,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,4452,67,256,0.26171875,66.44776119402985,0.21678686446121384
psxview.not_in_pslist,keep,metrics_within_thresholds,40,40,40,1.0,1.0,0.48112950986746617
psxview.not_in_eprocess_pool,keep,metrics_within_thresholds,2,2,2,1.0,1.0,0.022568703168667884
psxview.not_in_ethread_pool,keep,metrics_within_thresholds,78,78,78,1.0,1.0,0.4418943899437724
psxview.not_in_pspcid_list,keep,metrics_within_thresholds,40,40,40,1.0,1.0,0.48127220495434797
psxview.not_in_csrss_handles,keep,metrics_within_thresholds,78,78,78,1.0,1.0,0.4422737565982476
psxview.not_in_session,keep,metrics_within_thresholds,40,40,40,1.0,1.0,0.48106061802204303
psxview.not_in_deskthrd,keep,metrics_within_thresholds,82,82,82,1.0,1.0,0.4825476873484649
psxview.not_in_pslist_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,7781,192,256,0.75,40.526041666666664,0.5544275994173603
psxview.not_in_eprocess_pool_false_avg,transform,low_preserve_ratio,159,101,159,0.6352201257861635,1.5742574257425743,0.011582502569435181
psxview.not_in_ethread_pool_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,8346,184,256,0.71875,45.358695652173914,0.5602966575584899
psxview.not_in_pspcid_list_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,7783,120,256,0.46875,64.85833333333333,0.5456777930624351
psxview.not_in_csrss_handles_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,9458,186,256,0.7265625,50.8494623655914,0.712671545984137
psxview.not_in_session_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,9559,202,256,0.7890625,47.32178217821782,0.7124408016971219
psxview.not_in_deskthrd_false_avg,transform,low_preserve_ratio|high_compression_factor|low_entropy_norm_high_unique,9655,197,256,0.76953125,49.01015228426396,0.7262810769427833
modules.nmodules,keep,metrics_within_thresholds,3,3,3,1.0,1.0,0.14893518717453902
svcscan.nservices,transform,low_preserve_ratio,30,28,30,0.9333333333333333,1.0714285714285714,0.34653669724676084
svcscan.kernel_drivers,keep,metrics_within_thresholds,19,19,19,1.0,1.0,0.28582173063131466
svcscan.fs_drivers,keep,metrics_within_thresholds,10,10,10,1.0,1.0,0.0038660702174345973
